Time (s),MC Temp A,MC Temp B,MC Temp C
0.0,13.3,13.3,13.3
0.0,26.7,26.7,26.7
3.06,32.5,32.9,32.7
4.04,32.6,32.9,32.8
5.05,32.5,32.9,32.8
6.06,32.6,32.9,32.8
7.07,32.6,32.9,32.8
8.06,32.6,33,32.8
9.06,32.6,32.9,32.8
10.07,32.6,32.9,32.8
11.08,32.5,32.9,32.8
12.06,32.6,32.9,32.8
13.07,32.6,32.9,32.8
14.06,32.6,32.9,32.8
15.07,32.6,32.9,32.7
16.08,32.6,32.9,32.7
17.07,32.6,32.9,32.8
18.08,32.6,32.9,32.8
19.07,32.6,32.9,32.8
20.05,32.6,32.9,32.8
21.08,32.6,32.9,32.8
22.07,32.6,32.9,32.8
23.08,32.6,32.9,32.8
24.08,32.6,33,32.8
25.09,32.6,32.9,32.8
26.08,32.6,32.9,32.8
27.1,32.6,33,32.8
28.09,32.7,33,32.9
29.1,32.9,33.1,33
30.09,33,33.3,33.1
31.1,33.2,33.7,33.6
32.09,32.7,33.4,33.6
33.09,32.4,33,33.5
34.1,32.2,32.8,33.2
35.11,32.2,32.7,33.1
36.09,32.5,33.1,33.2
37.11,32.5,33,33.2
38.1,32.5,33,33.2
39.11,32.5,33,33.2
40.1,32.7,33.1,33.2
41.12,32.8,33.2,33.2
42.11,32.9,33.3,33.3
43.12,32.9,33.3,33.3
44.11,32.9,33.2,33.3
45.12,32.9,33.3,33.3
46.11,33,33.3,33.3
47.12,33,33.3,33.2
48.13,33,33.4,33.3
49.12,33,33.4,33.3
50.11,33,33.4,33.3
51.13,33,33.4,33.3
52.14,33,33.4,33.4
53.12,33,33.4,33.3
54.13,32.9,33.3,33.4
55.12,32.9,33.3,33.3
56.13,33,33.3,33.4
57.14,32.9,33.3,33.3
58.13,32.9,33.3,33.3
59.14,32.9,33.2,33.3
60.13,32.9,33.2,33.3
61.14,32.8,33.3,33.3
62.13,32.8,33.2,33.3
63.14,32.8,33.3,33.2
64.14,32.8,33.2,33.3
65.15,32.7,33.1,33.2
66.16,32.7,33.1,33.1
67.15,32.7,33.1,33
68.16,32.7,33.1,33
69.15,32.7,33.1,33
70.16,32.7,33.1,33
71.15,32.7,33.1,33
72.16,32.7,33.1,33
73.17,32.7,33,33
74.17,32.7,33.1,33
75.16,32.7,33.1,33
76.17,32.7,33.1,33
77.17,32.7,33.1,33
78.16,32.7,33.1,33
79.17,32.7,33,33
80.17,32.7,33.1,33
81.17,32.7,33.1,33
82.17,32.7,33.1,33
83.18,32.7,33.1,33
84.09,32.7,33.1,33
85.19,32.7,33.1,33
86.17,32.7,33.1,33
87.18,32.7,33,33
88.19,32.7,33.1,33
89.18,32.7,33,33
90.19,32.7,33.1,33
91.18,32.7,33.1,33
92.19,32.7,33.1,33
93.16,32.7,33.1,33
94.19,32.7,33.1,33
95.2,32.7,33.1,33
96.21,32.7,33.1,33
97.2,32.7,33,33
98.2,32.7,33.1,33
99.19,32.7,33.1,33
100.2,32.7,33.1,33
101.19,32.7,33.1,33
102.2,32.7,33.1,33
103.21,32.7,33.1,33
104.2,32.7,33.1,33
105.21,32.7,33.1,33
106.2,32.7,33.1,33
107.22,32.7,33.1,33
108.2,32.7,33.1,33
109.21,32.7,33.1,33
110.19,32.7,33.1,33
110.65,13.3,13.3,13.3
110.65,26.7,26.7,26.7
134.12,33.4,33.7,33.6
135.13,33.5,33.8,33.6
136.14,33.5,33.8,33.6
137.13,33.5,33.8,33.6
138.13,33.5,33.8,33.6
139.12,33.5,33.8,33.6
140.13,33.5,33.8,33.6
141.13,33.4,33.8,33.6
142.13,33.5,33.8,33.6
143.13,33.5,33.8,33.6
144.12,33.5,33.8,33.6
145.14,33.5,33.8,33.6
146.14,33.5,33.8,33.6
147.15,33.5,33.8,33.6
148.15,33.5,33.8,33.6
149.16,33.5,33.8,33.6
150.14,33.5,33.8,33.6
151.15,33.5,33.8,33.6
152.16,33.5,33.8,33.6
153.15,33.5,33.8,33.6
154.16,33.5,33.8,33.6
155.15,33.5,33.8,33.6
156.17,33.5,33.8,33.6
157.15,33.4,33.8,33.6
158.17,33.5,33.8,33.6
159.16,33.5,33.8,33.6
160.17,33.5,33.8,33.6
161.18,33.5,33.8,33.6
162.17,33.4,33.8,33.6
163.17,33.5,33.8,33.6
164.17,33.5,33.8,33.6
165.18,33.5,33.8,33.6
166.17,33.4,33.8,33.6
167.18,33.5,33.8,33.6
168.17,33.5,33.8,33.6
169.19,33.5,33.8,33.6
170.18,33.5,33.8,33.6
171.17,33.5,33.8,33.7
172.16,33.6,34,33.8
173.2,33.7,34,33.9
174.19,33.8,34.1,34
175.18,33.7,34.1,34
176.19,33.4,33.9,34
177.18,33.5,33.9,34.1
178.19,33.8,34.3,34.5
179.19,34,34.6,34.8
180.2,34.1,34.8,35
181.19,34.3,35,35.3
182.19,34.6,35.2,35.5
183.21,34.3,35.1,35.4
184.19,34,34.7,35.2
185.2,34,34.6,35
186.21,33.7,34.3,34.6
187.21,33.5,34.1,34.3
188.22,34.1,34.6,34.6
189.21,34,34.4,34.5
190.22,33.8,34.3,34.4
191.22,33.6,34.1,34.2
192.21,34,34.6,34.4
193.22,34.8,35.3,35.2
194.21,35.1,35.8,35.8
195.21,35.3,36.1,36.2
196.22,35.8,36.6,37
197.23,36.1,37,37.5
198.22,36.2,37.3,37.9
199.23,36,37.1,37.9
200.24,35.1,36.2,36.9
201.22,34.9,35.9,36.3
202.23,35.2,36,35.9
203.23,35.8,36.6,36.3
204.24,35.4,36.2,36.7
205.24,35.2,36.2,36.6
206.22,35.3,36.1,36.6
207.23,35.3,36.1,36.6
208.24,35.3,36.2,36.7
209.25,35.3,36.2,36.7
210.25,35.2,36,36.6
211.23,35,35.9,36.4
212.25,34.9,35.7,36.2
213.24,34.9,35.6,36
214.25,35.2,35.8,36.1
215.26,35.4,35.9,36.2
216.25,35.7,36.2,36.5
217.26,36.5,37.2,37.2
218.25,37.4,38.3,38.2
219.26,37.9,38.9,39.2
220.25,37.4,38.6,39.2
221.25,36,37.2,38.2
222.26,35.6,36.5,37.2
223.27,36.1,36.8,37.3
224.26,37.4,38.1,38.4
225.27,37.4,38.4,38.9
226.26,36.4,37.5,38.2
227.27,36,37,37.6
228.26,35.9,36.8,37.3
229.27,35.9,36.6,37.1
230.28,35.8,36.5,36.8
231.27,35.6,36.2,36.5
232.28,35.4,36.2,36.4
233.27,35.4,36.1,36.2
234.29,35.6,36.3,36.4
235.28,35.9,36.5,36.6
236.27,36.1,36.7,36.8
237.28,37.1,37.7,37.8
238.29,37.8,38.6,38.8
239.28,37.2,38.2,38.6
240.3,36.4,37.3,37.9
241.28,36.2,36.9,37.4
242.3,36.6,37.3,37.6
243.26,37,37.7,38
244.29,37.5,38.3,38.6
245.3,38.1,39.1,39.4
246.27,37,38.1,38.7
247.3,36.5,37.4,38
248.29,36.6,37.4,37.9
249.27,36.9,37.7,38.1
250.3,37,37.9,38.2
251.3,36.6,37.5,37.9
252.29,36.2,36.9,37.4
253.31,36.2,36.8,37.1
254.31,36.8,37.4,37.5
255.3,37.5,38.1,38.1
256.31,37.5,38.2,38.5
257.32,37,37.9,38.2
258.31,36.8,37.7,38.1
259.32,36.6,37.4,37.8
260.32,36.4,37.1,37.5
261.32,36.2,36.9,37.2
262.33,36.1,36.7,37
263.32,36,36.6,36.8
264.33,36,36.5,36.7
265.32,36,36.5,36.6
266.32,36,36.5,36.5
267.33,36.1,36.5,36.5
268.32,36.1,36.5,36.5
269.33,36,36.4,36.4
270.33,35.9,36.3,36.3
271.35,35.9,36.3,36.2
272.33,35.9,36.2,36.2
273.34,35.9,36.2,36.2
274.33,35.9,36.2,36.1
275.34,35.9,36.2,36.1
276.33,35.9,36.2,36.1
277.35,35.9,36.2,36.1
278.36,35.8,36.2,36.1
279.34,35.8,36.2,36.1
280.35,35.8,36.2,36.1
281.36,35.8,36.2,36
282.35,35.8,36.2,36
283.35,35.8,36.2,36
284.36,35.7,36.2,36
285.35,35.8,36.1,36
286.36,35.7,36.2,36
287.36,35.7,36.1,36
288.35,35.7,36.2,36
289.37,35.7,36.1,36
290.36,35.7,36.1,36
291.37,35.7,36.1,36
292.36,35.7,36.1,36
293.37,35.7,36,36
294.36,35.7,36.1,36
295.37,35.7,36.1,35.9
296.38,35.7,36.1,35.9
297.36,35.7,36,35.9
298.37,35.7,36,36
299.38,35.7,36,35.9
300.37,35.7,36,35.9
301.39,35.7,36,35.9
302.39,35.6,36,35.9
303.38,35.7,36,35.9
304.39,35.7,36,35.9
305.4,35.7,36,35.9
306.38,35.6,36,35.9
307.4,35.7,36,36
308.38,35.6,36,35.9
309.39,35.6,36,35.9
310.39,35.6,36,36
311.4,35.7,36,35.9
312.4,35.6,35.9,35.9
313.39,35.6,36,35.9
314.4,35.6,36,35.9
315.4,35.6,35.9,35.9
316.4,35.6,36,35.9
317.41,35.6,36,35.9
318.4,35.6,35.9,35.9
319.42,35.6,35.9,35.9
320.42,35.6,35.9,35.9
321.42,35.6,36,35.9
322.41,35.6,35.9,35.9
323.42,35.6,36,35.9
324.42,35.6,35.9,35.9
325.41,35.6,35.9,35.9
326.42,35.6,35.9,35.9
327.43,35.6,36,35.9
328.42,35.6,35.9,35.9
329.43,35.6,35.9,35.9
330.44,35.6,35.9,35.9
331.43,35.6,35.9,35.9
332.43,35.6,35.9,35.9
333.44,35.6,35.9,35.9
334.43,35.6,35.9,35.9
335.43,35.6,35.9,35.9
336.43,35.5,35.9,35.9
337.45,35.6,35.9,35.9
338.44,35.6,35.9,35.9
339.45,35.6,35.9,35.9
340.44,35.6,35.9,35.9
341.44,35.6,35.9,35.9
342.44,35.6,35.9,35.9
343.45,35.6,35.9,35.9
344.44,35.6,35.9,35.9
345.45,35.6,35.9,35.9
346.46,35.6,35.9,35.9
347.45,35.6,35.9,35.9
348.46,35.6,35.9,35.9
349.46,35.6,35.9,35.9
350.46,35.6,35.9,35.9
351.47,35.6,35.9,35.9
352.46,35.6,35.9,35.9
353.46,35.6,35.9,35.9
354.47,35.6,35.9,35.9
355.46,35.6,35.9,35.9
356.47,35.6,36,35.9
357.48,35.6,35.9,35.9
358.47,35.6,35.9,35.9
359.47,35.6,35.9,35.9
360.46,35.6,35.9,35.9
361.47,35.6,35.9,35.9
362.48,35.6,35.9,35.9
363.46,35.6,35.9,35.9
364.47,35.6,35.9,35.9
365.48,35.6,35.9,35.9
366.49,35.6,35.9,35.9
367.48,35.6,35.9,35.9
368.49,35.6,35.9,35.9
369.48,35.6,35.9,35.9
370.49,35.7,35.9,35.9
371.48,35.7,35.9,35.9
372.48,35.6,35.9,35.9
373.49,35.7,36,36
374.5,35.7,35.9,36
375.49,35.7,36,35.9
376.49,35.7,36,36
377.5,35.7,35.9,36
378.5,35.7,36,36
379.51,35.7,36,36
380.5,35.7,36,36
381.51,35.7,36,36
382.49,35.7,36,36
383.51,35.7,36,36
384.48,35.7,36,36
385.51,35.7,36,36
386.5,35.7,36,36
387.49,35.7,36,36
388.52,35.7,36,36
389.52,35.7,36,36
390.51,35.7,36,36
391.52,35.7,36,36
392.53,35.7,36,36.1
393.52,35.7,36,36
394.53,35.7,36,36.1
395.52,35.7,36,36.1
396.54,35.7,36,36.1
397.52,35.7,36.1,36.1
398.53,35.7,36.1,36.1
399.54,35.7,36.1,36.1
400.53,35.7,36.1,36.1
401.53,35.7,36,36.1
402.54,35.8,36.1,36.1
403.53,35.7,36.1,36.1
404.52,35.7,36.1,36.1
405.53,35.7,36.1,36.1
406.54,35.7,36.1,36.1
407.55,35.7,36.1,36.1
408.55,35.8,36.1,36.1
409.55,35.8,36.1,36.2
410.55,35.8,36.1,36.2
411.55,35.8,36.1,36.2
412.56,35.9,36.2,36.3
413.56,36,36.3,36.3
414.55,36.2,36.5,36.4
415.56,36.5,36.6,36.5
416.55,37,37.1,37
417.56,37.9,38.2,37.8
418.56,38.4,39,38.7
419.57,38.7,39.5,39.5
420.56,38.9,39.8,39.9
421.57,38.9,39.8,40.2
422.57,38.8,39.6,40.2
423.56,38.8,39.6,40.1
424.57,38.8,39.6,40.1
425.57,38.7,39.6,40.1
426.57,38.5,39.3,39.9
427.58,38.2,39,39.5
428.57,38.2,39,39.5
429.58,38.2,39,39.5
430.59,38.1,38.9,39.3
431.59,38.2,38.9,39.3
432.58,38.2,38.9,39.3
433.59,38.4,39.1,39.4
434.58,38.5,39.2,39.6
435.58,38.6,39.3,39.7
436.59,38.7,39.5,39.8
437.6,38.9,39.7,39.9
438.59,39.5,40.3,40.6
439.59,40.3,41.2,41.6
440.61,40.8,41.8,42.5
441.6,40.3,41.5,42.3
442.61,39.3,40.5,41.5
443.59,38.9,39.9,40.9
444.6,39.5,40.4,41.1
445.62,40.3,41.1,41.7
446.61,40.5,41.5,41.9
447.62,39.8,40.9,41.5
448.6,39.1,40.1,40.8
449.62,38.7,39.5,40.2
450.62,38.7,39.3,39.8
451.6,38.8,39.4,39.8
452.62,38.9,39.6,39.8
453.62,38.7,39.3,39.6
454.61,38.5,39.2,39.4
455.62,38.5,39.1,39.3
456.63,39.1,39.6,39.8
457.62,39.6,40.3,40.3
458.63,40.4,41.1,41.2
459.62,40.7,41.6,41.8
460.62,40.1,41.1,41.5
461.63,39.3,40.2,40.9
462.64,39.5,40.2,40.7
463.63,39.9,40.7,41
464.64,40.1,41,41.3
465.63,40.4,41.2,41.6
466.64,39.6,40.7,41.2
467.65,39.2,40.1,40.7
468.63,39,39.7,40.2
469.64,38.8,39.4,39.9
470.65,39.1,39.7,39.9
471.64,39.1,39.7,39.9
472.64,38.9,39.5,39.7
473.65,38.8,39.3,39.6
474.64,38.7,39.3,39.4
475.65,38.7,39.2,39.3
476.66,38.7,39.2,39.3
477.65,38.7,39.1,39.3
478.64,38.7,39.1,39.2
479.65,38.7,39,39.1
480.67,38.6,39,39.1
481.65,38.5,39,39
482.67,38.5,39,39
483.66,38.5,38.9,38.9
484.67,38.6,39.1,39
485.66,38.7,39,39
486.67,38.9,39,39.1
487.68,38.7,39,39
488.67,38.7,39.1,39
489.66,38.7,39.1,39
490.68,38.7,39.1,39
491.68,38.7,39.1,39
492.68,38.7,39,39
493.68,38.7,39,39
494.67,38.7,39.1,39
495.68,38.8,39.1,39
496.68,38.8,39.1,39
497.69,38.8,39.1,39
498.68,38.8,39.2,39
499.69,38.9,39.2,39.1
500.68,38.9,39.3,39.1
501.7,38.9,39.2,39.2
502.69,38.9,39.4,39.2
503.69,39.4,39.7,39.7
504.7,42.1,42.7,42.3
505.69,44.7,45.7,45.7
506.71,46.3,48,48.5
507.7,45.8,48,49.2
508.69,42.9,44.9,46.7
509.7,41.4,43,44.9
510.71,40.7,42,43.5
511.7,40.4,41.4,42.6
512.71,40.3,41.1,42
513.72,41.1,41.9,42.4
514.71,41.6,42.4,42.9
515.72,41.3,42.3,42.8
516.71,41.1,42,42.6
517.71,40.8,41.7,42.3
518.72,41.4,42.3,42.7
519.71,43.1,44,44.3
520.73,44.7,45.8,46.3
521.7,44,45.4,46.5
522.73,42,43.5,45
523.73,41.1,42.1,43.5
524.73,42.1,42.9,43.7
525.73,44.1,45,45.2
526.74,42.7,44,44.4
527.73,42,43.2,44
528.71,41.9,42.8,43.5
529.73,41.5,42.3,42.9
530.74,41.3,42,42.4
531.72,41.1,41.8,42.2
532.73,41,41.6,42
533.74,41.3,41.9,42.2
534.75,42.2,42.9,43
535.75,43.2,44,44
536.74,44.3,45.4,45.8
537.75,43.7,45,45.9
538.76,42.3,43.6,44.8
539.74,41.8,42.8,43.9
540.75,42.4,43.3,44
541.76,43.9,44.8,45.3
542.75,43.8,45,45.6
543.76,42.5,43.8,44.7
544.75,42.4,43.5,44.4
545.75,42.5,43.5,44.3
546.76,43,43.9,44.5
547.77,42.5,43.4,44
548.77,41.9,42.8,43.4
549.77,41.9,42.7,43.1
550.78,42.6,43.4,43.6
551.77,43.1,44,44.2
552.77,45.1,46.1,46.4
553.76,45.8,47.3,47.6
554.77,44.1,45.8,46.7
555.78,42.9,44.5,45.7
556.78,42.4,43.8,45
557.77,42.2,43.4,44.3
558.78,42.4,43.4,44.2
559.79,43.3,44.1,44.8
560.77,44.1,45.1,45.7
561.79,43.6,44.9,45.4
562.77,43.4,44.6,45.4
563.78,44.4,45.5,46.2
564.79,46,47.1,47.7
565.78,47.6,48.9,49.7
566.8,46.5,48.4,49.5
567.78,44.7,46.6,48.1
568.79,44.1,45.7,47.4
569.8,45.6,46.9,48.1
570.79,46.7,48.1,49.1
571.79,46.3,47.9,49.3
572.8,44.8,46.4,48.1
573.79,43.8,45.3,46.8
574.81,43.2,44.3,45.5
575.79,42.9,43.8,44.7
576.8,43,44,44.6
577.81,43,43.9,44.4
578.82,43.9,44.8,45.2
579.8,45.4,46.4,46.6
580.81,46.7,48.1,48.3
581.8,45.9,47.6,48.5
582.81,44.3,45.9,47.3
583.8,43.8,45.1,46.4
584.82,43.9,45,46
585.81,44.8,45.7,46.5
586.83,45.8,47,47.6
587.82,44.6,45.9,46.7
588.83,44.4,45.6,46.6
589.81,44.8,45.8,46.7
590.82,45.1,46.1,47
591.84,44.4,45.6,46.4
592.83,43.9,45,45.8
593.82,43.8,44.7,45.5
594.83,44,45,45.6
595.82,44.4,45.4,46.1
596.83,46.5,47.6,47.9
597.85,46.5,48,48.5
598.83,45.4,47,47.9
599.84,44.5,46.1,47.2
600.85,44,45.5,46.6
601.84,43.7,45,46.1
602.85,44.2,45.4,46.2
603.84,44.8,45.9,46.6
604.84,45.3,46.4,47
605.86,44.6,45.7,46.5
606.84,44.8,45.8,46.5
607.86,45.6,46.6,46.9
608.86,47.3,48.2,48.6
609.86,48.3,49.6,50.2
610.87,47,48.6,49.6
611.86,45.2,46.8,48.1
612.87,45,46.3,47.6
613.86,46.5,47.7,48.6
614.86,47.6,49,49.8
615.86,47.5,49.2,50.2
616.86,46.1,47.9,49.4
617.87,45.5,47,48.6
618.86,44.7,46.1,47.3
619.87,44.2,45.2,46.3
620.86,44.1,45.1,45.9
621.88,44.2,45.2,45.9
622.87,45.3,46.3,46.8
623.88,46.4,47.5,48
624.89,47.1,48.6,49.2
625.87,46,47.7,48.8
626.88,44.8,46.3,47.7
627.89,44.5,45.7,47
628.88,45.1,46.3,47.1
629.89,46.5,47.6,48.3
630.88,47.5,49,49.6
631.89,45.8,47.4,48.6
632.9,45,46.4,47.6
633.88,44.9,46.1,47.4
634.89,45.3,46.3,47.3
635.9,44.7,45.8,46.7
636.91,44.2,45.1,46
637.89,44,44.9,45.7
638.9,44.6,45.2,45.9
639.89,44.9,45.9,46.5
640.9,46.5,47.6,48.2
641.91,47.3,48.7,49.3
642.91,46.1,47.8,48.9
643.9,44.9,46.6,48.1
644.91,44.3,45.8,47.3
645.9,44,45.3,46.7
646.91,44.9,46.1,47.2
647.92,45.1,46.4,47.3
648.92,45,46.3,47.3
649.91,45,46.2,47.2
650.92,44.9,46.1,47
651.92,45.7,46.7,47.5
652.92,47.5,48.6,49.3
653.93,49,50.3,51.2
654.92,47.7,49.5,50.8
655.92,46.1,48,49.6
656.93,46.2,47.9,49.4
657.94,47.9,49.4,50.7
658.92,48.7,50.3,51.6
659.93,47,48.8,50.4
660.94,45.7,47.4,49.1
661.93,44.9,46.2,47.8
662.94,44.5,45.6,46.8
663.94,44.2,45.2,46.2
664.94,44.2,45.1,45.8
665.94,44.4,45.3,45.9
666.94,45.3,46.2,46.7
667.94,46.5,47.5,48
668.95,47,48.2,48.9
