Time (s),Motor Temps
3.3,35.6
7.58,35.2
12.9,35.2
19.19,34.7
26.54,34.3
34.85,34.4
44.16,34.4
54.47,34.3
66.8,34.0
80.1,33.5
94.45,33.9
109.8,33.4
126.15,33.7
143.47,33.7
161.82,33.9
181.2,33.2
201.56,33.6
222.89,34.1
246.25,33.6
270.63,33.5
296.99,33.4
324.37,33.4
352.72,33.1
384.07,33.2
418.41,33.4
453.79,33.5
490.14,32.8
527.53,33.4
565.9,33.0
605.27,33.2
645.64,33.7
687.03,33.7
729.37,33.7
772.74,33.7
817.14,33.7
864.52,33.5
912.96,33.6
963.37,33.7
1014.74,34.0
1067.13,34.1
1120.56,33.2
1174.97,32.8
1231.37,34.5
1289.8,33.6
1349.18,33.6
1409.57,34.4
1472.02,34.7
1536.4,33.6
1601.82,34.7
1668.26,34.3
1735.64,34.3
1804.03,35.1
1873.46,34.7
1943.89,33.9
2015.3,35.2
2087.68,33.9
2161.09,34.4
2235.54,34.3
2312.99,36.2
2391.4,35.8
2470.84,35.8
2551.3,34.5
2632.72,35.1
2715.17,35.7
2798.59,35.3
2883.05,36.4
2968.49,35.8
3054.91,35.3
3142.37,36.6
3230.86,35.3
3320.3,37.4
3410.74,35.7
3504.19,35.8
3598.59,36.0
3694.04,36.6
3790.5,36.5
3887.96,38.7
3986.39,38.7
4086.86,37.4
4188.32,38.2
4291.8,38.1
4396.28,38.1
4501.74,39.4
4608.21,38.7
4715.69,39.8
4824.16,38.7
4933.64,39.0
5044.15,39.2
5155.63,38.5
5268.11,40.3
5382.61,40.4
5498.13,40.6
5614.62,39.0
5732.12,40.3
5851.6,38.9
5972.09,39.9
6094.6,40.3
6220.09,40.0
6346.59,40.3
6474.13,41.2
6602.61,39.6
6732.09,39.8
6862.6,40.3
6994.1,42.0
7126.64,39.9
7260.13,40.8
7394.65,41.4
7531.16,41.0
7668.67,40.8
7807.2,44.4
7946.68,42.3
8087.24,42.4
8228.73,43.1
8371.29,43.1
8514.82,42.4
8659.35,42.5
8804.91,43.2
8951.47,43.2
9098.99,44.0
9247.52,44.0
