Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
3.28,21,21,23,23
6.62,21,21,23,23
10.0,21,21,23,23
13.42,21,21,23,23
16.88,21,21,23,23
20.83,21,21,23,23
25.27,21,21,23,24
30.21,21,21,23,24
35.64,21,21,23,24
41.56,21,21,23,24
47.97,21,21,24,24
54.87,21,21,24,24
62.27,21,21,24,24
70.19,21,21,24,24
78.58,21,21,24,25
87.46,21,21,24,25
96.83,21,21,24,25
106.7,21,21,24,25
117.06,21,21,24,25
127.91,21,21,24,26
139.25,21,21,24,26
151.09,21,21,24,26
163.45,21,21,24,26
176.27,21,21,24,26
189.58,21,21,24,26
203.39,21,21,24,26
217.69,21,21,24,26
232.48,21,21,24,26
247.77,21,21,24,26
263.55,21,21,24,27
279.82,21,21,24,27
296.58,21,21,24,27
313.83,21,21,24,27
331.58,21,21,24,27
349.83,21,21,24,27
368.57,21,21,24,27
387.8,21,21,24,27
407.52,21,21,24,27
427.73,21,21,25,27
448.44,21,21,25,27
469.64,21,21,25,27
491.34,21,21,25,27
513.53,21,21,25,27
536.21,21,21,25,27
559.38,21,21,25,27
583.04,21,21,25,27
607.2,21,21,25,27
631.88,21,21,25,27
657.02,21,21,25,27
682.66,21,21,25,27
708.79,21,21,25,27
735.41,21,21,25,27
762.52,21,21,25,27
790.13,21,21,25,27
818.24,21,21,25,27
846.83,21,21,25,27
875.92,21,21,25,27
905.51,21,21,25,27
935.58,21,21,25,27
966.14,21,21,25,27
997.2,21,21,25,27
1028.75,21,21,25,28
1060.8,21,21,25,28
1093.33,21,21,25,28
1126.36,22,21,24,28
1159.88,21,21,25,28
1193.9,21,21,25,28
1228.41,21,21,25,28
1263.41,21,21,25,28
1298.91,21,21,25,28
1334.9,21,21,25,28
1371.38,21,21,25,28
1408.36,21,21,25,28
1445.83,21,21,25,28
1483.79,21,21,25,28
1522.24,21,21,25,28
1561.18,21,21,25,28
1600.62,21,21,25,28
1640.55,21,21,25,28
1680.97,21,21,29,28
1721.89,21,21,25,28
1763.3,21,21,25,28
1805.21,21,21,25,28
1847.62,21,21,25,28
1890.51,21,21,25,28
1933.89,21,21,25,28
1977.77,21,21,25,28
2022.14,21,21,25,28
2067.0,22,21,25,28
2112.37,21,21,25,28
2158.21,21,21,25,28
2204.55,21,21,25,28
2251.38,22,21,24,28
2298.71,22,21,25,28
2346.52,22,21,25,28
2394.85,22,21,25,28
2443.65,22,21,25,28
2492.95,22,21,25,28
2542.74,22,21,25,28
2593.03,21,21,25,28
2643.81,22,21,25,28
2695.08,22,21,24,28
2746.84,22,21,25,28
2799.1,21,21,25,28
2851.84,22,21,25,28
2905.08,22,21,25,28
2958.82,21,21,25,28
3013.05,22,21,25,28
3067.78,22,21,25,28
3122.99,22,22,25,28
3178.69,22,22,25,28
3234.89,22,22,25,28
3291.58,22,22,25,28
3348.76,22,22,25,28
3406.44,22,22,25,28
3464.61,22,22,25,28
3523.28,22,22,25,28
3582.44,22,22,25,28
3642.09,22,22,25,28
3702.23,22,22,25,28
3762.87,22,22,25,28
3824.0,22,22,25,28
3885.62,22,22,25,28
3947.74,22,22,25,28
4010.35,22,22,25,28
4073.45,22,22,25,28
4137.04,22,22,25,28
4201.14,22,22,25,28
4265.73,22,22,25,28
4330.81,22,22,25,28
4396.37,22,22,25,28
4462.43,22,22,25,28
4528.98,22,22,25,28
4596.03,22,22,25,28
4663.56,21,22,25,28
4731.61,22,22,25,28
4800.14,22,22,25,28
4869.17,22,22,25,28
4938.69,22,22,25,28
5008.71,22,22,25,28
5079.2,22,22,25,28
5150.18,22,22,25,28
5221.66,22,22,25,28
5293.63,22,22,25,28
5366.1,22,22,25,28
5439.06,22,22,25,28
5512.51,22,22,25,28
5586.45,22,22,25,28
5660.89,22,22,25,28
5736.0,22,22,25,28
5811.59,22,22,25,28
5887.53,22,22,25,28
5963.94,22,22,25,28
6040.84,22,22,25,28
6118.24,22,22,25,28
6196.13,22,22,25,28
6274.51,22,22,25,28
6353.38,22,22,25,28
6432.74,22,22,25,28
6512.59,22,22,25,28
6592.94,22,22,25,28
6673.78,22,22,25,28
6755.12,22,22,25,28
6836.94,22,22,25,28
6919.26,22,22,25,28
7002.09,22,22,25,28
7085.4,22,22,25,28
7169.2,22,22,25,28
7253.49,22,22,25,28
7338.28,22,22,25,28
7423.55,22,22,25,28
7509.32,22,22,25,28
7595.59,22,22,25,28
7682.34,22,22,25,28
7769.59,22,22,25,28
7857.33,22,22,25,28
7945.56,22,22,25,28
8034.29,22,22,25,28
8123.51,22,22,25,28
8213.22,22,21,25,28
8303.43,22,22,25,28
8394.13,22,22,25,28
8485.32,22,22,25,28
8577.0,22,22,25,28
8669.19,22,22,25,28
8761.87,22,22,25,28
8855.05,22,22,25,28
8948.72,22,22,25,28
9042.87,22,22,25,28
9137.52,22,22,25,28
9232.65,22,22,25,28
9328.28,22,22,25,28
9424.41,22,22,26,28
9521.02,22,22,26,28
9618.13,22,22,25,28
9715.73,22,22,26,28
9813.83,22,22,26,28
9912.44,22,22,26,28
10011.52,22,22,26,28
10111.09,22,22,26,28
10211.16,22,22,26,28
10311.72,22,22,26,28
10412.77,22,22,26,28
10514.31,22,22,26,28
10616.35,22,22,26,29
10718.89,22,22,26,28
10821.92,22,22,26,28
10925.44,22,22,26,28
11029.45,22,22,26,28
11133.95,22,22,26,28
11238.95,22,22,26,28
11344.44,22,22,26,29
11450.42,22,22,26,29
11556.9,22,20,26,29
11663.87,22,22,26,28
11771.33,22,23,26,29
11879.28,22,22,26,29
11987.73,22,22,26,29
12096.67,22,22,26,29
12206.1,22,22,26,29
12316.03,22,22,26,29
12426.45,22,22,26,28
12537.37,22,22,26,29
12648.78,22,22,26,29
12760.68,22,22,26,29
12873.08,22,22,26,29
12985.97,22,22,26,29
13099.35,22,22,26,29
13213.22,22,22,26,29
13327.59,22,22,26,29
13442.45,22,22,26,29
13557.81,22,22,26,29
13673.66,22,22,26,29
13790.0,22,22,26,29
13906.83,22,22,26,29
14024.16,22,22,27,29
14141.97,22,23,26,29
14260.28,22,22,26,29
14379.09,22,22,27,29
14498.39,22,22,27,29
14618.18,22,22,27,29
