Time (s),MC Temp A,MC Temp B,MC Temp C
3.23,13.3,13.3,13.3
4.27,22.5,23.0,22.8
5.31,22.4,22.8,22.7
6.28,22.3,22.7,22.6
7.35,22.3,22.7,22.6
8.29,22.4,22.8,22.7
9.29,22.4,22.9,22.7
10.3,22.4,22.9,22.7
12.31,22.4,22.8,22.7
13.29,22.4,22.9,22.7
14.34,22.4,22.9,22.7
15.34,22.4,22.9,22.7
16.35,22.5,22.9,22.8
17.31,22.4,22.9,22.7
18.34,22.4,22.9,22.8
19.37,22.4,22.9,22.7
20.35,22.5,22.9,22.8
21.32,22.5,22.9,22.7
23.35,22.5,22.9,22.8
24.37,22.4,22.9,22.8
25.34,22.4,22.9,22.8
26.35,22.5,22.9,22.8
27.38,22.5,22.9,22.8
28.34,22.5,22.9,22.8
29.36,22.5,22.9,22.8
31.34,22.5,22.9,22.8
33.37,22.5,22.9,22.8
34.33,22.5,22.9,22.8
35.38,22.5,22.9,22.8
36.34,22.5,22.9,22.8
37.38,22.5,22.9,22.8
38.36,22.5,22.9,22.8
39.36,22.5,22.9,22.8
40.36,22.5,22.9,22.9
41.39,22.7,23.1,22.9
42.33,22.7,23.1,23.0
43.37,22.7,23.2,23.0
44.39,22.7,23.2,23.1
45.42,22.7,23.2,23.1
46.4,22.7,23.2,23.1
47.38,22.8,23.2,23.1
48.43,22.8,23.2,23.1
49.41,23.2,23.7,23.6
50.38,24.8,25.3,25.1
51.37,26.1,26.7,26.7
52.39,26.2,27.0,27.3
53.41,25.8,26.7,27.1
54.41,25.5,26.2,26.7
56.39,23.7,24.3,24.6
57.41,23.6,24.1,24.2
58.42,23.5,24.0,24.0
59.38,23.6,24.1,24.1
60.38,24.2,24.7,24.6
61.42,24.4,24.9,25.0
62.44,24.3,24.9,25.0
63.41,23.9,24.5,24.7
64.37,23.8,24.4,24.5
65.41,23.9,24.5,24.5
66.43,24.4,24.9,25.0
67.38,24.6,25.1,25.2
68.37,24.8,25.4,25.5
69.42,25.8,26.5,26.6
70.39,26.1,26.7,27.1
71.41,24.3,25.0,25.5
72.37,23.9,24.5,24.9
73.41,24.6,25.1,25.2
74.43,25.1,25.7,25.7
77.44,24.2,24.8,25.0
78.4,24.1,24.6,24.8
79.42,23.9,24.6,24.6
80.46,23.9,24.4,24.4
81.39,23.7,24.2,24.2
82.45,23.6,24.1,24.2
83.4,24.4,24.9,24.9
84.45,25.3,25.9,25.9
85.44,24.9,25.5,25.7
86.4,26.2,26.8,26.9
87.45,26.9,27.6,27.9
88.48,27.1,27.9,28.3
