Time (s),Motor Temps
3.3,35.6
4.28,35.2
5.32,35.2
6.29,34.7
7.36,34.3
8.3,34.4
9.32,34.4
10.31,34.3
12.32,34.0
13.3,33.5
14.35,33.9
15.35,33.4
16.36,33.7
17.31,33.7
18.35,33.9
19.38,33.2
20.36,33.6
21.32,34.1
23.36,33.6
24.38,33.5
26.36,33.4
27.39,33.4
28.35,33.1
31.35,33.2
34.34,33.4
35.38,33.5
36.35,32.8
37.39,33.4
38.36,33.0
39.37,33.2
40.37,33.7
41.4,33.7
42.33,33.7
43.37,33.7
44.4,33.7
47.39,33.5
48.44,33.6
50.4,33.7
51.37,34.0
52.4,34.1
53.42,33.2
54.41,32.8
56.4,34.5
58.43,33.6
59.38,33.6
60.39,34.4
62.45,34.7
64.38,33.6
65.42,34.7
66.44,34.3
67.38,34.3
68.39,35.1
69.43,34.7
70.43,33.9
71.41,35.2
72.38,33.9
73.42,34.4
74.44,34.3
77.45,36.2
78.41,35.8
79.44,35.8
80.47,34.5
81.42,35.1
82.46,35.7
83.42,35.3
84.45,36.4
85.45,35.8
86.41,35.3
87.46,36.6
88.49,35.3
89.45,37.4
90.43,35.7
93.45,35.8
94.41,36.0
95.45,36.6
96.46,36.5
97.46,38.7
98.43,38.7
100.47,37.4
101.46,38.2
103.49,38.1
104.48,38.1
105.46,39.4
106.47,38.7
107.48,39.8
108.47,38.7
109.47,39.0
110.51,39.2
111.48,38.5
112.47,40.3
114.5,40.4
115.53,40.6
116.48,39.0
117.5,40.3
119.48,38.9
120.5,39.9
122.5,40.3
125.49,40.0
126.5,40.3
127.53,41.2
128.48,39.6
129.48,39.8
130.51,40.3
131.5,42.0
132.54,39.9
133.49,40.8
134.52,41.4
136.51,41.0
137.51,40.8
138.53,44.4
139.47,42.3
140.57,42.4
141.49,43.1
142.56,43.1
143.53,42.4
144.53,42.5
145.56,43.2
146.55,43.2
147.53,44.0
148.53,44.0
149.53,43.3
150.55,43.7
151.54,43.2
152.52,43.6
153.56,43.9
154.56,43.7
155.53,43.5
158.55,45.1
159.56,45.2
160.52,45.5
161.55,43.9
163.52,44.4
164.54,44.1
166.56,45.1
167.54,44.0
168.54,46.0
169.56,44.4
171.55,44.5
172.54,44.9
174.55,45.7
175.59,45.6
176.55,44.9
177.61,46.6
178.58,46.4
179.59,47.3
180.61,47.3
182.6,46.2
183.56,46.8
184.6,47.0
185.6,47.8
186.57,48.1
187.59,47.6
188.57,47.2
190.64,48.0
191.55,46.6
192.62,48.1
194.58,48.5
195.58,47.0
196.6,47.8
197.59,48.2
199.6,48.1
200.6,48.5
202.65,47.8
203.6,47.7
204.65,48.5
205.65,48.2
206.66,48.2
207.57,49.2
208.6,48.2
209.68,48.5
210.64,50.2
211.63,49.7
213.67,50.4
214.65,49.2
215.64,48.5
216.61,50.1
217.65,51.8
218.64,49.4
219.63,51.7
220.66,50.6
221.66,50.1
222.63,51.3
224.66,50.6
225.67,50.4
227.62,51.3
229.64,50.5
230.66,51.7
231.62,52.4
232.64,51.0
233.68,52.4
234.66,52.2
235.63,50.9
236.65,52.6
238.66,51.4
239.66,51.7
240.69,51.8
241.7,53.0
242.65,52.1
243.67,51.8
244.69,52.6
245.72,52.4
246.66,52.0
247.67,52.2
248.7,51.8
249.7,52.8
250.67,54.1
251.68,53.3
252.72,53.0
253.71,52.9
254.71,54.1
255.66,54.0
256.72,55.3
257.68,48.9
258.72,53.8
260.68,54.1
261.72,55.9
263.72,54.7
265.68,55.5
266.74,56.0
268.7,55.6
271.72,55.7
272.75,56.3
273.74,55.5
274.72,56.4
275.74,56.1
276.74,55.6
277.72,55.2
278.71,55.9
279.75,56.8
280.75,55.7
281.79,55.7
282.72,56.0
283.74,56.1
284.78,56.7
285.73,55.7
286.74,57.1
287.74,57.6
288.75,56.3
289.76,56.9
290.7,58.4
291.77,57.9
293.74,58.3
294.73,58.4
296.75,57.9
297.75,57.5
298.72,58.3
301.71,59.9
302.77,59.9
304.75,59.8
305.76,60.3
307.76,58.7
308.8,58.7
309.78,59.8
310.79,58.4
311.8,59.9
312.74,60.3
313.76,59.0
314.8,59.5
315.79,59.2
316.77,59.6
317.82,60.3
318.81,59.2
319.84,60.2
321.8,60.3
322.79,60.2
323.8,60.9
324.82,59.9
325.78,59.6
326.77,60.3
327.82,59.6
328.83,62.1
329.81,62.1
332.81,61.7
333.8,60.6
334.76,62.2
337.8,63.4
338.83,61.8
340.84,61.0
341.79,63.0
342.83,62.1
344.85,62.5
345.83,62.2
346.82,62.1
347.87,61.9
348.83,63.3
349.84,63.6
350.86,62.4
351.86,61.8
352.84,62.8
353.85,62.9
354.85,61.9
355.85,63.6
356.85,62.8
357.85,62.4
358.87,63.0
359.85,62.4
360.86,63.7
361.83,63.0
363.84,63.0
364.86,62.4
365.81,62.9
366.84,65.1
368.85,64.8
369.87,65.1
370.83,63.6
371.87,64.8
372.85,64.4
373.85,64.9
374.87,63.7
375.88,64.5
376.83,65.4
378.87,64.9
379.87,65.9
380.89,64.9
381.9,66.2
382.91,64.9
383.87,66.3
384.89,65.1
385.89,66.3
386.93,66.0
387.88,65.1
388.9,65.8
389.9,65.9
