Time (s),MC In,MC Out,Motor In,Motor Out
3.32,19,19,16,17
3.35,19,19,16,17
3.39,19,19,16,17
3.44,19,19,16,17
3.48,19,19,16,17
3.97,19,19,16,17
4.46,19,19,16,17
4.95,19,19,16,17
5.46,19,19,16,17
5.94,19,20,16,17
6.43,19,20,17,17
6.92,19,20,17,17
7.42,19,20,17,17
7.95,19,20,17,17
8.4,19,20,17,17
8.89,19,20,17,17
9.39,19,20,17,17
9.88,19,20,17,17
10.37,19,20,17,17
10.87,19,20,17,17
11.36,19,20,17,17
11.86,19,20,17,17
12.37,19,20,17,17
12.83,19,20,17,18
13.32,19,20,17,18
13.83,19,20,17,18
14.32,19,20,17,18
14.81,19,20,17,18
15.31,19,20,17,18
15.8,19,20,17,18
16.29,19,20,16,18
16.78,19,20,16,18
17.27,19,20,16,18
17.76,19,20,16,18
18.26,19,20,16,18
18.75,19,20,16,18
19.24,19,20,16,18
19.74,18,20,16,18
20.24,18,20,16,18
20.73,18,20,16,18
21.21,18,20,16,18
21.71,18,20,16,18
22.22,18,20,16,18
22.69,18,20,16,18
23.19,18,20,16,18
23.68,18,20,16,18
24.19,18,20,16,18
24.69,18,20,16,18
25.16,18,20,16,18
25.65,18,20,16,18
26.16,18,20,16,18
26.63,18,20,16,18
27.13,18,20,16,18
27.62,18,20,17,18
28.12,18,20,16,18
28.62,18,20,17,18
29.1,18,20,16,18
29.61,18,20,17,18
30.1,18,20,17,18
30.59,19,20,17,18
31.07,19,19,17,18
31.57,19,19,17,18
32.07,19,19,17,18
32.55,19,19,17,17
33.04,19,19,17,17
33.54,19,19,17,17
34.05,19,18,17,17
34.53,19,18,17,18
35.02,19,19,17,18
35.51,19,19,17,18
36.0,19,19,17,18
36.51,18,19,17,18
36.99,18,19,17,18
37.48,18,20,17,18
37.97,18,20,17,18
38.48,18,20,17,18
38.96,18,20,17,18
39.45,18,20,17,18
39.95,18,20,17,18
40.44,18,20,17,18
40.93,18,20,17,18
41.43,18,20,16,18
41.92,19,20,16,18
42.43,18,19,16,18
42.91,18,20,16,19
43.4,18,20,16,18
43.89,18,20,17,18
44.38,18,20,17,18
44.88,18,20,17,18
45.39,18,20,17,18
45.87,18,18,17,18
46.36,18,20,17,18
46.85,18,20,17,18
47.34,18,20,17,18
47.83,18,24,17,19
48.35,18,20,17,19
48.82,18,20,26,19
49.31,18,20,18,19
49.82,18,20,17,18
50.3,18,21,17,19
50.79,18,21,17,19
51.28,18,21,17,19
51.78,18,21,17,19
52.27,17,20,16,19
52.76,20,20,16,19
53.26,16,21,16,19
53.77,17,21,17,19
54.24,17,21,16,19
54.74,16,20,16,18
55.23,17,20,16,18
55.72,16,20,16,18
56.21,16,21,16,18
56.71,17,21,16,18
57.2,17,21,16,18
57.71,17,21,16,18
58.18,17,21,16,18
58.68,16,20,16,18
59.17,16,20,16,18
59.68,16,20,16,18
60.16,16,23,16,18
60.65,16,20,16,18
61.15,16,20,16,18
61.64,16,20,16,18
62.13,17,20,16,19
62.62,16,20,16,18
63.12,16,21,16,18
63.61,16,20,16,17
64.11,16,20,17,18
64.61,16,20,17,18
65.09,16,20,19,18
65.6,16,20,16,18
66.07,16,20,16,18
66.57,16,20,16,18
