Time (s),MC Inlet,MC Outlet,Motor Inlet,Motor Outlet
3.28,21,21,23,23
3.34,21,21,23,23
3.38,21,21,23,23
3.42,21,21,23,23
3.46,21,21,23,23
3.95,21,21,23,23
4.44,21,21,23,24
4.94,21,21,23,24
5.43,21,21,23,24
5.92,21,21,23,24
6.41,21,21,24,24
6.9,21,21,24,24
7.4,21,21,24,24
7.92,21,21,24,24
8.39,21,21,24,25
8.88,21,21,24,25
9.37,21,21,24,25
9.87,21,21,24,25
10.36,21,21,24,25
10.85,21,21,24,26
11.34,21,21,24,26
11.84,21,21,24,26
12.36,21,21,24,26
12.82,21,21,24,26
13.31,21,21,24,26
13.81,21,21,24,26
14.3,21,21,24,26
14.79,21,21,24,26
15.29,21,21,24,26
15.78,21,21,24,27
16.27,21,21,24,27
16.76,21,21,24,27
17.25,21,21,24,27
17.75,21,21,24,27
18.25,21,21,24,27
18.74,21,21,24,27
19.23,21,21,24,27
19.72,21,21,24,27
20.21,21,21,25,27
20.71,21,21,25,27
21.2,21,21,25,27
21.7,21,21,25,27
22.19,21,21,25,27
22.68,21,21,25,27
23.17,21,21,25,27
23.66,21,21,25,27
24.16,21,21,25,27
24.68,21,21,25,27
25.14,21,21,25,27
25.64,21,21,25,27
26.13,21,21,25,27
26.62,21,21,25,27
27.11,21,21,25,27
27.61,21,21,25,27
28.11,21,21,25,27
28.59,21,21,25,27
29.09,21,21,25,27
29.59,21,21,25,27
30.07,21,21,25,27
30.56,21,21,25,27
31.06,21,21,25,27
31.55,21,21,25,28
32.05,21,21,25,28
32.53,21,21,25,28
33.03,22,21,24,28
33.52,21,21,25,28
34.02,21,21,25,28
34.51,21,21,25,28
35.0,21,21,25,28
35.5,21,21,25,28
35.99,21,21,25,28
36.48,21,21,25,28
36.98,21,21,25,28
37.47,21,21,25,28
37.96,21,21,25,28
38.45,21,21,25,28
38.94,21,21,25,28
39.44,21,21,25,28
39.93,21,21,25,28
40.42,21,21,29,28
40.92,21,21,25,28
41.41,21,21,25,28
41.91,21,21,25,28
42.41,21,21,25,28
42.89,21,21,25,28
43.38,21,21,25,28
43.88,21,21,25,28
44.37,21,21,25,28
44.86,22,21,25,28
45.37,21,21,25,28
45.84,21,21,25,28
46.34,21,21,25,28
46.83,22,21,24,28
47.33,22,21,25,28
47.81,22,21,25,28
48.33,22,21,25,28
48.8,22,21,25,28
49.3,22,21,25,28
49.79,22,21,25,28
50.29,21,21,25,28
50.78,22,21,25,28
51.27,22,21,24,28
51.76,22,21,25,28
52.26,21,21,25,28
52.74,22,21,25,28
53.24,22,21,25,28
53.74,21,21,25,28
54.23,22,21,25,28
54.73,22,21,25,28
55.21,22,22,25,28
55.7,22,22,25,28
56.2,22,22,25,28
56.69,22,22,25,28
57.18,22,22,25,28
57.68,22,22,25,28
58.17,22,22,25,28
58.67,22,22,25,28
59.16,22,22,25,28
59.65,22,22,25,28
60.14,22,22,25,28
60.64,22,22,25,28
61.13,22,22,25,28
61.62,22,22,25,28
62.12,22,22,25,28
62.61,22,22,25,28
63.1,22,22,25,28
63.59,22,22,25,28
64.1,22,22,25,28
64.59,22,22,25,28
65.08,22,22,25,28
65.56,22,22,25,28
66.06,22,22,25,28
66.55,22,22,25,28
67.05,22,22,25,28
67.53,21,22,25,28
68.05,22,22,25,28
68.53,22,22,25,28
69.03,22,22,25,28
69.52,22,22,25,28
70.02,22,22,25,28
70.49,22,22,25,28
70.98,22,22,25,28
71.48,22,22,25,28
71.97,22,22,25,28
72.47,22,22,25,28
72.96,22,22,25,28
73.45,22,22,25,28
73.94,22,22,25,28
74.44,22,22,25,28
75.11,22,22,25,28
75.59,22,22,25,28
75.94,22,22,25,28
76.41,22,22,25,28
76.9,22,22,25,28
77.4,22,22,25,28
77.89,22,22,25,28
78.38,22,22,25,28
78.87,22,22,25,28
79.36,22,22,25,28
79.85,22,22,25,28
80.35,22,22,25,28
80.84,22,22,25,28
81.34,22,22,25,28
81.82,22,22,25,28
82.32,22,22,25,28
82.83,22,22,25,28
83.31,22,22,25,28
83.8,22,22,25,28
84.29,22,22,25,28
84.79,22,22,25,28
85.27,22,22,25,28
85.77,22,22,25,28
86.27,22,22,25,28
86.75,22,22,25,28
87.25,22,22,25,28
87.74,22,22,25,28
88.23,22,22,25,28
88.73,22,22,25,28
89.22,22,22,25,28
89.71,22,21,25,28
90.21,22,22,25,28
90.7,22,22,25,28
91.19,22,22,25,28
91.68,22,22,25,28
