Time (s),Current
3.37,0.1
3.55,0.1
3.62,0.4
3.66,0.1
3.84,0.0
4.01,-0.2
4.11,0.1
4.35,0.0
4.48,0.1
4.63,0.1
4.72,0.1
4.82,0.4
5.0,0.4
5.11,0.0
5.23,0.1
5.34,0.0
5.59,0.1
5.72,0.1
5.86,0.0
6.01,0.0
6.13,0.1
6.33,0.1
6.48,0.0
6.62,0.6
6.74,0.0
6.83,0.1
6.97,0.1
7.11,0.1
7.28,0.4
7.41,0.4
7.49,0.1
7.61,0.1
7.7,0.4
7.87,0.1
8.03,0.0
8.15,0.1
8.2,0.1
8.32,0.1
8.5,0.1
8.61,0.0
8.72,0.1
8.82,0.0
8.99,0.4
9.12,0.1
9.24,0.1
9.46,0.1
9.6,0.1
9.7,0.1
9.84,0.0
9.98,-0.2
10.13,0.1
10.24,0.0
10.38,0.0
10.55,0.4
10.65,0.1
10.75,0.0
10.9,0.1
11.05,0.0
11.15,0.0
11.26,0.0
11.39,0.1
11.53,0.1
11.65,0.1
11.8,0.0
11.94,0.0
12.03,0.1
12.13,0.1
12.29,0.1
12.5,-0.2
12.61,0.1
12.66,0.1
12.74,0.1
12.9,-0.2
13.03,0.0
13.13,0.1
13.24,0.0
13.36,0.1
13.46,0.4
13.64,0.1
13.75,0.1
13.98,0.1
14.12,0.1
14.23,0.0
14.44,0.1
14.55,0.4
14.61,0.0
14.74,-0.2
14.86,0.1
15.05,0.1
15.15,0.1
15.4,0.1
15.52,0.1
15.62,0.0
15.82,0.0
16.05,0.4
16.12,0.1
16.28,0.1
16.45,0.1
16.55,0.0
16.73,0.1
16.87,0.1
17.02,-0.2
17.15,0.1
17.3,0.1
17.42,0.1
17.51,0.0
17.66,0.1
17.77,0.0
17.92,0.0
18.02,0.1
18.11,0.0
18.29,-0.2
18.41,0.1
18.5,0.1
18.64,0.1
18.76,0.0
18.93,0.0
19.02,0.0
19.1,0.0
19.26,0.1
19.43,-0.2
19.52,0.1
19.63,0.4
19.76,0.0
19.87,0.0
20.12,0.0
20.41,0.0
20.52,0.1
20.65,0.0
20.79,0.1
20.92,0.0
21.05,0.1
21.13,0.0
21.23,0.1
21.37,0.0
21.5,0.0
21.66,0.0
21.77,0.0
21.88,0.0
21.97,0.1
22.1,0.1
22.29,0.1
22.39,0.0
22.46,0.1
22.56,0.0
22.7,0.4
22.81,0.1
23.01,0.1
23.11,0.4
23.22,0.4
23.34,0.1
23.47,0.1
23.6,0.0
23.72,0.0
23.87,0.0
23.96,-0.2
24.09,0.4
24.21,0.1
24.51,0.1
24.61,-0.2
24.75,0.0
24.85,0.0
24.96,0.1
25.11,0.0
25.22,0.0
25.33,0.1
25.46,0.0
25.56,0.0
25.72,0.0
25.83,0.4
25.93,0.0
26.06,0.4
26.24,0.1
26.37,0.0
26.43,0.0
26.57,0.1
26.7,0.1
26.82,0.1
26.92,0.0
27.03,0.1
27.14,0.0
27.31,0.1
