Time (s),Motor Temps
2.0,32.6
3.0,32.3
3.95,32.6
4.95,32.4
5.95,32.7
6.9,32.4
7.9,32.3
8.9,32.6
9.85,32.4
10.85,32.4
11.85,32.2
12.8,32.6
13.8,32.6
14.75,32.7
15.75,31.7
16.75,32.4
17.7,32.3
18.7,31.8
19.7,31.9
20.65,31.5
21.65,31.4
22.65,31.3
23.6,31.3
24.6,31.3
25.55,31.3
26.55,31.3
27.55,31.4
28.5,31.1
29.5,31.4
30.5,30.5
31.45,31.3
32.45,31.1
33.45,30.6
34.4,31.3
35.4,30.6
36.4,31.4
37.35,31.4
38.35,31.9
39.3,31.4
40.3,31.0
41.3,30.6
42.25,31.3
43.25,31.4
44.25,31.9
45.2,31.5
46.2,30.6
47.2,31.4
48.15,31.1
49.15,31.7
50.1,31.1
51.1,30.6
52.1,31.9
53.05,31.9
54.05,32.3
55.05,30.5
56.0,31.8
57.0,31.5
58.0,31.5
58.95,32.2
59.95,32.3
60.9,31.4
61.9,32.4
62.9,32.0
63.85,32.3
64.85,31.4
65.85,32.0
66.8,32.0
67.8,32.7
68.8,32.4
69.75,32.7
70.75,32.8
71.7,31.9
72.7,31.8
73.7,32.0
74.65,32.7
75.65,33.0
76.65,32.6
77.6,31.8
78.6,32.0
79.6,31.9
80.55,33.1
81.55,31.8
82.5,33.2
83.5,32.4
84.5,33.1
85.45,32.0
86.45,32.7
87.45,34.0
88.4,33.6
89.4,33.1
90.4,33.1
91.35,33.7
92.35,33.5
93.3,33.1
94.3,33.6
95.3,33.6
96.25,33.7
97.25,33.5
98.25,33.5
99.2,33.5
100.2,33.6
101.2,33.5
102.15,33.7
103.15,33.6
104.1,33.7
105.1,33.6
106.1,33.5
107.05,33.6
108.05,33.0
109.05,33.6
110.0,33.5
111.0,33.7
112.0,33.7
112.95,33.7
113.95,33.6
114.95,33.6
115.9,33.4
116.9,33.5
117.85,33.6
118.85,33.0
119.85,33.5
120.8,33.6
121.8,33.7
122.8,33.5
123.75,33.6
124.75,33.6
125.75,33.5
126.7,33.5
127.7,33.7
128.65,33.7
129.65,33.7
130.65,33.5
131.6,33.5
132.6,33.2
133.6,33.9
134.55,33.7
135.55,33.1
136.55,33.9
137.5,33.6
138.5,33.6
139.45,33.5
140.45,33.6
141.45,33.4
142.4,33.6
143.4,33.6
144.4,33.5
145.35,33.5
146.35,33.5
147.35,33.5
148.3,33.2
149.3,33.4
150.25,33.6
151.25,33.7
152.25,33.6
153.2,33.0
154.2,33.5
155.2,33.5
156.15,33.4
157.15,33.6
158.15,33.6
159.1,33.7
160.1,33.6
161.05,33.6
162.05,33.7
163.05,33.4
164.0,33.6
165.0,33.6
166.0,33.4
166.95,33.5
167.95,33.5
168.95,33.5
169.9,33.6
170.9,33.5
171.85,33.1
172.85,33.7
173.85,33.7
174.8,33.6
175.8,33.5
176.8,33.5
177.75,33.5
178.75,33.6
179.75,33.7
180.7,33.6
181.7,33.6
182.65,33.7
183.65,33.6
184.65,33.7
185.6,34.0
186.6,33.6
187.6,33.9
188.55,33.5
189.55,33.7
190.55,33.7
191.5,33.6
192.5,33.6
193.5,33.6
194.45,33.7
195.45,33.6
196.4,33.4
197.4,33.6
198.4,34.1
199.35,33.9
200.35,34.0
201.35,33.9
202.3,33.5
203.3,34.0
204.3,33.7
205.25,33.9
206.25,33.7
207.2,34.1
208.2,33.9
209.2,34.3
210.15,33.9
211.15,34.0
212.15,33.7
213.1,33.7
214.1,33.6
215.1,33.9
216.05,33.7
217.05,33.9
218.0,33.9
219.0,34.0
220.0,33.7
220.95,33.4
221.95,33.7
222.95,34.0
223.9,33.9
224.9,34.3
225.9,34.1
226.85,33.9
227.85,34.0
228.8,33.9
229.8,34.0
230.8,34.0
231.75,34.0
232.75,33.9
233.75,33.9
234.7,34.0
235.7,33.9
236.7,33.9
237.65,33.9
238.65,33.7
239.6,34.0
240.6,33.7
241.6,33.7
242.55,33.7
243.55,33.6
244.55,33.9
245.5,34.0
246.5,34.0
247.5,34.1
248.45,34.1
249.45,33.7
250.4,34.0
251.4,34.0
252.4,34.1
253.35,33.9
254.35,34.3
255.35,34.1
256.3,33.9
257.3,33.9
258.3,34.0
259.25,34.1
260.25,33.6
