Time (s),Inlet Water Temp (C),Outlet Water Temp (C),Inlet Air Temp (C),Outlet Air Temp (C)
0.0,-57.0,151.4,26.61,27.35
0.4,25.6,151.4,25.98,26.31
0.4,-57.0,151.4,27.1,28.04
0.8,25.9,151.4,26.56,27.38
1.05,-57.0,151.4,26.7,26.03
1.45,25.6,151.4,25.87,25.46
1.95,25.7,151.4,26.03,25.52
2.45,25.8,151.4,25.96,25.55
2.95,25.4,151.4,25.94,25.57
3.45,25.7,151.4,25.82,25.8
3.95,25.9,151.4,25.91,25.94
4.45,25.9,151.4,26.1,25.94
4.95,25.4,151.4,26.01,25.84
5.4,25.6,151.4,26.19,26.1
5.9,25.7,151.4,26.03,26.21
6.4,25.1,151.4,26.05,26.21
6.9,26.0,151.4,25.98,25.94
7.4,25.5,151.4,25.96,25.59
7.9,25.5,151.4,25.78,25.32
8.4,25.8,151.4,25.75,25.04
8.9,25.4,151.4,25.71,24.68
9.4,25.9,151.4,25.62,24.68
9.9,25.9,151.4,25.5,24.52
10.35,25.5,151.4,25.62,24.59
10.85,25.9,151.4,25.59,24.55
11.35,25.8,151.4,25.62,24.57
11.85,25.8,151.4,25.59,24.7
12.35,25.5,151.4,25.68,24.93
12.85,25.5,151.4,25.46,25.14
13.35,25.7,151.4,25.78,25.43
13.85,25.8,151.4,25.73,25.87
14.35,28.9,151.4,25.96,26.17
14.85,26.1,151.4,26.79,25.98
15.3,26.6,151.4,26.38,26.05
15.8,25.8,151.4,25.75,27.85
16.3,25.9,151.4,25.8,25.98
16.8,26.0,151.4,25.78,25.87
17.3,25.8,151.4,26.42,25.91
17.8,25.8,151.4,26.01,26.19
18.3,23.5,151.4,26.17,26.79
18.8,25.9,151.4,26.21,26.77
19.3,25.7,151.4,26.1,26.72
19.8,22.0,151.4,26.49,26.61
20.3,25.8,151.4,26.65,26.51
20.75,25.7,151.4,26.82,26.47
21.25,25.7,151.4,32.47,26.19
21.75,25.8,151.4,27.1,26.7
22.25,25.7,151.4,27.12,26.21
22.75,25.0,151.4,27.24,26.07
23.25,25.7,151.4,31.04,25.94
23.75,25.8,151.4,27.35,25.68
24.25,25.9,151.4,27.63,25.48
24.75,26.0,151.4,27.28,25.18
25.25,26.0,151.4,27.4,26.14
25.7,26.1,151.4,27.47,25.41
26.2,25.8,151.4,27.4,25.34
26.7,26.0,151.4,27.52,25.25
27.2,24.2,151.4,27.54,26.44
27.7,26.0,151.4,27.56,25.16
28.2,25.9,151.4,27.54,25.04
28.7,25.8,151.4,27.54,25.46
29.2,25.7,151.4,27.63,25.59
29.7,20.7,151.4,27.75,24.89
30.2,26.0,151.4,27.92,25.14
30.65,25.7,151.4,28.25,25.59
31.15,25.0,151.4,27.99,26.12
31.65,31.1,151.4,28.25,25.27
32.15,25.9,151.4,28.25,25.52
32.65,25.9,151.4,28.3,25.41
33.15,25.7,151.4,27.73,23.96
33.65,27.0,151.4,28.41,24.91
34.15,26.1,151.4,28.44,25.0
34.65,25.8,151.4,28.49,24.89
35.15,25.9,151.4,28.6,25.07
35.6,24.6,151.4,28.58,25.3
36.1,26.1,151.4,28.53,25.55
36.6,25.8,151.4,28.77,25.07
37.1,25.8,151.4,28.6,24.93
37.6,26.0,151.4,28.56,24.73
38.1,25.8,151.4,28.65,24.64
38.6,24.1,151.4,28.53,24.73
39.1,25.4,151.4,28.77,24.95
39.6,25.9,151.4,30.09,24.61
40.1,25.8,151.4,28.75,25.32
40.55,26.1,151.4,28.6,26.17
41.05,26.2,151.4,28.7,26.21
41.55,26.0,151.4,28.77,25.57
42.05,26.0,151.4,30.31,25.59
42.55,26.2,151.4,28.91,25.52
43.05,26.5,151.4,28.82,25.5
43.55,26.2,151.4,28.96,25.55
44.05,25.5,151.4,29.01,25.27
44.55,26.1,151.4,28.75,25.71
45.05,25.5,151.4,28.72,25.82
45.5,25.9,151.4,28.89,25.98
46.0,26.2,151.4,29.08,25.36
46.5,26.0,151.4,28.91,24.93
47.0,26.3,151.4,29.01,25.36
47.5,26.3,151.4,28.91,24.23
48.0,26.2,151.4,28.82,25.23
48.5,26.1,151.4,28.91,24.64
49.0,26.6,151.4,28.82,24.73
49.5,26.4,151.4,28.96,24.93
50.0,26.0,151.4,28.22,25.11
50.5,25.8,151.4,28.87,25.57
50.95,26.5,151.4,29.08,25.71
51.45,26.3,151.4,28.39,25.62
51.95,26.1,151.4,38.14,25.46
52.45,25.9,151.4,28.87,26.19
52.95,26.1,151.4,29.01,26.12
53.45,26.1,151.4,29.06,25.41
53.95,26.7,151.4,33.5,25.2
54.45,26.3,151.4,28.89,25.16
54.95,26.1,151.4,29.01,25.39
55.45,26.5,151.4,28.87,25.34
55.9,26.3,151.4,27.07,25.39
56.4,25.6,151.4,28.89,25.59
56.9,26.1,151.4,28.87,25.59
57.4,26.3,151.4,28.79,25.46
57.9,26.1,151.4,28.79,25.59
58.4,27.1,151.4,28.91,26.14
58.9,25.5,151.4,29.03,26.24
59.4,26.3,151.4,29.59,26.26
59.9,26.4,151.4,29.01,25.57
60.4,26.2,151.4,29.13,25.8
60.85,26.6,151.4,28.32,25.96
61.35,26.3,151.4,29.06,26.24
61.85,26.4,151.4,29.08,25.87
62.35,26.6,151.4,29.08,25.71
62.85,26.4,151.4,29.06,25.91
63.35,26.4,151.4,22.43,26.38
63.85,26.6,151.4,29.08,25.8
64.35,26.4,151.4,29.61,25.66
64.85,26.7,151.4,29.25,24.73
65.35,26.4,151.4,29.66,25.23
65.8,27.0,151.4,29.13,25.87
66.3,26.7,151.4,29.39,26.4
66.8,26.8,151.4,29.27,23.31
67.3,26.6,151.4,29.25,26.35
67.8,26.4,151.4,29.34,25.62
68.3,26.5,151.4,29.46,25.57
68.8,26.5,151.4,29.34,25.66
69.3,24.9,151.4,29.34,26.03
69.8,26.8,151.4,29.56,25.73
70.3,26.8,151.4,29.42,25.46
70.75,26.6,151.4,29.61,25.39
71.25,26.4,151.4,29.39,25.41
71.75,26.6,151.4,29.51,26.19
72.25,26.7,151.4,29.46,26.1
72.75,26.6,151.4,29.73,25.94
73.25,26.4,151.4,29.3,26.17
73.75,27.8,151.4,29.49,26.01
74.25,25.7,151.4,29.44,26.26
74.75,26.5,151.4,27.73,25.96
75.25,26.4,151.4,29.11,25.55
75.75,27.1,151.4,29.25,25.5
76.2,26.9,151.4,29.44,25.52
76.7,27.3,151.4,29.46,25.41
77.2,25.8,151.4,30.68,25.52
77.7,27.0,151.4,29.44,25.41
78.2,26.9,151.4,29.66,25.78
78.7,25.1,151.4,29.54,26.35
79.2,27.1,151.4,29.66,26.63
79.7,27.1,151.4,29.73,26.17
80.2,25.6,151.4,29.54,25.91
80.7,27.0,151.4,30.29,26.68
81.15,26.8,151.4,29.49,26.26
81.65,26.8,151.4,29.95,25.73
82.15,27.3,151.4,28.13,25.43
82.65,25.3,151.4,29.25,24.82
83.15,27.2,151.4,29.27,24.66
83.65,27.1,151.4,29.63,24.82
84.15,26.1,151.4,26.56,24.66
84.65,26.5,151.4,29.27,24.86
85.15,26.7,151.4,29.75,24.93
85.65,26.9,151.4,29.54,25.16
86.1,26.8,151.4,29.2,25.82
86.6,27.1,151.4,29.59,26.35
87.1,26.9,151.4,29.97,26.28
87.6,27.0,151.4,29.59,26.17
88.1,27.3,151.4,29.63,17.31
88.6,26.1,151.4,29.56,25.23
89.1,26.8,151.4,29.42,25.34
89.6,27.3,151.4,26.72,25.32
90.1,27.4,151.4,29.61,25.27
90.6,26.3,151.4,30.36,25.68
91.05,26.1,151.4,29.71,26.01
91.55,27.2,151.4,29.78,24.39
92.05,20.9,151.4,29.75,25.32
92.55,27.4,151.4,29.8,25.2
93.05,27.0,151.4,29.85,24.39
93.55,26.9,151.4,29.73,25.36
94.05,25.8,151.4,29.83,25.64
94.55,27.2,151.4,29.97,25.39
95.05,25.7,151.4,30.99,23.92
95.55,26.5,151.4,29.92,25.75
96.0,27.2,151.4,30.0,25.87
96.5,27.1,151.4,30.14,26.31
97.0,27.1,151.4,29.85,27.68
97.5,27.0,151.4,29.68,26.65
98.0,26.9,151.4,29.59,26.54
98.5,27.2,151.4,29.83,26.4
99.0,27.3,151.4,29.3,26.49
99.5,27.2,151.4,28.96,26.72
100.0,27.3,151.4,28.7,26.98
100.5,27.2,151.4,24.1,27.47
100.95,27.2,151.4,28.39,27.68
101.45,27.4,151.4,28.39,27.89
101.95,27.3,151.4,28.51,27.87
102.45,27.6,151.4,28.56,27.99
102.95,26.6,151.4,28.49,28.32
103.45,27.4,151.4,28.3,28.75
103.95,27.5,151.4,28.13,28.63
104.45,27.6,151.4,27.89,12.87
104.95,27.9,151.4,27.73,28.84
105.45,27.5,151.4,27.31,28.94
105.95,27.6,151.4,27.54,29.06
106.4,27.6,151.4,26.91,29.18
106.9,27.6,151.4,27.03,28.68
107.4,27.6,151.4,27.17,28.46
107.9,27.5,151.4,26.91,28.37
108.4,27.4,151.4,27.4,28.39
108.9,27.6,151.4,27.52,28.32
109.4,27.5,151.4,27.63,28.3
109.9,27.9,151.4,27.73,28.6
110.4,27.3,151.4,27.73,28.27
110.9,27.0,151.4,27.8,28.41
111.35,27.5,151.4,27.96,28.58
111.85,27.4,151.4,27.94,23.58
112.35,27.9,151.4,28.04,28.08
112.85,27.8,151.4,28.18,28.06
113.35,27.9,151.4,27.8,27.94
113.85,27.8,151.4,28.27,27.31
114.35,27.9,151.4,27.61,27.49
114.85,27.8,151.4,27.4,28.13
115.35,27.6,151.4,37.22,27.24
115.85,27.5,151.4,27.17,27.59
116.3,27.1,151.4,27.21,27.54
116.8,27.8,151.4,27.26,27.56
117.3,27.6,151.4,27.12,27.78
117.8,31.1,151.4,27.28,27.85
118.3,27.7,151.4,27.4,27.75
118.8,27.9,151.4,27.38,27.68
119.3,27.8,151.4,28.34,27.7
119.8,27.6,151.4,27.42,27.59
120.3,27.6,151.4,27.14,27.8
120.8,27.8,151.4,27.26,27.49
121.25,27.3,151.4,27.03,27.47
121.75,28.0,151.4,26.89,27.47
122.25,27.8,151.4,26.96,27.33
122.75,27.8,151.4,27.07,27.21
123.25,27.9,151.4,27.38,27.07
123.75,27.8,151.4,27.66,26.84
124.25,27.3,151.4,27.75,26.98
124.75,28.0,151.4,27.7,28.84
125.25,29.8,151.4,27.85,26.86
125.75,28.1,151.4,28.08,26.58
126.2,28.0,151.4,28.32,26.98
126.7,27.7,151.4,27.73,26.05
127.2,27.8,151.4,27.26,26.86
127.7,27.9,151.4,27.03,27.28
128.2,27.9,151.4,45.13,27.49
128.7,27.3,151.4,27.17,27.82
129.2,28.0,151.4,26.58,27.92
129.7,28.2,151.4,26.19,27.99
130.2,27.9,151.4,26.05,28.25
130.7,27.8,151.4,26.17,28.15
131.2,27.9,151.4,26.1,31.24
131.65,27.9,151.4,26.24,28.56
132.15,28.1,151.4,26.51,28.39
132.65,28.1,151.4,26.58,28.41
133.15,28.0,151.4,26.61,28.79
133.65,27.9,151.4,26.96,29.11
134.15,27.8,151.4,26.72,29.15
134.65,28.0,151.4,26.79,29.27
135.15,28.1,151.4,26.86,29.42
135.65,28.3,151.4,26.98,29.27
136.15,27.8,151.4,27.12,29.22
136.6,27.9,151.4,27.21,29.11
137.1,28.4,151.4,27.49,29.01
137.6,27.8,151.4,28.3,44.12
138.1,28.3,151.4,27.85,29.06
138.6,28.2,151.4,27.92,29.03
139.1,28.1,151.4,28.06,29.2
139.6,28.2,151.4,27.73,29.25
140.1,28.2,151.4,27.78,29.83
140.6,28.3,151.4,27.94,29.08
141.1,28.1,151.4,36.62,29.18
141.55,28.0,151.4,28.13,29.03
142.05,28.1,151.4,28.58,28.99
