TIme (s),Pack Voltage,Current (DC Amps),Power Consumption (W)
1.0,424.41,1.0,424.41
1.6,424.54,1.0,424.54
2.15,424.54,1.0,424.54
2.75,424.54,-0.0,-0.0
3.35,424.54,1.0,424.54
3.9,424.54,1.0,424.54
4.5,424.54,-0.0,-0.0
5.1,424.54,1.0,424.54
5.65,424.53,1.0,424.53
6.25,424.54,1.0,424.54
6.85,424.54,1.0,424.54
7.4,424.54,-0.0,-0.0
8.0,424.54,1.0,424.54
8.6,424.54,1.0,424.54
9.15,424.54,1.0,424.54
9.75,424.54,1.0,424.54
10.9,424.54,1.0,424.54
11.5,424.54,1.0,424.54
12.1,424.54,1.0,424.54
12.65,424.54,1.0,424.54
13.25,424.54,1.0,424.54
13.85,424.54,-0.0,-0.0
14.4,424.54,1.0,424.54
15.0,424.54,1.0,424.54
15.6,424.54,1.0,424.54
16.75,424.54,1.0,424.54
17.35,424.54,1.0,424.54
17.9,424.54,1.0,424.54
18.5,424.54,1.0,424.54
19.1,424.54,1.0,424.54
19.65,424.54,1.0,424.54
20.25,424.54,1.0,424.54
20.85,424.54,1.0,424.54
21.4,424.5,1.0,424.5
22.0,424.52,1.0,424.52
22.6,424.53,1.0,424.53
23.15,424.53,1.0,424.53
23.75,424.53,1.0,424.53
24.35,424.53,-0.0,-0.0
24.9,424.53,1.0,424.53
25.5,424.53,1.0,424.53
26.1,424.53,1.0,424.53
26.65,424.53,1.0,424.53
27.25,424.53,1.0,424.53
27.85,424.53,1.0,424.53
29.0,424.53,1.0,424.53
29.6,424.53,-0.0,-0.0
30.15,424.48,1.0,424.48
30.75,424.45,1.0,424.45
31.35,424.45,1.0,424.45
31.9,424.44,1.0,424.44
32.5,424.45,1.0,424.45
33.1,424.28,1.0,424.28
34.25,424.29,1.0,424.29
34.85,424.26,1.0,424.26
35.45,424.14,1.0,424.14
36.0,423.97,1.0,423.97
36.6,423.72,1.0,423.72
37.75,423.27,2.0,846.54
38.35,422.94,2.0,845.88
38.95,422.78,3.0,1268.34
39.5,423.51,3.0,1270.53
40.1,423.04,4.0,1692.16
40.7,422.64,3.0,1267.92
