TIme (s),Pack Voltage,Current (DC Amps),Power Consumption (W)
0.2,448.21,2.0,896.42
1.4,448.22,1.0,448.22
1.95,448.22,1.0,448.22
2.55,448.21,1.0,448.21
3.15,448.22,1.0,448.22
3.7,448.22,1.0,448.22
4.3,448.22,1.0,448.22
4.9,448.21,1.0,448.21
5.45,448.22,1.0,448.22
6.05,448.22,1.0,448.22
6.65,448.22,1.0,448.22
7.2,448.21,2.0,896.42
7.8,448.22,1.0,448.22
8.4,448.22,1.0,448.22
8.95,448.22,1.0,448.22
9.55,448.21,1.0,448.21
10.15,448.22,2.0,896.44
10.7,448.22,1.0,448.22
11.3,448.22,2.0,896.44
12.45,448.22,2.0,896.44
13.05,448.22,2.0,896.44
13.65,448.22,1.0,448.22
14.2,448.22,1.0,448.22
14.8,448.22,1.0,448.22
15.35,448.22,1.0,448.22
15.95,448.23,1.0,448.23
16.55,448.22,1.0,448.22
17.7,448.22,1.0,448.22
18.3,448.22,1.0,448.22
18.85,448.22,1.0,448.22
19.45,448.22,1.0,448.22
20.05,448.22,1.0,448.22
20.6,448.23,1.0,448.23
21.2,448.22,1.0,448.22
21.8,448.23,1.0,448.23
22.35,448.23,1.0,448.23
22.95,448.23,1.0,448.23
23.55,448.22,2.0,896.44
24.1,448.22,1.0,448.22
25.3,448.23,1.0,448.23
25.85,448.22,2.0,896.44
26.45,448.23,1.0,448.23
27.0,448.23,1.0,448.23
28.2,448.22,1.0,448.22
28.75,448.23,1.0,448.23
29.95,448.23,2.0,896.46
30.5,448.22,1.0,448.22
31.1,448.23,1.0,448.23
32.25,448.23,1.0,448.23
32.85,448.23,2.0,896.46
33.45,448.23,1.0,448.23
34.0,448.23,1.0,448.23
34.6,448.23,1.0,448.23
35.75,448.23,2.0,896.46
36.35,448.23,1.0,448.23
36.95,448.23,1.0,448.23
37.5,448.23,1.0,448.23
38.1,448.23,2.0,896.46
38.65,448.23,1.0,448.23
39.25,448.24,1.0,448.24
39.85,448.23,1.0,448.23
40.4,448.23,1.0,448.23
41.0,448.23,1.0,448.23
41.6,448.24,2.0,896.48
42.15,448.23,1.0,448.23
42.75,448.23,1.0,448.23
43.35,448.23,1.0,448.23
43.9,448.24,1.0,448.24
44.5,448.23,2.0,896.46
45.1,448.24,1.0,448.24
45.65,448.24,1.0,448.24
46.25,448.24,2.0,896.48
46.85,448.23,2.0,896.46
47.4,448.24,1.0,448.24
48.0,448.24,1.0,448.24
48.6,448.24,1.0,448.24
49.15,448.23,1.0,448.23
49.75,448.24,2.0,896.48
50.3,448.24,1.0,448.24
50.9,448.24,1.0,448.24
51.5,448.23,1.0,448.23
52.05,448.24,1.0,448.24
52.65,448.24,1.0,448.24
53.25,448.24,1.0,448.24
53.8,448.23,2.0,896.46
54.4,448.24,2.0,896.48
55.0,448.24,2.0,896.48
55.55,448.24,1.0,448.24
56.15,448.24,2.0,896.48
56.75,448.24,1.0,448.24
57.3,448.24,1.0,448.24
58.5,448.23,1.0,448.23
59.05,448.24,1.0,448.24
59.65,448.24,1.0,448.24
60.25,448.24,1.0,448.24
60.8,448.24,1.0,448.24
61.4,448.24,1.0,448.24
61.95,448.24,1.0,448.24
62.55,448.24,2.0,896.48
63.15,448.24,1.0,448.24
64.3,448.25,1.0,448.25
64.9,448.24,1.0,448.24
65.45,448.24,1.0,448.24
66.05,448.24,1.0,448.24
67.2,448.25,1.0,448.25
67.8,448.24,1.0,448.24
68.4,448.24,1.0,448.24
68.95,448.24,1.0,448.24
69.55,448.25,1.0,448.25
70.7,448.25,1.0,448.25
71.3,448.25,1.0,448.25
71.9,448.25,1.0,448.25
72.45,448.24,1.0,448.24
73.05,448.25,1.0,448.25
73.6,448.25,1.0,448.25
74.2,448.25,1.0,448.25
74.8,448.24,1.0,448.24
75.35,448.25,1.0,448.25
75.95,448.25,1.0,448.25
76.55,448.25,1.0,448.25
77.1,448.24,1.0,448.24
77.7,448.25,1.0,448.25
78.3,448.25,1.0,448.25
79.45,448.24,2.0,896.48
80.05,448.25,1.0,448.25
80.6,448.25,1.0,448.25
81.2,448.25,1.0,448.25
81.8,448.24,2.0,896.48
82.35,448.25,1.0,448.25
82.95,448.25,2.0,896.5
83.55,448.25,1.0,448.25
84.1,448.25,1.0,448.25
84.7,448.25,1.0,448.25
85.25,448.25,1.0,448.25
85.85,448.25,2.0,896.5
86.45,448.25,2.0,896.5
87.0,448.25,1.0,448.25
87.6,448.25,1.0,448.25
88.2,448.25,1.0,448.25
88.75,448.25,1.0,448.25
89.35,448.25,1.0,448.25
89.95,448.25,2.0,896.5
90.5,448.25,1.0,448.25
91.1,448.25,1.0,448.25
91.7,448.25,1.0,448.25
92.25,448.25,1.0,448.25
92.85,448.25,1.0,448.25
93.45,448.25,1.0,448.25
94.0,448.25,2.0,896.5
94.6,448.26,1.0,448.26
95.2,448.26,1.0,448.26
95.75,448.25,1.0,448.25
96.35,448.25,1.0,448.25
96.95,448.26,1.0,448.26
97.5,448.26,1.0,448.26
98.1,448.25,1.0,448.25
98.7,448.25,1.0,448.25
99.25,448.26,1.0,448.26
99.85,448.26,1.0,448.26
100.45,448.25,1.0,448.25
101.0,448.26,1.0,448.26
101.6,448.26,1.0,448.26
102.2,448.26,1.0,448.26
102.75,448.25,1.0,448.25
103.35,448.26,1.0,448.26
103.95,448.26,1.0,448.26
104.5,448.26,2.0,896.52
105.1,448.25,1.0,448.25
105.7,448.26,2.0,896.52
106.25,448.26,1.0,448.26
107.45,448.25,2.0,896.5
108.0,448.26,1.0,448.26
108.6,448.26,1.0,448.26
109.2,448.26,1.0,448.26
109.75,448.25,2.0,896.5
110.35,448.26,2.0,896.52
110.9,448.26,1.0,448.26
111.5,448.26,1.0,448.26
112.1,448.25,1.0,448.25
112.65,448.26,1.0,448.26
113.25,448.26,1.0,448.26
113.85,448.26,1.0,448.26
114.4,448.26,1.0,448.26
115.0,448.26,1.0,448.26
115.6,448.26,1.0,448.26
116.15,448.26,1.0,448.26
116.75,448.26,1.0,448.26
117.35,448.26,1.0,448.26
117.9,448.26,2.0,896.52
118.5,448.27,1.0,448.27
119.1,448.26,1.0,448.26
119.65,448.26,1.0,448.26
120.25,448.26,1.0,448.26
120.85,448.27,1.0,448.27
121.4,448.26,1.0,448.26
122.0,448.26,1.0,448.26
122.55,448.26,1.0,448.26
123.15,448.27,1.0,448.27
123.75,448.26,1.0,448.26
124.3,448.26,1.0,448.26
124.9,448.27,1.0,448.27
125.5,448.27,1.0,448.27
126.05,448.26,2.0,896.52
126.65,448.26,1.0,448.26
127.25,448.27,1.0,448.27
127.8,448.27,1.0,448.27
128.4,448.26,1.0,448.26
129.0,448.27,1.0,448.27
129.55,448.27,2.0,896.54
130.15,448.27,1.0,448.27
130.75,448.26,1.0,448.26
131.3,448.26,1.0,448.26
131.9,448.27,1.0,448.27
132.5,448.27,1.0,448.27
133.65,448.27,1.0,448.27
134.2,448.27,1.0,448.27
134.8,448.27,2.0,896.54
135.4,448.26,1.0,448.26
136.55,448.27,2.0,896.54
137.15,448.27,1.0,448.27
137.7,448.26,1.0,448.26
138.3,448.27,1.0,448.27
138.9,448.27,1.0,448.27
139.45,448.27,1.0,448.27
140.65,448.27,1.0,448.27
141.2,448.27,1.0,448.27
142.4,448.26,2.0,896.52
142.95,448.27,1.0,448.27
143.55,448.27,2.0,896.54
144.15,448.27,1.0,448.27
144.7,448.27,1.0,448.27
145.3,448.27,2.0,896.54
145.85,448.27,1.0,448.27
146.45,448.27,1.0,448.27
147.05,448.26,1.0,448.26
147.6,448.27,1.0,448.27
148.2,448.27,2.0,896.54
148.8,448.27,1.0,448.27
149.35,448.27,1.0,448.27
149.95,448.27,1.0,448.27
150.55,448.27,1.0,448.27
151.1,448.28,1.0,448.28
151.7,448.27,1.0,448.27
152.3,448.27,1.0,448.27
152.85,448.27,1.0,448.27
153.45,448.27,2.0,896.54
154.05,448.27,1.0,448.27
154.6,448.27,1.0,448.27
155.2,448.27,1.0,448.27
155.8,448.28,1.0,448.28
156.35,448.27,1.0,448.27
156.95,448.27,1.0,448.27
157.5,448.28,1.0,448.28
158.1,448.28,2.0,896.56
158.7,448.27,1.0,448.27
159.25,448.27,1.0,448.27
159.85,448.28,1.0,448.28
160.45,448.28,1.0,448.28
161.0,448.27,1.0,448.27
161.6,448.27,1.0,448.27
162.2,448.28,1.0,448.28
162.75,448.28,2.0,896.56
163.35,448.27,1.0,448.27
163.95,448.28,1.0,448.28
164.5,448.28,1.0,448.28
165.1,448.28,1.0,448.28
165.7,448.27,1.0,448.27
166.25,448.28,1.0,448.28
166.85,448.28,1.0,448.28
167.45,448.28,1.0,448.28
168.0,448.27,1.0,448.27
168.6,448.28,1.0,448.28
169.15,448.28,1.0,448.28
169.75,448.28,1.0,448.28
170.35,448.27,1.0,448.27
170.9,448.28,1.0,448.28
171.5,448.28,1.0,448.28
172.1,448.28,2.0,896.56
172.65,448.27,1.0,448.27
173.85,448.28,2.0,896.56
174.4,448.28,1.0,448.28
175.0,448.27,1.0,448.27
175.6,448.28,1.0,448.28
176.15,448.28,1.0,448.28
176.75,448.28,1.0,448.28
177.35,448.27,1.0,448.27
178.5,448.28,1.0,448.28
179.1,448.28,1.0,448.28
179.65,448.27,1.0,448.27
180.25,448.28,1.0,448.28
180.8,448.28,1.0,448.28
181.4,448.28,2.0,896.56
182.0,448.28,1.0,448.28
182.55,448.28,1.0,448.28
183.15,448.28,1.0,448.28
183.75,448.28,1.0,448.28
184.3,448.28,1.0,448.28
184.9,448.28,1.0,448.28
185.5,448.28,2.0,896.56
186.05,448.28,1.0,448.28
186.65,448.28,1.0,448.28
187.25,448.28,1.0,448.28
188.4,448.28,1.0,448.28
189.0,448.28,1.0,448.28
189.55,448.28,1.0,448.28
190.15,448.28,1.0,448.28
190.75,448.28,1.0,448.28
191.3,448.28,1.0,448.28
191.9,448.28,1.0,448.28
192.45,448.28,1.0,448.28
193.05,448.28,1.0,448.28
193.65,448.28,1.0,448.28
194.2,448.28,1.0,448.28
194.8,448.28,1.0,448.28
195.4,448.29,1.0,448.29
195.95,448.28,1.0,448.28
196.55,448.28,1.0,448.28
197.15,448.28,1.0,448.28
197.7,448.28,1.0,448.28
198.3,448.28,1.0,448.28
198.9,448.28,1.0,448.28
199.45,448.29,1.0,448.29
200.05,448.29,1.0,448.29
200.65,448.28,1.0,448.28
201.2,448.28,1.0,448.28
201.8,448.29,1.0,448.29
202.4,448.29,2.0,896.58
202.95,448.28,1.0,448.28
203.55,448.29,2.0,896.58
204.7,448.29,1.0,448.29
205.3,448.24,1.0,448.24
206.45,448.28,1.0,448.28
207.05,448.28,2.0,896.56
207.6,448.27,1.0,448.27
208.2,448.28,1.0,448.28
208.8,448.28,1.0,448.28
209.35,448.28,1.0,448.28
209.95,448.28,1.0,448.28
210.55,448.21,1.0,448.21
211.1,448.21,1.0,448.21
212.3,448.2,1.0,448.2
212.85,448.2,1.0,448.2
213.45,448.2,1.0,448.2
214.05,448.02,1.0,448.02
214.6,448.01,1.0,448.01
215.2,447.97,2.0,895.94
215.8,447.91,1.0,447.91
216.35,447.83,1.0,447.83
216.95,447.74,1.0,447.74
217.55,447.67,1.0,447.67
218.1,447.61,1.0,447.61
218.7,447.55,1.0,447.55
219.85,447.36,1.0,447.36
220.45,447.34,1.0,447.34
221.0,447.32,1.0,447.32
221.6,447.22,1.0,447.22
222.2,447.46,1.0,447.46
222.75,447.45,1.0,447.45
223.35,447.5,2.0,895.0
223.95,447.48,1.0,447.48
224.5,447.5,2.0,895.0
225.1,447.53,2.0,895.06
225.7,447.62,2.0,895.24
226.25,447.6,2.0,895.2
226.85,447.61,2.0,895.22
227.45,447.61,2.0,895.22
228.0,447.6,3.0,1342.8000000000002
228.6,447.48,2.0,894.96
229.2,447.45,3.0,1342.35
229.75,447.46,3.0,1342.3799999999999
230.35,447.92,3.0,1343.76
230.95,447.99,3.0,1343.97
231.5,448.02,2.0,896.04
232.1,448.03,3.0,1344.09
232.7,448.03,2.0,896.06
233.25,448.02,2.0,896.04
233.85,448.04,3.0,1344.1200000000001
234.4,448.04,2.0,896.08
235.0,448.05,2.0,896.1
235.6,448.04,2.0,896.08
236.15,448.06,2.0,896.12
236.75,448.06,2.0,896.12
237.35,448.06,2.0,896.12
237.9,448.06,3.0,1344.18
238.5,448.07,3.0,1344.21
239.1,448.08,3.0,1344.24
239.65,448.07,1.0,448.07
240.25,448.07,1.0,448.07
240.85,448.08,1.0,448.08
241.4,448.08,1.0,448.08
242.0,448.08,1.0,448.08
242.6,448.07,1.0,448.07
243.15,448.08,1.0,448.08
243.75,448.09,1.0,448.09
244.35,448.09,1.0,448.09
244.9,448.08,1.0,448.08
245.5,448.09,2.0,896.18
246.05,448.09,2.0,896.18
246.65,448.09,1.0,448.09
247.25,448.09,2.0,896.18
248.4,448.11,1.0,448.11
249.0,448.1,1.0,448.1
249.55,448.09,1.0,448.09
250.15,448.1,1.0,448.1
250.75,448.1,1.0,448.1
251.3,448.1,2.0,896.2
251.9,447.98,1.0,447.98
252.5,447.89,1.0,447.89
253.05,447.77,2.0,895.54
253.65,447.66,1.0,447.66
254.25,447.55,1.0,447.55
254.8,447.43,2.0,894.86
255.4,447.34,1.0,447.34
