TIme (s),Pack Voltage,Current (DC Amps),Power Consumption (W)
20.15,473.87,1.5,710.8050000000001
20.75,473.86,1.5,710.79
21.34,473.87,1.7,805.579
21.92,473.87,1.5,710.8050000000001
22.53,473.87,1.7,805.579
23.13,473.87,1.7,805.579
23.71,473.87,1.7,805.579
24.3,473.87,1.1,521.2570000000001
24.9,473.87,1.7,805.579
25.5,473.87,1.7,805.579
26.09,473.87,1.9,900.353
26.69,473.87,1.5,710.8050000000001
27.28,473.87,1.7,805.579
27.88,473.87,1.7,805.579
28.48,473.87,1.3,616.0310000000001
29.07,473.87,1.7,805.579
29.67,473.88,1.5,710.8199999999999
30.26,473.87,1.7,805.579
30.86,473.87,1.5,710.8050000000001
31.45,473.87,2.1,995.1270000000001
32.05,473.88,1.7,805.596
32.65,473.87,1.5,710.8050000000001
33.24,473.88,1.3,616.044
34.43,473.88,1.5,710.8199999999999
35.03,473.87,1.5,710.8050000000001
35.62,473.88,1.7,805.596
36.21,473.88,1.7,805.596
36.82,473.88,1.7,805.596
37.99,473.88,1.7,805.596
38.59,473.88,0.9,426.492
39.78,473.87,1.5,710.8050000000001
40.38,473.88,1.7,805.596
40.97,473.88,1.9,900.372
41.57,473.88,1.9,900.372
42.16,473.87,1.5,710.8050000000001
42.76,473.88,1.7,805.596
43.36,473.88,1.9,900.372
43.95,473.88,1.5,710.8199999999999
44.55,473.87,1.1,521.2570000000001
45.15,473.88,1.5,710.8199999999999
45.74,473.88,1.3,616.044
46.34,473.88,1.9,900.372
46.93,473.88,2.1,995.148
47.53,473.88,1.7,805.596
48.72,473.88,1.5,710.8199999999999
49.31,473.87,1.5,710.8050000000001
49.9,473.88,1.5,710.8199999999999
50.49,473.88,1.9,900.372
51.1,473.88,1.9,900.372
51.7,473.88,1.7,805.596
52.28,473.88,1.9,900.372
52.88,473.88,1.7,805.596
53.48,473.88,1.7,805.596
54.07,473.88,1.9,900.372
54.66,473.88,1.7,805.596
55.26,473.88,1.7,805.596
55.85,473.88,1.5,710.8199999999999
56.45,473.88,1.5,710.8199999999999
57.04,473.88,1.7,805.596
57.46,473.88,1.5,710.8199999999999
58.24,473.89,1.7,805.6129999999999
58.83,473.88,1.7,805.596
59.43,473.88,1.5,710.8199999999999
60.03,473.89,1.1,521.279
60.62,473.89,1.7,805.6129999999999
61.22,473.88,1.7,805.596
61.81,473.88,1.5,710.8199999999999
62.4,473.89,1.5,710.835
63.01,473.89,1.5,710.835
63.6,473.88,1.5,710.8199999999999
64.2,473.89,1.5,710.835
64.79,473.89,1.5,710.835
65.39,473.89,1.7,805.6129999999999
65.98,473.88,1.7,805.596
66.58,473.89,1.9,900.391
67.17,473.89,1.5,710.835
67.76,473.89,1.7,805.6129999999999
68.36,473.88,1.7,805.596
68.95,473.89,1.5,710.835
69.55,473.89,1.7,805.6129999999999
70.15,473.89,1.5,710.835
70.74,473.88,1.5,710.8199999999999
71.34,473.89,1.9,900.391
71.93,473.89,1.9,900.391
72.52,473.89,1.5,710.835
73.12,473.88,1.7,805.596
73.71,473.89,1.5,710.835
74.31,473.89,1.3,616.057
74.91,473.89,1.7,805.6129999999999
75.5,473.88,1.5,710.8199999999999
76.1,473.89,1.7,805.6129999999999
76.69,473.89,1.5,710.835
77.29,473.89,1.1,521.279
77.89,473.89,1.3,616.057
78.47,473.89,1.3,616.057
79.07,473.89,1.5,710.835
79.67,473.89,1.5,710.835
80.27,473.89,1.5,710.835
81.45,473.89,1.5,710.835
82.05,473.89,1.9,900.391
82.65,473.89,1.5,710.835
83.24,473.89,1.7,805.6129999999999
83.84,473.89,1.7,805.6129999999999
84.42,473.89,1.3,616.057
85.02,473.89,1.5,710.835
85.62,473.89,1.5,710.835
86.21,473.89,1.7,805.6129999999999
86.81,473.9,0.7,331.72999999999996
87.41,473.89,2.1,995.169
88.0,473.89,1.7,805.6129999999999
88.6,473.89,1.7,805.6129999999999
89.2,473.9,1.9,900.41
89.78,473.89,1.9,900.391
90.39,473.89,1.5,710.835
91.57,473.9,1.5,710.8499999999999
92.17,473.89,1.7,805.6129999999999
92.76,473.9,1.5,710.8499999999999
93.36,473.9,1.5,710.8499999999999
93.96,473.9,1.7,805.63
94.55,473.89,1.9,900.391
95.15,473.9,1.5,710.8499999999999
95.75,473.9,2.3,1089.9699999999998
96.33,473.9,1.7,805.63
96.94,473.89,2.1,995.169
98.12,473.9,1.5,710.8499999999999
98.72,473.9,1.7,805.63
99.31,473.89,1.7,805.6129999999999
99.91,473.9,1.5,710.8499999999999
100.5,473.9,1.5,710.8499999999999
101.11,473.9,1.5,710.8499999999999
101.7,473.89,2.1,995.169
102.28,473.9,1.5,710.8499999999999
102.89,473.9,1.7,805.63
103.49,473.9,1.7,805.63
104.07,473.89,0.9,426.501
104.67,473.9,2.1,995.1899999999999
105.27,473.9,1.3,616.0699999999999
105.87,473.9,1.5,710.8499999999999
106.46,473.89,1.5,710.835
107.05,473.9,1.5,710.8499999999999
107.65,473.9,1.5,710.8499999999999
108.84,473.89,1.7,805.6129999999999
109.44,473.9,1.7,805.63
110.04,473.9,1.1,521.29
110.62,473.9,1.7,805.63
111.22,473.89,1.9,900.391
111.81,473.9,1.7,805.63
112.41,473.9,1.5,710.8499999999999
113.01,473.9,1.5,710.8499999999999
114.19,473.9,1.5,710.8499999999999
114.79,473.9,2.1,995.1899999999999
115.39,473.9,1.3,616.0699999999999
115.99,473.9,1.7,805.63
116.57,473.9,0.7,331.72999999999996
117.17,473.9,1.5,710.8499999999999
117.77,473.9,1.7,805.63
118.36,473.89,1.7,805.6129999999999
118.96,473.9,1.9,900.41
