Time (s),RPM
20.01,0.0
20.07,0.0
20.12,0.0
20.16,0.0
20.22,0.0
20.27,0.0
20.32,0.0
20.38,0.0
20.42,0.0
20.48,0.0
20.53,0.0
20.58,0.0
20.62,0.0
20.68,0.0
20.73,0.0
20.79,0.0
20.83,0.0
20.88,0.0
20.93,0.0
20.99,0.0
21.03,0.0
21.08,0.0
21.14,0.0
21.19,0.0
21.25,0.0
21.29,0.0
21.34,0.0
21.39,0.0
21.45,0.0
21.49,0.0
21.54,0.0
21.6,0.0
21.65,0.0
21.69,0.0
21.75,0.0
21.8,0.0
21.86,0.0
21.89,0.0
21.95,0.0
22.0,0.0
22.06,0.0
22.11,0.0
22.15,0.0
22.21,0.0
22.26,0.0
22.32,0.0
22.36,0.0
22.41,0.0
22.46,0.0
22.52,0.0
22.57,0.0
22.61,0.0
22.67,0.0
22.72,0.0
22.78,0.0
22.82,0.0
22.87,0.0
22.92,0.0
22.98,0.0
23.02,0.0
23.07,0.0
23.13,0.0
23.18,0.0
23.22,0.0
23.28,0.0
23.33,0.0
23.39,0.0
23.44,0.0
23.48,0.0
23.53,0.0
23.59,0.0
23.64,0.0
23.68,0.0
23.74,0.0
23.79,0.0
23.84,0.0
23.89,0.0
23.94,0.0
24.0,0.0
24.05,0.0
24.09,0.0
24.14,0.0
24.2,0.0
24.25,0.0
24.3,0.0
24.35,0.0
24.4,0.0
24.46,0.0
24.51,0.0
24.55,0.0
24.6,0.0
24.66,0.0
24.71,0.0
24.75,0.0
24.81,0.0
24.86,0.0
24.92,0.0
24.96,0.0
25.01,0.0
25.06,0.0
25.12,0.0
25.17,0.0
25.21,0.0
25.27,0.0
25.32,0.0
25.38,0.0
25.42,0.0
25.47,0.0
25.52,0.0
25.58,0.0
25.63,0.0
25.67,0.0
25.73,0.0
25.78,0.0
25.84,0.0
25.88,0.0
25.93,0.0
25.98,0.0
26.04,0.0
26.08,0.0
26.13,0.0
26.19,0.0
26.24,0.0
26.28,0.0
26.34,0.0
26.39,0.0
26.45,0.0
26.5,0.0
26.54,0.0
26.59,0.0
26.65,0.0
26.7,0.0
26.74,0.0
26.8,0.0
26.85,0.0
26.91,0.0
26.95,0.0
27.0,0.0
27.05,0.0
27.11,0.0
27.15,0.0
27.2,0.0
27.26,0.0
27.31,0.0
27.36,0.0
27.41,0.0
27.46,0.0
27.52,0.0
