Time (s),Torque Requested (Nm)
20.01,0.0
20.03,0.0
20.04,0.0
20.05,0.0
20.07,0.0
20.08,0.0
20.1,0.0
20.11,0.0
20.12,0.0
20.14,0.0
20.15,0.0
20.16,0.0
20.18,0.0
20.19,0.0
20.2,0.0
20.22,0.0
20.23,0.0
20.24,0.0
20.26,0.0
20.27,0.0
20.29,0.0
20.3,0.0
20.31,0.0
20.32,0.0
20.34,0.0
20.35,0.0
20.37,0.0
20.39,0.0
20.41,0.0
20.42,0.0
20.43,0.0
20.45,0.0
20.46,0.0
20.48,0.0
20.49,0.0
20.5,0.0
20.52,0.0
20.53,0.0
20.54,0.0
20.56,0.0
20.57,0.0
20.58,0.0
20.6,0.0
20.61,0.0
20.62,0.0
20.64,0.0
20.65,0.0
20.66,0.0
20.68,0.0
20.69,0.0
20.7,0.0
20.72,0.0
20.73,0.0
20.75,0.0
20.76,0.0
20.77,0.0
20.79,0.0
20.8,0.0
20.81,0.0
20.83,0.0
20.84,0.0
20.85,0.0
20.87,0.0
20.88,0.0
20.89,0.0
20.91,0.0
20.92,0.0
20.93,0.0
20.95,0.0
20.96,0.0
20.98,0.0
20.99,0.0
21.0,0.0
21.02,0.0
21.03,0.0
21.04,0.0
21.06,0.0
21.07,0.0
21.08,0.0
21.1,0.0
21.11,0.0
21.12,0.0
21.14,0.0
21.15,0.0
21.16,0.0
21.18,0.0
21.19,0.0
21.21,0.0
21.22,0.0
21.23,0.0
21.25,0.0
21.26,0.0
21.27,0.0
21.29,0.0
21.3,0.0
21.31,0.0
21.33,0.0
21.34,0.0
21.35,0.0
21.37,0.0
21.38,0.0
21.39,0.0
21.41,0.0
21.42,0.0
21.43,0.0
21.45,0.0
21.46,0.0
21.48,0.0
21.49,0.0
21.5,0.0
21.52,0.0
21.53,0.0
21.53,0.0
21.56,0.0
21.57,0.0
21.59,0.0
21.6,0.0
21.61,0.0
21.62,0.0
21.64,0.0
21.65,0.0
21.67,0.0
21.68,0.0
21.69,0.0
21.72,0.0
21.73,0.0
21.75,0.0
21.76,0.0
21.77,0.0
21.79,0.0
21.8,0.0
21.81,0.0
21.83,0.0
21.84,0.0
21.84,0.0
21.87,0.0
21.88,0.0
21.89,0.0
21.92,0.0
21.94,0.0
21.95,0.0
21.96,0.0
21.98,0.0
21.99,0.0
22.0,0.0
22.02,0.0
22.03,0.0
22.05,0.0
22.06,0.0
22.07,0.0
22.09,0.0
22.1,0.0
22.11,0.0
22.13,0.0
22.14,0.0
22.15,0.0
22.17,0.0
22.18,0.0
22.19,0.0
22.21,0.0
22.22,0.0
22.23,0.0
22.25,0.0
22.26,0.0
22.27,0.0
22.29,0.0
22.3,0.0
22.32,0.0
22.33,0.0
22.34,0.0
22.36,0.0
22.37,0.0
22.38,0.0
22.4,0.0
22.41,0.0
22.42,0.0
22.44,0.0
22.45,0.0
22.46,0.0
22.48,0.0
22.49,0.0
22.5,0.0
22.52,0.0
22.53,0.0
22.55,0.0
22.56,0.0
22.57,0.0
22.59,0.0
22.6,0.0
22.61,0.0
22.63,0.0
22.64,0.0
22.65,0.0
22.67,0.0
22.68,0.0
22.7,0.0
22.7,0.0
22.72,0.0
22.73,0.0
22.75,0.0
22.76,0.0
22.78,0.0
22.79,0.0
22.8,0.0
22.82,0.0
22.83,0.0
22.84,0.0
22.86,0.0
22.87,0.0
22.88,0.0
22.9,0.0
22.91,0.0
22.92,0.0
22.94,0.0
22.95,0.0
22.96,0.0
22.98,0.0
22.99,0.0
23.0,0.0
23.0,0.0
23.05,0.0
23.06,0.0
23.07,0.0
23.09,0.0
23.1,0.0
23.11,0.0
23.13,0.0
23.14,0.0
23.16,0.0
23.17,0.0
23.18,0.0
23.2,0.0
23.21,0.0
23.22,0.0
23.22,0.0
23.25,0.0
23.26,0.0
23.28,0.0
23.29,0.0
23.3,0.0
23.32,0.0
23.33,0.0
23.34,0.0
23.36,0.0
23.37,0.0
23.39,0.0
23.4,0.0
23.41,0.0
23.43,0.0
23.44,0.0
23.45,0.0
23.47,0.0
23.48,0.0
23.49,0.0
23.51,0.0
23.52,0.0
23.53,0.0
23.55,0.0
23.56,0.0
23.57,0.0
23.59,0.0
23.6,0.0
23.62,0.0
23.63,0.0
23.64,0.0
23.64,0.0
23.67,0.0
23.68,0.0
23.7,0.0
23.71,0.0
23.72,0.0
23.74,0.0
23.75,0.0
23.76,0.0
23.78,0.0
23.79,0.0
23.8,0.0
23.82,0.0
23.83,0.0
23.84,0.0
23.86,0.0
23.87,0.0
23.89,0.0
23.89,0.0
23.91,0.0
23.93,0.0
23.94,0.0
23.95,0.0
23.95,0.0
23.98,0.0
24.0,0.0
24.01,0.0
24.02,0.0
24.03,0.0
24.05,0.0
24.06,0.0
24.08,0.0
24.09,0.0
24.12,0.0
24.13,0.0
24.14,0.0
24.16,0.0
24.17,0.0
24.18,0.0
24.2,0.0
24.21,0.0
24.22,0.0
24.24,0.0
24.25,0.0
24.27,0.0
24.28,0.0
24.29,0.0
24.3,0.0
24.32,0.0
24.33,0.0
24.33,0.0
24.36,0.0
24.37,0.0
24.39,0.0
24.4,0.0
24.41,0.0
24.43,0.0
24.44,0.0
24.46,0.0
24.47,0.0
24.48,0.0
24.48,0.0
24.51,0.0
24.52,0.0
24.54,0.0
24.55,0.0
24.56,0.0
24.58,0.0
24.59,0.0
24.6,0.0
