Time (s),MC Temp A,MC Temp B,MC Temp C
1.06,13.3,13.3,13.3
2.05,26.7,26.7,26.7
3.06,29.2,29.6,29.4
4.06,29.2,29.6,29.4
5.06,29.2,29.6,29.4
6.05,29.2,29.6,29.4
7.06,29.2,29.6,29.4
8.06,29.2,29.6,29.4
9.07,29.2,29.6,29.4
10.07,29.2,29.6,29.4
11.06,29.2,29.6,29.4
12.07,29.2,29.6,29.4
13.07,29.2,29.6,29.4
14.07,29.2,29.6,29.4
15.08,29.2,29.6,29.4
16.07,29.2,29.6,29.4
17.08,29.2,29.6,29.4
18.08,29.2,29.6,29.5
19.07,29.2,29.6,29.4
20.08,29.2,29.6,29.4
21.08,29.2,29.6,29.4
22.09,29.2,29.6,29.4
23.09,29.2,29.6,29.4
24.08,29.2,29.6,29.4
25.09,29.2,29.6,29.4
26.09,29.2,29.6,29.4
27.1,29.2,29.6,29.4
28.09,29.2,29.6,29.4
29.09,29.2,29.6,29.4
30.1,29.2,29.6,29.4
31.09,29.2,29.6,29.4
32.1,29.2,29.6,29.4
33.1,29.2,29.6,29.4
34.11,29.2,29.6,29.4
35.11,29.2,29.6,29.5
36.1,29.2,29.6,29.4
37.1,29.2,29.6,29.4
38.11,29.2,29.6,29.5
39.11,29.3,29.6,29.6
40.11,29.3,29.7,29.6
41.12,29.2,29.6,29.6
42.11,28.6,29.2,29.4
43.12,28.5,29.1,29.2
44.12,29.0,29.3,29.3
45.12,29.0,29.4,29.3
46.12,29.1,29.3,29.3
47.12,29.2,29.4,29.3
48.13,29.4,29.7,29.6
49.13,29.5,29.9,29.8
50.12,29.7,30.1,30.1
51.13,29.8,30.3,30.3
52.13,29.8,30.3,30.4
53.13,29.7,30.2,30.4
54.13,29.7,30.1,30.2
55.13,29.6,30.0,30.2
56.14,29.6,30.1,30.2
57.13,29.7,30.1,30.2
58.14,29.8,30.2,30.3
59.14,29.8,30.3,30.4
60.15,29.9,30.3,30.4
61.14,29.9,30.3,30.4
62.14,29.9,30.4,30.5
63.15,29.9,30.4,30.6
64.14,30.0,30.4,30.6
65.16,29.9,30.4,30.6
66.16,29.9,30.3,30.4
67.15,29.7,30.1,30.3
68.16,29.7,30.1,30.2
69.15,29.7,30.1,30.1
70.16,29.6,30.1,30.0
71.16,29.7,30.0,30.0
72.17,29.9,30.2,30.2
73.16,29.9,30.4,30.4
74.16,30.0,30.5,30.5
75.17,30.0,30.4,30.4
76.16,30.0,30.4,30.4
77.16,30.0,30.4,30.4
78.17,30.0,30.4,30.4
79.17,29.9,30.4,30.4
80.17,29.7,30.1,30.2
81.17,29.6,30.1,30.1
82.18,29.6,30.0,30.0
83.17,29.8,30.2,30.1
84.17,30.6,31.0,30.8
85.17,31.0,31.6,31.5
86.18,30.9,31.5,31.6
87.18,30.8,31.4,31.6
88.19,30.7,31.3,31.5
89.19,30.6,31.2,31.4
90.18,30.8,31.3,31.5
91.19,30.9,31.4,31.5
92.19,30.6,31.1,31.3
93.19,30.6,31.1,31.3
94.2,30.8,31.3,31.4
95.2,30.8,31.4,31.4
96.2,30.6,31.1,31.3
97.19,30.9,31.4,31.5
98.21,31.1,31.6,31.7
99.19,31.0,31.6,31.7
100.2,30.9,31.4,31.6
101.21,30.9,31.4,31.6
102.2,31.1,31.6,31.7
103.21,31.3,31.9,31.9
104.21,31.2,31.8,31.9
105.2,31.2,31.7,31.9
106.22,31.2,31.8,32.0
107.22,31.3,31.8,32.0
108.21,31.2,31.9,32.0
109.21,31.5,32.0,32.2
110.23,31.5,32.1,32.2
111.22,31.4,32.0,32.2
112.22,31.7,32.3,32.4
113.22,31.7,32.3,32.5
114.22,31.4,32.0,32.2
115.23,31.4,31.9,32.1
116.23,31.6,32.2,32.2
117.23,31.9,32.4,32.5
118.23,31.5,32.0,32.3
119.23,31.7,32.3,32.4
120.22,32.0,32.6,32.7
121.23,31.9,32.5,32.7
122.24,32.1,32.7,32.8
123.23,32.6,33.2,33.3
124.24,32.2,32.9,33.1
125.24,32.7,33.2,33.5
126.25,32.9,33.5,33.6
127.24,32.1,32.9,33.2
128.25,32.4,33.0,33.2
129.25,32.9,33.5,33.7
130.25,32.5,33.1,33.4
131.24,32.1,32.8,33.1
132.25,31.7,32.2,32.5
133.26,31.6,32.0,32.2
134.26,31.5,31.9,32.0
135.26,31.5,31.9,31.9
136.25,31.5,31.9,31.8
137.26,31.4,31.9,31.8
138.26,31.4,31.8,31.7
139.26,31.4,31.8,31.7
140.27,31.4,31.8,31.7
141.27,31.5,31.9,31.8
142.27,31.4,31.9,31.7
143.26,31.4,31.8,31.7
144.28,31.4,31.8,31.6
145.28,31.5,31.9,31.7
146.27,31.5,31.8,31.7
147.27,31.5,31.9,31.7
148.27,31.5,31.8,31.7
149.27,31.5,31.9,31.7
150.27,31.5,31.9,31.8
151.28,31.6,32.1,31.9
152.29,31.7,32.2,32.0
153.29,31.6,32.0,31.9
154.28,31.6,31.9,31.9
155.29,31.6,31.9,31.9
156.28,31.6,31.9,31.9
157.29,31.6,31.9,31.9
158.3,31.6,31.9,31.9
159.29,31.6,32.0,31.9
160.29,31.7,32.0,31.9
161.29,31.7,32.0,31.9
162.3,31.7,32.0,31.9
163.3,31.7,32.0,31.9
164.3,31.7,32.0,31.9
165.31,31.7,32.0,31.9
166.3,31.7,32.0,31.9
167.3,31.7,32.0,31.9
168.3,31.7,32.1,31.9
169.31,31.9,32.2,32.2
170.3,31.8,32.2,32.1
171.31,31.7,32.1,32.1
172.31,31.8,32.1,32.1
173.31,31.8,32.1,32.0
174.31,31.7,32.1,32.0
175.32,31.8,32.2,32.0
176.31,31.8,32.2,32.0
177.32,31.8,32.3,32.1
178.32,31.8,32.2,32.0
179.33,31.9,32.2,32.1
180.32,31.9,32.2,32.1
181.33,31.9,32.2,32.1
182.32,31.9,32.2,32.1
183.33,31.9,32.2,32.1
184.33,31.9,32.2,32.2
185.33,31.9,32.2,32.2
186.33,31.9,32.2,32.2
187.34,32.0,32.2,32.2
188.33,31.9,32.2,32.2
189.35,31.9,32.2,32.2
190.35,32.0,32.2,32.2
191.34,32.0,32.2,32.3
192.34,31.9,32.3,32.2
193.35,32.0,32.3,32.2
194.35,32.0,32.3,32.2
195.35,32.2,32.6,32.4
196.35,32.6,32.6,32.4
197.35,32.6,32.9,32.8
198.35,32.7,33.1,33.0
199.35,32.7,33.2,33.2
200.36,32.7,33.1,33.2
201.35,32.9,33.4,33.4
202.36,33.2,33.7,33.8
203.37,33.3,34.0,34.0
204.36,33.4,34.0,34.2
205.36,33.5,34.1,34.3
206.36,33.8,34.4,34.6
207.37,33.8,34.6,34.7
208.37,33.8,34.4,34.7
209.37,33.6,34.3,34.6
210.37,33.7,34.3,34.6
211.38,33.9,34.6,34.8
212.37,33.8,34.4,34.6
213.38,33.7,34.5,34.7
214.37,33.8,34.4,34.6
215.38,33.8,34.5,34.6
216.37,33.8,34.5,34.7
217.37,34.0,34.6,34.8
218.38,33.8,34.5,34.7
219.39,34.1,34.7,34.9
220.39,34.3,34.9,35.1
221.39,34.1,34.8,35.0
222.39,34.1,34.7,34.9
223.38,34.4,35.0,35.2
224.39,34.6,35.2,35.4
225.39,34.4,35.1,35.4
226.4,34.3,34.9,35.1
227.4,34.5,35.2,35.4
228.39,34.0,34.7,35.0
229.4,33.6,34.1,34.4
230.4,33.3,33.8,34.0
231.41,33.2,33.7,33.7
232.4,33.2,33.6,33.5
233.4,33.1,33.5,33.5
234.4,33.2,33.5,33.5
235.41,33.2,33.5,33.4
236.41,33.4,33.6,33.5
237.41,34.1,34.4,34.3
238.41,34.6,35.1,34.9
239.41,34.7,35.3,35.4
240.42,34.6,35.3,35.5
241.42,34.8,35.4,35.6
242.42,34.3,34.9,35.2
243.42,33.8,34.4,34.7
244.42,33.8,34.2,34.4
245.43,33.5,34.0,34.0
246.43,33.4,33.8,33.8
247.43,33.5,33.8,33.8
248.42,33.5,33.8,33.7
249.42,33.5,33.8,33.8
250.44,33.3,33.8,33.8
251.44,33.5,34.0,33.8
252.43,34.1,34.3,34.2
253.44,34.4,34.9,34.8
254.43,34.6,35.1,35.1
255.44,34.5,35.1,35.1
256.44,34.3,34.8,34.9
257.44,34.2,34.7,34.8
258.44,34.2,34.7,34.8
259.44,34.3,34.7,34.7
260.45,34.2,34.7,34.7
261.44,34.1,34.5,34.6
262.45,34.0,34.4,34.4
263.46,34.0,34.4,34.4
264.46,34.0,34.3,34.3
265.45,34.1,34.6,34.5
266.46,34.4,34.9,34.8
267.46,34.6,35.0,34.9
268.46,34.6,35.1,35.1
269.47,34.6,35.1,35.2
270.46,34.6,35.2,35.2
271.46,34.6,35.1,35.2
272.47,34.6,35.1,35.1
273.46,34.6,35.1,35.1
274.47,34.6,35.1,35.1
275.47,34.6,35.1,35.1
276.46,34.6,35.1,35.1
277.48,34.6,35.1,35.1
278.47,34.8,35.3,35.4
279.48,35.1,35.7,35.7
280.48,35.3,35.9,35.9
281.47,35.4,35.9,36.1
282.49,35.5,36.0,36.2
283.48,35.4,35.9,36.2
284.48,35.3,35.9,36.1
285.49,35.6,36.2,36.4
286.49,35.2,35.8,36.1
287.49,35.2,35.8,36.0
288.49,35.3,35.9,36.1
289.49,35.2,35.8,36.0
290.49,35.4,36.0,36.2
291.49,35.5,36.2,36.4
292.5,35.7,36.3,36.5
293.5,35.7,36.4,36.7
294.5,35.8,36.5,36.8
295.5,35.9,36.5,36.9
296.5,35.8,36.5,36.8
297.5,35.9,36.5,36.9
298.5,36.0,36.7,37.1
299.51,36.0,36.6,37.0
300.51,36.0,36.7,37.0
301.52,36.0,36.8,37.1
302.51,35.9,36.6,37.0
303.52,36.1,36.7,37.3
304.51,35.9,36.6,37.0
305.52,36.0,36.7,37.0
306.52,36.2,36.8,37.1
307.51,36.1,36.8,37.1
308.52,36.2,36.8,37.2
309.51,36.3,37.0,37.3
310.53,36.3,37.1,37.5
311.52,36.1,36.8,37.2
312.52,36.4,37.0,37.4
313.53,36.5,37.2,37.6
314.53,36.4,37.1,37.6
315.53,36.5,37.3,37.7
316.53,36.3,37.0,37.4
317.52,36.5,37.3,37.5
318.54,36.4,37.1,37.6
319.54,36.4,37.1,37.4
320.53,36.3,37.0,37.4
321.54,35.6,36.2,36.7
322.54,35.3,35.9,36.1
323.54,35.2,35.6,35.8
324.55,35.0,35.4,35.5
325.55,35.0,35.4,35.4
326.55,35.0,35.4,35.4
327.55,34.9,35.3,35.3
328.55,35.0,35.3,35.2
329.55,35.0,35.3,35.2
330.56,35.1,35.4,35.2
331.55,35.1,35.4,35.3
332.55,35.1,35.4,35.3
333.56,35.1,35.4,35.3
334.56,35.1,35.4,35.3
335.56,35.0,35.3,35.2
336.56,34.9,35.3,35.1
337.57,34.9,35.3,35.1
338.57,34.9,35.2,35.1
339.56,34.9,35.2,35.1
340.56,34.9,35.2,35.1
341.57,34.9,35.2,35.1
342.57,34.9,35.2,35.0
343.57,34.8,35.1,35.0
344.57,34.8,35.1,35.0
345.57,34.8,35.1,35.0
346.58,34.8,35.1,35.0
347.58,34.8,35.1,34.9
