Time (s),Motor Temps
1.06,28.8
2.05,28.3
3.06,28.4
4.06,28.3
5.06,28.5
6.05,28.3
7.06,28.4
8.06,28.3
9.07,28.0
10.07,28.3
11.06,28.7
12.07,28.4
13.07,28.0
14.07,28.8
15.08,28.1
16.07,28.4
17.08,28.4
18.08,28.7
19.07,28.5
20.08,28.7
21.08,28.5
22.09,28.5
23.09,28.7
24.08,28.5
25.09,28.4
26.09,28.7
27.1,28.4
28.09,28.7
29.09,28.1
30.1,28.7
31.09,28.3
32.1,28.1
33.1,28.3
34.11,28.7
35.11,28.8
36.1,28.5
37.1,28.7
38.11,28.7
39.11,29.1
40.11,28.5
41.12,28.4
42.11,28.7
43.12,28.5
44.12,28.8
45.12,28.5
46.12,28.8
47.12,28.8
48.13,28.4
49.13,29.1
50.12,29.1
51.13,29.1
52.13,29.2
53.13,28.8
54.13,28.9
55.13,29.2
56.14,29.1
57.13,29.3
58.14,29.2
59.14,29.3
60.15,29.4
61.14,29.1
62.14,27.9
63.15,29.2
64.14,29.3
65.16,29.2
66.16,29.3
67.15,29.4
68.16,28.9
69.15,29.1
70.16,29.6
71.16,29.6
72.17,29.6
73.16,29.6
74.16,29.2
75.17,29.2
76.16,29.7
77.16,29.6
78.17,29.6
79.17,29.3
80.17,29.2
81.17,29.7
82.18,29.4
83.17,30.0
84.17,29.7
85.17,30.0
86.18,29.2
87.18,30.1
88.19,29.6
89.19,29.8
90.18,29.7
91.19,30.2
92.19,30.0
93.19,29.7
94.2,30.1
95.2,30.4
96.2,30.6
97.19,30.4
98.21,30.4
99.19,30.6
100.2,30.6
101.21,30.4
102.2,30.6
103.21,30.4
104.21,30.6
105.2,30.5
106.22,31.0
107.22,30.6
108.21,30.9
109.21,30.4
110.23,30.6
111.22,30.9
112.22,30.2
113.22,31.0
114.22,31.1
115.23,30.9
116.23,31.0
117.23,30.9
118.23,31.8
119.23,31.4
120.22,31.0
121.23,30.5
122.24,30.6
123.23,31.7
124.24,30.6
125.24,31.8
126.25,31.0
127.24,31.1
128.25,31.5
129.25,31.9
130.25,32.2
131.24,32.0
132.25,31.9
133.26,32.2
134.26,31.7
135.26,32.4
136.25,32.4
137.26,32.6
138.26,32.4
139.26,32.3
140.27,32.3
141.27,32.3
142.27,32.2
143.26,32.4
144.28,32.3
145.28,32.4
146.27,32.6
147.27,32.4
148.27,32.4
149.27,32.6
150.27,32.4
151.28,32.6
152.29,32.2
153.29,32.7
154.28,32.6
155.29,32.2
156.28,32.7
157.29,32.2
158.3,32.7
159.29,32.7
160.29,32.7
161.29,32.6
162.3,32.7
163.3,32.6
164.3,32.6
165.31,32.6
166.3,32.7
167.3,32.7
168.3,32.7
169.31,32.6
170.3,32.7
171.31,32.7
172.31,32.6
173.31,32.8
174.31,32.4
175.32,32.7
176.31,32.0
177.32,32.6
178.32,32.6
179.33,32.7
180.32,33.1
181.33,32.8
182.32,32.7
183.33,32.7
184.33,32.7
185.33,32.7
186.33,33.0
187.34,32.8
188.33,32.7
189.35,32.6
190.35,33.0
191.34,32.7
192.34,32.8
193.35,32.8
194.35,32.8
195.35,32.6
196.35,32.4
197.35,32.8
198.35,32.7
199.35,32.6
200.36,33.0
201.35,33.0
202.36,33.1
203.37,33.1
204.36,32.3
205.36,33.5
206.36,32.8
207.37,33.6
208.37,32.8
209.37,32.3
210.37,33.2
211.38,32.6
212.37,33.5
213.38,32.8
214.37,33.2
215.38,33.1
216.37,33.9
217.37,33.5
218.38,32.8
219.39,33.0
220.39,33.6
221.39,33.5
222.39,33.7
223.38,33.0
224.39,34.0
225.39,33.1
226.4,32.8
227.4,33.5
228.39,33.7
229.4,34.1
230.4,33.5
231.41,34.1
232.4,34.7
233.4,34.1
234.4,34.8
235.41,34.3
236.41,34.3
237.41,34.4
238.41,34.1
239.41,34.4
240.42,33.7
241.42,34.5
242.42,34.7
243.42,34.3
244.42,34.4
245.43,34.4
246.43,34.3
247.43,34.4
248.42,34.4
249.42,34.3
250.44,34.5
251.44,34.4
252.43,34.5
253.44,34.4
254.43,34.8
255.44,34.7
256.44,34.4
257.44,34.5
258.44,34.5
259.44,34.7
260.45,34.5
261.44,34.9
262.45,34.7
263.46,34.8
264.46,34.8
265.45,34.5
266.46,34.8
267.46,34.8
268.46,34.9
269.47,34.7
270.46,34.7
271.46,34.9
272.47,34.5
273.46,34.7
274.47,34.8
275.47,35.2
276.46,34.7
277.48,35.3
278.47,35.7
279.48,35.2
280.48,34.5
281.47,34.7
282.49,35.1
283.48,34.8
284.48,34.7
285.49,35.3
286.49,34.9
287.49,35.6
288.49,35.3
289.49,34.9
290.49,34.8
291.49,34.8
292.5,36.0
293.5,34.5
294.5,35.8
295.5,34.9
296.5,35.1
297.5,34.5
298.5,35.1
299.51,35.1
300.51,36.5
301.52,36.4
302.51,35.1
303.52,36.2
304.51,36.5
305.52,36.5
306.52,36.0
307.51,35.6
308.52,36.2
309.51,36.5
310.53,36.2
311.52,35.8
312.52,36.4
313.53,36.5
314.53,36.1
315.53,37.1
316.53,37.1
317.52,36.6
318.54,36.5
319.54,37.0
320.53,37.0
321.54,36.8
322.54,36.6
323.54,37.1
324.55,36.4
325.55,36.8
326.55,37.0
327.55,36.9
328.55,36.6
329.55,36.5
330.56,36.9
331.55,37.1
332.55,36.9
333.56,37.0
334.56,37.0
335.56,37.0
336.56,36.9
337.57,37.0
338.57,36.9
339.56,37.0
340.56,36.8
341.57,36.5
342.57,36.9
343.57,37.0
344.57,37.1
345.57,37.1
346.58,37.4
347.58,37.0
348.59,37.3
349.59,37.3
350.58,37.4
351.59,37.3
352.59,37.3
