TIme (s),Pack Voltage,Current (DC Amps),Power Consumption (W)
0.64,483.54,-3.3,-1595.682
1.23,483.55,0.0,0.0
1.82,483.55,0.0,0.0
2.42,483.56,-0.2,-96.712
3.02,483.55,0.0,0.0
3.61,483.55,-0.2,-96.71000000000001
4.2,483.55,0.0,0.0
4.8,483.55,0.2,96.71000000000001
5.4,483.55,0.0,0.0
5.99,483.55,0.0,0.0
6.58,483.55,0.0,0.0
7.19,483.55,0.2,96.71000000000001
7.78,483.55,0.2,96.71000000000001
8.36,483.55,0.4,193.42000000000002
8.97,483.55,0.2,96.71000000000001
9.57,483.55,0.0,0.0
10.16,483.55,0.0,0.0
10.75,483.55,-0.4,-193.42000000000002
11.35,483.55,0.2,96.71000000000001
11.95,483.55,0.2,96.71000000000001
12.53,483.55,0.0,0.0
13.14,483.55,0.0,0.0
13.71,483.55,-0.8,-386.84000000000003
14.33,483.55,0.0,0.0
14.92,483.55,0.0,0.0
15.52,483.55,0.2,96.71000000000001
16.12,483.55,0.2,96.71000000000001
16.71,483.55,0.2,96.71000000000001
17.31,483.55,0.0,0.0
17.89,483.55,0.2,96.71000000000001
18.49,483.55,0.7,338.485
19.07,483.55,0.0,0.0
20.28,483.55,0.0,0.0
20.88,483.51,0.2,96.702
21.47,483.53,0.0,0.0
22.66,483.54,0.0,0.0
23.25,483.54,0.0,0.0
23.85,483.55,0.2,96.71000000000001
24.44,483.54,0.2,96.70800000000001
25.05,483.55,-0.2,-96.71000000000001
25.63,483.55,-0.4,-193.42000000000002
26.24,483.55,0.0,0.0
27.43,483.55,-0.2,-96.71000000000001
28.02,483.55,-0.2,-96.71000000000001
28.62,483.55,0.0,0.0
29.21,483.55,0.0,0.0
29.8,483.55,-0.2,-96.71000000000001
30.4,483.55,0.2,96.71000000000001
30.99,483.55,0.0,0.0
31.58,483.55,0.2,96.71000000000001
32.18,483.55,0.2,96.71000000000001
32.78,483.55,0.2,96.71000000000001
33.37,483.51,0.2,96.702
33.97,483.52,0.4,193.40800000000002
34.56,483.54,0.0,0.0
35.15,483.54,0.0,0.0
35.75,483.54,0.2,96.70800000000001
36.35,483.54,-0.2,-96.70800000000001
36.95,483.54,-0.2,-96.70800000000001
