Time (s),RPM
0.0,-10.0
0.0,-7.0
0.0,-5.0
0.0,-3.0
0.0,-2.0
0.0,-2.0
0.0,-1.0
0.47,-1.0
0.51,0.0
0.57,0.0
0.61,0.0
0.64,0.0
0.72,0.0
0.76,0.0
0.82,0.0
0.87,0.0
0.92,0.0
0.97,0.0
1.01,0.0
1.06,0.0
1.12,0.0
1.17,0.0
1.23,0.0
1.27,0.0
1.33,0.0
1.37,0.0
1.43,0.0
1.47,0.0
1.53,0.0
1.57,0.0
1.63,0.0
1.68,0.0
1.73,0.0
1.78,0.0
1.84,0.0
1.88,0.0
1.94,0.0
1.98,0.0
2.04,0.0
2.08,0.0
2.14,0.0
2.2,0.0
2.25,0.0
2.29,0.0
2.35,0.0
2.39,0.0
2.44,0.0
2.5,0.0
2.54,0.0
2.6,0.0
2.65,0.0
2.7,0.0
2.76,0.0
2.8,0.0
2.86,0.0
2.9,0.0
2.96,0.0
3.0,0.0
3.06,0.0
3.1,0.0
3.16,0.0
3.21,0.0
3.26,0.0
3.32,0.0
3.36,0.0
3.42,0.0
3.46,0.0
3.52,0.0
3.56,0.0
3.62,0.0
3.67,0.0
3.73,0.0
3.77,0.0
3.83,0.0
3.87,0.0
3.93,0.0
3.97,0.0
4.03,0.0
4.07,0.0
4.13,0.0
4.19,0.0
4.24,0.0
4.28,0.0
4.34,0.0
4.38,0.0
4.44,0.0
4.48,0.0
4.54,0.0
4.58,0.0
4.64,0.0
4.7,0.0
4.74,0.0
4.8,0.0
4.84,0.0
4.9,0.0
4.94,0.0
5.0,0.0
5.04,0.0
5.1,0.0
5.16,0.0
5.2,0.0
5.26,0.0
5.3,0.0
5.36,0.0
5.4,0.0
5.46,0.0
5.5,0.0
5.56,0.0
5.62,0.0
5.66,0.0
5.72,0.0
5.76,0.0
5.82,0.0
5.86,0.0
5.92,0.0
5.96,0.0
6.03,0.0
6.07,0.0
6.13,0.0
6.17,0.0
6.23,0.0
6.27,0.0
6.33,0.0
6.37,0.0
6.43,0.0
6.48,0.0
6.53,0.0
6.58,0.0
6.63,0.0
6.68,0.0
6.73,0.0
6.79,0.0
6.83,0.0
6.88,0.0
6.94,0.0
6.99,0.0
7.04,0.0
7.09,0.0
7.14,0.0
7.19,0.0
7.24,0.0
7.29,0.0
7.34,0.0
7.39,0.0
7.45,0.0
7.5,0.0
7.55,0.0
7.6,0.0
7.65,0.0
7.7,0.0
7.75,0.0
7.8,0.0
7.85,0.0
7.91,0.0
7.96,0.0
8.01,0.0
8.06,0.0
8.11,0.0
8.16,0.0
8.21,0.0
8.26,0.0
8.31,0.0
8.36,0.0
8.42,0.0
8.46,0.0
8.52,0.0
8.56,0.0
8.62,0.0
8.67,0.0
8.72,0.0
8.77,0.0
8.82,0.0
8.87,0.0
8.93,0.0
8.98,0.0
9.03,0.0
9.08,0.0
9.13,0.0
9.18,0.0
9.23,0.0
9.28,0.0
9.33,0.0
9.38,0.0
9.44,0.0
9.48,0.0
9.54,0.0
9.59,0.0
9.64,0.0
9.69,0.0
