Time (s),Inlet Water Temp (C),Outlet Water Temp (C),Inlet Air Temp (C),Outlet Air Temp (C)
0.0,-55.0,-56.1,73.28,73.35
0.49,28.8,28.4,73.31,73.35
1.0,28.9,28.9,73.24,73.38
1.5,28.7,28.5,73.28,73.41
2.01,29.0,28.4,73.21,73.35
2.52,28.9,28.6,73.24,73.41
3.02,28.9,28.6,73.24,73.35
3.52,28.9,28.6,73.21,73.31
4.03,28.7,28.6,73.21,73.28
4.54,29.0,28.9,73.21,73.28
5.04,28.8,28.9,73.17,73.28
5.54,28.8,28.4,73.14,73.28
6.05,29.2,28.7,73.14,73.28
6.56,29.1,28.7,73.21,73.24
7.06,28.9,28.4,73.14,73.28
7.57,29.0,28.8,73.21,73.28
8.08,28.8,28.7,73.17,73.24
8.58,28.9,28.8,73.21,73.28
9.08,28.8,28.6,73.21,73.24
9.59,28.9,28.7,73.31,73.24
10.09,28.9,28.8,73.24,73.24
10.6,28.9,28.8,73.28,73.28
11.11,28.8,28.5,73.24,73.31
11.6,29.2,29.0,73.21,73.28
12.12,28.8,28.5,73.21,73.35
12.62,29.1,28.5,73.17,73.31
13.12,28.9,28.6,73.14,73.31
13.61,28.9,28.6,73.14,73.31
14.13,29.1,28.7,73.07,73.31
14.63,28.9,28.7,73.14,73.35
15.15,29.0,28.6,73.1,73.35
15.64,28.9,28.6,73.1,73.38
16.15,29.1,28.5,73.07,73.38
16.66,29.0,28.6,73.04,73.38
17.16,29.1,28.6,73.04,73.38
17.66,29.1,28.5,73.1,73.38
18.18,29.1,28.7,73.04,73.38
18.68,29.0,28.6,73.0,73.38
19.18,28.8,28.6,72.97,73.31
19.69,29.0,28.6,73.0,73.31
20.2,29.1,28.7,73.0,73.24
20.7,28.8,28.6,72.97,73.21
21.2,28.8,28.7,73.1,73.24
21.71,29.0,28.6,73.1,73.21
22.22,29.2,28.5,73.1,73.24
22.72,29.3,28.4,73.17,73.17
23.22,29.1,28.5,73.1,73.21
23.72,29.3,28.5,73.17,73.1
24.23,29.0,28.6,73.07,73.21
24.73,29.1,28.6,73.07,73.21
25.25,29.0,28.5,73.04,73.21
25.75,28.9,28.7,73.07,73.17
26.25,28.9,28.6,73.04,73.17
26.75,29.3,28.8,73.04,73.1
27.25,29.2,28.6,73.04,73.14
27.77,29.0,28.9,73.0,73.14
28.27,29.2,28.5,73.0,73.14
28.78,29.0,28.6,73.04,73.14
29.28,29.1,28.6,73.0,73.04
29.78,29.0,28.5,72.97,73.0
30.3,29.1,28.7,73.04,73.04
30.8,29.1,28.8,72.97,73.04
31.3,29.1,28.7,72.97,73.07
31.81,28.9,28.7,72.93,73.0
32.31,29.3,28.9,73.0,73.07
32.82,29.1,28.5,73.0,73.04
33.33,29.2,28.7,72.97,73.14
33.82,29.3,29.0,72.97,73.1
34.33,29.1,28.7,72.93,73.07
34.83,29.0,28.9,72.93,73.04
35.35,29.1,28.6,72.93,73.04
35.84,29.0,28.7,72.9,73.04
36.35,29.1,28.8,72.93,73.0
36.86,29.1,28.7,72.93,73.04
37.36,29.0,28.9,72.97,73.0
37.87,29.2,28.7,72.9,73.0
38.37,29.1,28.5,72.9,73.28
38.87,30.4,28.7,72.9,73.0
39.38,29.3,28.4,72.86,73.0
39.89,29.1,28.7,72.9,72.97
40.39,29.2,28.7,72.97,73.24
40.9,29.2,28.6,72.83,72.9
41.41,29.3,28.7,72.9,72.97
41.9,29.3,28.9,72.86,73.0
42.41,29.3,28.5,72.86,73.0
42.92,29.2,28.7,72.86,72.97
43.43,29.2,28.8,72.83,72.93
43.93,29.1,28.8,72.83,72.93
44.44,29.1,29.6,72.9,72.9
44.94,29.0,28.7,72.8,72.93
45.44,29.3,28.7,72.86,72.97
45.95,29.1,28.7,72.76,73.04
46.45,29.3,29.9,72.83,73.04
46.95,29.2,28.8,72.83,73.04
47.46,29.2,28.9,72.8,73.07
47.97,29.2,28.8,71.02,73.04
48.46,29.0,32.9,72.83,73.07
48.98,29.2,28.7,72.8,73.1
49.48,29.2,28.6,72.8,73.07
49.97,29.2,28.9,75.32,73.0
50.49,29.4,28.6,72.83,73.1
51.0,29.0,26.3,72.83,73.07
51.5,29.4,28.0,72.83,73.04
52.01,29.4,28.8,72.9,73.0
52.51,29.2,28.8,72.9,73.07
53.01,29.3,28.7,72.86,73.07
53.52,29.3,28.8,72.83,73.07
54.02,29.2,28.8,72.8,73.1
54.52,29.5,29.0,72.83,73.1
55.04,28.9,28.7,72.8,73.07
55.54,29.3,28.5,72.76,73.21
56.05,29.4,28.9,72.76,73.24
56.55,25.4,29.0,72.76,73.35
57.05,29.2,29.1,72.76,73.38
57.56,28.7,28.9,72.73,73.35
58.06,29.4,28.8,72.73,73.35
58.57,29.2,28.9,72.76,73.38
59.07,29.4,29.0,72.76,73.38
59.58,29.3,28.9,72.62,73.45
60.09,29.3,28.7,72.73,73.55
60.58,29.5,28.7,72.76,73.69
61.1,29.4,29.8,72.83,73.72
61.6,29.3,28.9,72.9,73.72
62.11,29.3,28.3,72.83,73.62
62.61,29.4,28.9,72.83,73.62
63.12,29.4,28.9,72.76,73.55
63.62,29.4,28.8,74.97,73.55
64.13,29.7,25.8,72.73,73.52
64.64,29.5,28.9,72.8,73.45
65.14,29.2,29.0,72.8,73.38
65.65,29.5,29.0,72.83,73.31
66.14,29.3,29.0,72.86,73.35
66.65,29.5,29.0,72.86,73.24
67.15,29.6,28.9,72.9,73.24
67.67,29.4,29.1,72.9,73.17
68.17,29.8,29.0,72.93,73.28
68.66,29.4,28.9,72.93,73.35
69.17,29.7,28.8,72.97,73.35
