Time (s),MC Temp A,MC Temp B,MC Temp C
1.06,13.3,13.3,13.3
2.05,26.7,26.7,26.7
66.58,13.3,13.3,13.3
67.56,26.7,26.7,26.7
68.57,30.6,31.1,30.9
69.59,30.6,31.1,30.9
70.56,30.6,31.1,30.9
71.58,30.6,31.1,30.9
72.6,30.6,31.0,30.9
73.58,30.6,31.0,30.8
74.6,30.6,31.0,30.8
75.58,30.6,31.1,30.9
76.58,30.6,31.1,30.9
77.6,30.6,31.0,30.8
78.58,30.6,31.0,30.8
79.6,30.6,31.0,30.8
80.58,30.6,31.0,30.8
81.6,30.6,31.0,30.8
82.62,30.6,31.0,30.8
83.6,30.6,31.0,30.8
84.62,30.6,31.0,30.8
85.6,30.6,31.0,30.8
86.61,30.6,31.0,30.8
87.59,30.6,31.0,30.8
88.61,30.6,31.0,30.8
89.62,30.6,31.0,30.8
90.61,30.6,31.0,30.8
91.62,30.6,31.0,30.8
92.6,30.6,31.0,30.8
93.62,30.6,31.0,30.8
94.63,30.6,31.0,30.8
95.61,30.6,31.0,30.8
96.63,30.6,31.0,30.8
97.61,30.6,31.0,30.8
98.62,30.6,31.0,30.7
99.64,30.6,31.0,30.8
100.62,30.6,31.0,30.7
101.64,30.6,30.9,30.7
102.62,30.6,30.9,30.8
103.64,30.6,31.0,30.7
104.62,30.6,30.9,30.7
105.64,30.6,30.9,30.7
106.65,30.6,30.9,30.8
107.63,30.6,30.9,30.7
108.65,30.6,30.9,30.7
109.63,30.6,30.9,30.7
110.65,30.6,30.9,30.7
111.66,30.6,30.9,30.7
112.64,30.6,30.9,30.7
113.66,30.5,30.9,30.7
114.64,30.5,30.9,30.7
115.65,30.6,30.9,30.7
116.67,30.6,30.9,30.7
117.65,30.6,30.9,30.7
118.67,30.6,30.9,30.7
119.65,30.6,30.9,30.7
120.66,30.5,30.9,30.7
121.68,30.5,30.9,30.6
122.66,30.6,30.9,30.7
123.67,30.6,30.9,30.6
124.61,30.5,30.9,30.7
125.67,30.5,30.9,30.6
126.65,30.5,30.9,30.7
127.67,30.5,30.9,30.6
128.69,30.5,30.9,30.6
129.67,30.5,30.9,30.7
130.68,30.5,30.9,30.6
131.66,30.6,30.9,30.6
132.67,30.5,30.9,30.6
133.69,30.5,30.9,30.7
134.67,30.5,30.9,30.6
135.69,30.5,30.9,30.6
136.67,30.5,30.9,30.6
137.69,30.5,30.9,30.6
138.7,30.5,30.9,30.6
139.68,30.5,30.9,30.6
140.69,30.5,30.9,30.6
141.71,30.5,30.9,30.6
142.68,30.5,30.9,30.6
143.7,30.5,30.9,30.6
144.71,30.5,30.9,30.6
145.69,30.5,30.9,30.6
146.71,30.5,30.9,30.6
147.69,30.5,30.9,30.6
148.72,30.5,30.9,30.6
149.69,30.5,30.9,30.6
150.71,30.5,30.9,30.6
151.72,30.5,30.9,30.6
152.69,30.5,30.9,30.6
153.71,30.5,30.9,30.6
154.73,30.5,30.9,30.6
155.71,30.5,30.9,30.6
156.72,30.5,30.9,30.6
157.71,30.6,31.0,30.7
158.72,30.5,30.9,30.9
159.7,31.6,31.5,30.9
160.72,34.4,34.1,32.4
161.73,34.1,34.4,33.5
162.71,32.7,33.3,33.3
163.73,31.5,32.1,32.5
164.71,30.8,31.3,31.9
165.74,30.6,31.1,31.5
166.73,30.8,31.3,31.4
167.73,31.4,31.7,31.6
168.75,32.0,32.3,32.0
169.72,32.5,32.9,32.5
170.71,32.8,33.2,33.0
171.71,32.9,33.3,33.2
172.75,32.7,33.3,33.1
173.75,32.6,33.1,33.2
174.75,32.6,33.2,33.2
175.75,32.9,33.4,33.5
176.75,33.1,33.6,33.7
177.74,33.1,33.6,33.8
178.73,33.0,33.5,33.6
179.72,32.7,33.3,33.3
180.77,32.6,33.1,33.2
181.77,32.7,33.1,33.1
182.77,32.7,33.1,33.1
183.77,32.7,33.2,33.2
184.77,32.7,33.2,33.2
185.78,32.7,33.2,33.2
186.76,32.7,33.3,33.2
187.77,32.9,33.3,33.4
188.77,32.9,33.3,33.3
189.75,33.0,33.6,33.5
190.75,33.1,33.6,33.5
191.75,33.1,33.6,33.6
192.76,33.5,34.0,34.1
193.76,34.1,34.7,34.8
194.76,34.5,35.2,35.4
195.77,34.2,35.0,35.3
196.79,33.3,33.9,34.4
197.77,33.0,33.5,33.8
198.76,33.0,33.5,33.5
199.8,33.7,34.1,34.1
200.79,33.9,34.5,34.6
201.79,33.8,34.4,34.6
202.77,33.3,33.9,34.1
203.8,33.1,33.7,33.8
204.8,33.1,33.6,33.6
205.8,33.2,33.8,33.9
206.79,33.0,33.5,33.7
207.77,32.9,33.4,33.4
208.79,32.9,33.3,33.3
209.76,32.8,33.2,33.2
210.8,32.8,33.2,33.2
211.78,32.7,33.2,33.1
212.81,32.7,33.1,33.0
213.81,32.9,33.3,33.2
214.81,33.8,34.2,34.0
215.79,34.3,34.9,34.9
216.79,34.6,35.4,35.5
217.79,34.8,35.6,35.8
218.79,34.8,35.5,36.2
219.79,34.1,34.9,35.4
220.83,33.4,34.0,34.5
221.8,33.2,33.7,33.9
222.79,33.1,33.5,33.6
223.82,33.0,33.5,33.5
224.8,33.1,33.5,33.5
225.79,33.3,33.7,33.6
226.79,33.5,33.8,33.9
227.8,33.5,34.0,34.0
228.84,33.9,34.4,34.3
229.83,34.3,34.8,34.8
230.83,34.5,35.1,35.2
231.8,34.6,35.2,35.4
232.84,34.1,34.7,35.0
233.83,33.6,34.1,34.4
234.82,33.5,34.0,34.1
235.83,33.5,34.1,34.1
236.81,33.5,33.9,34.0
237.84,33.4,33.8,33.8
238.81,33.3,33.8,33.8
239.85,33.3,33.8,33.7
240.82,33.3,33.7,33.7
241.86,33.3,33.7,33.6
242.84,33.2,33.6,33.6
243.83,33.3,33.8,33.7
244.82,33.4,33.8,33.9
245.82,33.6,33.9,33.9
246.82,33.5,34.0,34.0
247.84,33.4,33.8,33.8
248.83,33.3,33.8,33.7
249.86,33.3,33.7,33.6
250.86,33.5,33.8,33.8
251.86,33.7,34.1,34.0
252.85,33.5,34.0,33.9
253.88,33.5,33.9,33.9
254.87,33.6,34.0,34.0
255.87,33.6,34.0,34.0
256.87,33.9,34.3,34.2
257.87,33.8,34.3,34.3
258.85,33.6,34.1,34.0
259.87,33.4,33.8,33.8
260.84,33.3,33.7,33.7
261.89,33.3,33.7,33.6
262.86,33.6,34.0,33.8
263.83,33.9,34.3,34.2
264.87,34.1,34.5,34.4
265.86,34.1,34.5,34.5
266.89,33.8,34.2,34.2
267.88,33.5,34.0,34.0
268.9,33.7,34.0,34.0
269.88,33.7,34.0,34.0
270.9,33.7,34.1,34.0
271.88,33.8,34.1,34.1
272.87,33.8,34.1,34.0
273.89,33.5,34.0,33.9
274.91,33.5,33.8,33.8
275.9,33.5,33.8,33.8
276.91,33.5,33.8,33.8
277.87,33.5,33.8,33.8
278.9,33.5,33.9,33.8
279.88,33.5,33.9,33.8
280.91,33.5,33.9,33.8
281.9,33.5,33.8,33.7
282.92,33.5,33.8,33.6
283.89,33.5,33.8,33.6
284.91,33.4,33.8,33.5
285.93,33.4,33.8,33.5
286.9,33.4,33.8,33.5
287.92,33.4,33.8,33.5
288.9,33.3,33.8,33.5
289.92,33.3,33.7,33.5
290.9,33.3,33.7,33.5
291.92,33.3,33.7,33.5
292.89,33.3,33.7,33.5
293.89,33.3,33.6,33.4
294.89,33.2,33.6,33.4
295.94,33.3,33.6,33.4
296.94,33.3,33.6,33.4
297.94,33.2,33.6,33.4
298.94,33.2,33.6,33.3
299.94,33.2,33.6,33.3
300.94,33.2,33.6,33.3
301.94,33.2,33.5,33.3
302.95,33.2,33.5,33.3
303.95,33.2,33.5,33.2
304.95,33.2,33.5,33.3
305.95,33.2,33.5,33.3
306.95,33.2,33.5,33.2
307.95,33.1,33.5,33.2
308.95,33.1,33.5,33.2
309.95,33.1,33.5,33.2
310.95,33.1,33.5,33.2
311.95,33.1,33.5,33.2
312.9,33.1,33.5,33.2
313.95,33.1,33.5,33.2
314.95,33.0,33.5,33.2
315.95,33.0,33.5,33.2
316.95,33.0,33.4,33.2
317.95,33.0,33.4,33.1
318.95,33.0,33.4,33.1
319.95,33.0,33.4,33.1
320.95,33.0,33.4,33.1
321.95,33.0,33.3,33.1
322.95,33.0,33.3,33.1
323.95,33.0,33.3,33.1
324.96,33.0,33.3,33.1
325.96,33.0,33.3,33.0
326.96,33.0,33.3,33.0
327.96,33.0,33.3,33.0
328.96,33.0,33.3,33.0
329.96,32.9,33.2,33.0
330.96,32.9,33.2,33.0
331.96,32.9,33.2,33.0
332.96,32.9,33.3,33.0
333.96,32.9,33.2,33.0
334.96,32.9,33.2,33.0
335.96,32.8,33.2,33.0
336.96,32.9,33.2,33.0
337.96,32.9,33.2,33.0
338.98,32.8,33.2,33.0
339.98,32.8,33.2,33.0
340.98,32.8,33.2,33.0
341.98,32.8,33.2,33.0
342.98,32.8,33.2,33.0
343.98,32.8,33.2,32.9
344.99,32.8,33.2,33.0
345.98,32.7,33.2,32.9
346.98,32.7,33.1,32.9
347.98,32.7,33.2,32.9
348.98,32.7,33.2,32.9
349.98,32.7,33.1,32.9
350.98,32.7,33.1,32.9
351.98,32.7,33.1,32.9
352.98,32.7,33.1,32.8
354.03,32.7,33.1,32.8
355.03,32.7,33.1,32.8
356.03,32.7,33.1,32.8
357.03,32.7,33.1,32.8
358.03,32.7,33.1,32.8
359.03,32.7,33.1,32.8
360.03,32.7,33.0,32.8
361.03,32.7,33.0,32.8
362.03,32.7,33.0,32.8
363.03,32.7,33.0,32.8
364.03,32.7,33.0,32.7
365.03,32.6,33.0,32.7
366.03,32.7,33.0,32.7
367.03,32.7,33.0,32.7
368.03,32.6,33.0,32.7
368.98,32.6,33.0,32.7
370.03,32.6,33.0,32.7
371.03,32.6,33.0,32.7
372.03,32.6,33.0,32.7
373.03,32.6,33.0,32.7
374.03,32.6,33.0,32.7
375.03,32.6,33.0,32.7
376.03,32.6,33.0,32.7
377.03,32.5,33.0,32.7
378.03,32.6,33.0,32.7
379.03,32.5,33.0,32.7
380.03,32.5,32.9,32.7
380.98,32.5,32.9,32.7
382.03,32.5,32.9,32.7
383.03,32.5,32.9,32.7
384.03,32.5,32.9,32.6
385.03,32.5,32.9,32.7
386.08,32.5,32.9,32.6
387.03,32.5,32.9,32.6
388.08,32.5,32.9,32.6
389.08,32.5,32.8,32.6
390.08,32.5,32.9,32.6
391.08,32.5,32.8,32.6
392.08,32.5,32.8,32.6
393.08,32.4,32.8,32.6
394.08,32.4,32.8,32.6
395.08,32.5,32.8,32.6
396.08,32.5,32.8,32.6
397.08,32.4,32.8,32.6
398.08,32.4,32.8,32.5
399.08,32.4,32.8,32.6
400.08,32.5,32.7,32.5
401.08,32.4,32.8,32.5
402.08,32.4,32.7,32.5
403.08,32.4,32.7,32.5
404.08,32.4,32.7,32.5
405.08,32.4,32.7,32.5
406.08,32.4,32.7,32.5
407.08,32.4,32.7,32.5
408.08,32.4,32.7,32.5
409.03,32.3,32.7,32.5
410.08,32.4,32.7,32.5
411.08,32.4,32.7,32.5
