Time (s),Amps
3.38,-6400
8.5,-6144
14.59,-7168
21.71,-6656
29.81,-7168
38.92,-6656
49.02,-7424
60.13,-7424
72.23,-7424
85.39,-7424
99.51,-6400
114.63,-8448
130.74,-6400
147.84,-6656
165.96,-6400
185.08,-6400
205.19,-6656
226.31,-6656
248.44,-7680
271.56,-6656
295.68,-7168
298.91,-7168
303.05,-7424
308.17,-6656
314.26,-7168
321.36,-8192
329.56,-7168
332.76,-6400
336.86,-6400
341.95,-6144
348.07,-6656
355.15,-6400
363.27,-6144
372.35,-6400
375.55,-15104
379.77,-16384
384.91,-15616
391.03,-15616
398.12,-15616
406.24,-16384
415.36,-14592
418.55,-18688
422.75,-19200
427.88,-18944
433.96,-19200
441.04,-20224
449.15,-19968
458.25,-18688
468.35,-19968
479.5,-20736
491.6,-20224
504.73,-19968
518.82,-19200
533.92,-19200
550.04,-19712
567.14,-19712
585.27,-19968
604.42,-19712
624.54,-19712
645.65,-19712
667.8,-19968
690.92,-19712
715.07,-19968
718.71,-19200
722.95,-20224
728.04,-19968
734.12,-19968
741.21,-21504
749.33,-19968
758.42,-21248
768.51,-19968
779.81,-20992
792.05,-20224
805.18,-19968
819.27,-19968
834.39,-20992
850.5,-19712
867.63,-19712
885.73,-19712
904.96,-19712
925.06,-19200
946.18,-19712
968.3,-19968
991.41,-19968
1015.52,-19200
1040.63,-19712
1067.79,-20736
1095.92,-19968
1125.06,-20736
1155.19,-19968
1186.32,-20224
1218.45,-19968
1251.62,-20224
1285.83,-18944
1320.96,-20224
1357.1,-20224
1394.23,-19712
1432.38,-20224
1471.51,-19712
1511.68,-19712
1552.96,-19200
1595.1,-19200
1638.25,-19712
1682.41,-19968
1727.55,-19968
1773.7,-19200
1820.85,-19968
1869.21,-19712
1918.41,-19968
1968.57,-20224
2019.74,-19712
2071.96,-20224
2125.11,-19712
2179.27,-20992
2234.46,-18944
2290.74,-20224
2347.91,-21248
2406.08,-20224
2465.27,-20736
2525.44,-19712
2586.6,-20224
2648.79,-20224
2712.13,-20224
2776.33,-19712
2841.52,-19712
2907.73,-19968
2974.91,-19200
3043.1,-19712
3112.28,-19968
3182.47,-19712
3253.74,-20224
3325.92,-20224
3399.11,-20224
3473.31,-19968
3548.49,-20736
3624.7,-19712
3701.92,-20224
3780.26,-20224
3859.48,-20224
3939.69,-19712
4020.88,-20224
4103.08,-20224
4186.28,-19712
4270.53,-20736
4355.94,-19968
4442.22,-22272
4529.43,-20224
4617.68,-19968
4706.9,-20224
4797.1,-20224
4888.43,-19968
4980.66,-19712
5074.02,-19968
5168.24,-19712
5263.47,-20224
5359.7,-18944
5456.93,-19968
5555.16,-20736
5654.41,-20224
5754.8,-19712
5856.07,-19968
5958.31,-19968
6061.56,-21248
6165.79,-20224
6271.02,-20736
6377.25,-20224
6484.68,-19968
6592.93,-19968
6702.2,-21248
6812.47,-20224
6923.71,-20224
7035.98,-19968
7149.27,-19200
7263.73,-19712
7379.06,-19968
7495.32,-19968
7612.68,-19968
7730.96,-19968
7850.21,-19968
7970.47,-20224
8091.74,-20736
8214.06,-20736
8337.34,-20224
8461.63,-19968
8586.91,-20224
8713.17,-20224
8840.46,-20736
8968.73,-19712
9098.09,-20736
9228.42,-20736
9359.7,-19712
9491.98,-19968
9625.25,-19968
9759.54,-19968
9894.87,-19968
10031.23,-19968
10168.51,-20224
10306.79,-20224
10446.08,-19200
10586.36,-19968
10727.66,-20224
10731.12,-20992
10735.34,-20224
10740.46,-20224
10746.54,-20224
10753.63,-21248
10761.73,-20736
10770.82,-20992
10780.94,-20736
10793.06,-20736
10806.17,-20224
10820.27,-19968
10835.37,-20992
