Time (s),Motor Temps
0.0,31.5
0.0,31.3
3.06,31.5
4.04,31.1
5.05,31.4
6.06,31.1
7.07,31.7
8.06,31.3
9.06,31.7
10.07,31.3
11.08,31.4
12.06,31.3
13.07,30.5
14.06,31.5
15.07,31.1
16.08,31.7
17.07,31.3
18.08,31.7
19.07,31.5
20.05,31.3
21.08,31.5
22.07,31.3
23.08,31.4
24.08,31.4
25.09,31.4
26.08,31.4
27.1,31.5
28.09,31.4
29.1,31.1
30.09,31
31.1,31.1
32.09,31.5
33.09,31.7
34.1,32
35.11,32
36.09,31.8
37.11,32.2
38.1,32.2
39.11,32.6
40.1,32.4
41.12,32.3
42.11,32.6
43.12,32.6
44.11,32.6
45.12,32.6
46.11,32.4
47.12,33
48.13,32.7
49.12,32.6
50.11,32.6
51.13,32.4
52.14,32
53.12,32.6
54.13,32.6
55.12,32.7
56.13,32.4
57.14,32.3
58.13,32.7
59.14,32.7
60.13,32.7
61.14,32.8
62.13,32.7
63.14,32.4
64.14,32.8
65.15,32.7
66.16,32.6
67.15,32.7
68.16,33
69.15,32.7
70.16,32.7
71.15,32.8
72.16,32.7
73.17,32.6
74.17,32.7
75.16,32.3
76.17,32.6
77.17,32.7
78.16,32.4
79.17,32.6
80.17,32.8
81.17,32.3
82.17,32.3
83.18,33
84.09,32.4
85.19,32.7
86.17,32.3
87.18,32.7
88.19,32.6
89.18,32.7
90.19,32.7
91.18,32.7
92.19,32.7
93.16,32.6
94.19,32.6
95.2,32.8
96.21,32.7
97.2,32.6
98.2,32.4
99.19,32.6
100.2,32.4
101.19,32.6
102.2,32.4
103.21,32.7
104.2,32.4
105.21,32.3
106.2,32.4
107.22,32.8
108.2,32.7
109.21,32
110.19,32.4
110.65,33.1
110.65,33
134.12,33
135.13,33
136.14,33.2
137.13,32.7
138.13,32.7
139.12,32.8
140.13,33.1
141.13,32.8
142.13,32.6
143.13,32.8
144.12,32.7
145.14,33
146.14,33.1
147.15,33
148.15,33
149.16,33.2
150.14,33.1
151.15,33
152.16,32.8
153.15,33.1
154.16,33.1
155.15,33
156.17,33.1
157.15,33
158.17,32.7
159.16,33
160.17,32.7
161.18,32.8
162.17,33
163.17,32.8
164.17,32.8
165.18,32.8
166.17,33
167.18,32.7
168.17,33.4
169.19,33.4
170.18,33.2
171.17,33.1
172.16,33
173.2,33.1
174.19,33.1
175.18,33.1
176.19,33.1
177.18,33.1
178.19,33.1
179.19,33.2
180.2,33.1
181.19,33.2
182.19,33.1
183.21,33.6
184.19,33.2
185.2,33.9
186.21,33.5
187.21,33.5
188.22,33.6
189.21,33.5
190.22,33.6
191.22,33.5
192.21,33.6
193.22,33.6
194.21,33.4
195.21,33.6
196.22,34.1
197.23,33.4
198.22,34.1
199.23,33.5
200.24,33.6
201.22,34.1
202.23,34.1
203.23,34
204.24,33.5
205.24,34
206.22,34.4
207.23,33.7
208.24,33.7
209.25,34
210.25,33.9
211.23,34.9
212.25,34.3
213.24,34.9
214.25,34.5
215.26,34.5
216.25,35.1
217.26,34.7
218.25,35.1
219.26,35.2
220.25,34.8
221.25,35.6
222.26,35.1
223.27,35.1
224.26,35.8
225.27,34.3
226.26,35.3
227.27,36.4
228.26,35.1
229.27,35.6
230.28,34.9
