Time (s),Inlet Water Temp (C),Outlet Water Temp (C),Inlet Air Temp (C),Outlet Air Temp (C)
0.0,33.7,33.7,71.8,71.87
0.0,34,33.6,71.8,71.84
0.0,34.2,33.7,71.77,71.84
0.0,33.6,33.9,71.77,71.84
2.78,33.6,33.8,71.74,71.8
3.35,33.9,33.7,71.74,71.84
3.92,33.8,33.8,71.77,71.8
4.49,33.8,33.7,71.7,71.8
5.03,33.8,34.1,71.74,71.8
5.6,33.4,33.6,71.7,71.77
6.17,33.8,33.8,71.74,71.8
6.73,33.9,33.6,71.7,71.8
7.28,34.1,33.7,71.74,71.8
7.85,34,33.3,71.7,71.8
8.41,33.6,33.3,71.7,71.8
8.96,34,33.9,71.67,71.74
9.53,33.4,33.9,71.67,71.74
10.09,34.2,33.6,71.7,71.7
10.66,34.1,34.3,71.7,71.74
11.21,33.9,33.9,71.74,71.7
11.77,34,33.6,71.77,71.7
12.34,33.8,34,71.74,71.67
12.88,33.9,34,71.77,71.67
13.45,34,33.7,71.77,71.63
14.02,33.9,33.9,71.87,71.63
14.57,33.9,34.2,71.91,71.67
15.14,34,33.9,71.98,71.67
15.7,34.2,34.1,71.98,71.67
16.25,33.8,33.8,72.01,71.67
16.82,33.8,33.8,72.01,71.67
17.38,33.4,33.5,72.01,71.7
17.93,33.7,34.4,72.01,71.7
18.5,34,33.6,71.98,71.7
19.07,33.3,33.4,71.98,71.67
19.62,33.9,33,71.98,71.63
20.17,33.8,34,71.94,71.63
20.75,33.7,34.1,71.94,71.63
21.31,33.8,33.7,71.98,71.6
21.86,33.9,33.6,72.01,71.57
22.43,33.7,33.8,72.04,71.57
23.0,33.7,33.6,72.04,71.6
23.55,33.9,33.7,72.11,71.53
24.12,34.1,33.9,72.15,71.6
24.67,33.8,34.1,72.18,71.63
25.24,34,33.6,72.15,71.6
25.79,34.2,33.7,72.11,71.6
26.36,33.7,33.6,72.11,71.6
26.91,33.9,34,72.04,71.6
27.48,33.9,34,72.04,71.6
28.05,33.9,34,72.04,71.6
28.59,33.8,33.5,72.11,71.6
29.17,34.1,33.8,72.18,71.63
29.73,33.8,34.2,72.21,71.6
30.28,33.6,34.1,72.21,71.6
30.85,33.3,33.8,72.21,71.6
31.4,34.3,33.9,72.18,71.6
31.97,34,33.8,72.15,71.6
32.52,33.8,33.6,71.84,71.63
33.09,33.9,33.5,72.08,71.7
33.65,34.4,33.6,72.11,71.63
34.2,34,33.8,72.11,71.63
34.77,27,33.9,72.11,71.63
35.34,35.1,33.8,72.11,71.67
35.88,33.1,33.2,72.15,71.67
36.46,33,33.6,72.15,71.67
37.01,34.4,33.5,72.15,71.67
37.57,34.2,33.1,72.15,71.7
38.14,34.1,33.3,72.08,71.7
38.71,34.3,33,72.15,71.7
39.26,34.7,32.8,72.11,71.7
39.83,34.1,33,71.98,71.74
40.38,33.9,32.9,72.18,71.74
40.95,34.5,32.7,72.15,71.74
41.5,34.3,32.8,72.15,71.87
42.07,34.3,32.8,72.18,71.84
42.62,34.5,33.1,72.18,71.87
43.19,34.4,32.8,72.18,71.84
43.75,34.1,33.4,72.21,71.84
44.32,33.9,32.8,72.28,71.84
44.87,34,32.9,72.28,71.84
45.44,34,32.9,72.28,71.87
45.98,34.1,33.1,72.25,71.87
46.55,34.2,32.9,72.21,71.91
47.12,34,33,72.73,71.91
47.66,33.8,33.1,72.21,71.94
48.24,33.3,33.2,72.18,72.83
48.8,33.7,33.3,72.18,71.91
49.35,34,33.2,72.18,71.91
49.92,33.3,33.3,72.18,71.94
50.47,33.7,33.3,72.15,71.94
51.04,33.7,33.5,72.18,71.94
51.61,33.7,33.4,72.11,71.87
52.16,33.6,33.2,72.08,71.91
52.72,34.1,33.2,72.08,71.91
53.27,33.7,32.4,72.04,71.87
53.84,34.3,33.8,72.04,71.87
54.41,33.7,33.1,72.04,71.84
54.98,33.5,33.3,72.11,71.84
55.52,33.8,32.4,72.15,71.77
56.09,33.6,33.6,72.15,71.84
56.63,33.5,36.7,72.15,71.87
57.21,33.4,33.4,72.15,71.87
57.77,33.3,32.9,72.18,71.87
58.34,33.6,33,72.21,71.91
58.89,33.3,33.3,72.25,71.87
59.46,33.3,33,72.18,71.84
60.0,33.1,33,72.21,71.8
60.58,33.8,33.4,72.21,71.84
61.14,33.5,33.1,72.18,71.84
61.69,33.4,33.5,72.28,71.84
62.26,33.3,33.2,73.76,71.84
62.83,33.2,32.9,72.28,71.84
63.38,33.6,33.3,72.25,71.84
63.95,33.3,31.8,72.25,71.84
64.5,33.3,33.2,72.21,71.84
65.06,33.6,33.6,72.25,71.84
65.63,33.8,33.4,72.21,71.84
66.18,33.2,32.9,72.21,71.84
66.75,33.4,33.3,72.25,71.84
67.32,33.3,33.6,72.21,71.8
67.86,33.4,33.3,72.25,71.8
68.43,33.9,33.3,72.21,71.84
68.98,33.6,33.1,72.28,71.8
69.55,32.9,33.3,72.28,71.84
70.11,33.4,33.5,72.25,71.84
70.67,33.7,33.2,72.25,71.84
71.24,33.6,33.1,72.25,71.8
71.8,33.6,33.4,72.25,71.8
72.35,33.5,33.1,72.25,71.84
72.92,33.8,33.6,72.21,71.84
73.49,34.1,33.2,72.25,71.8
74.04,33.8,33.4,72.18,71.8
74.61,33.8,33.2,72.21,71.8
75.16,33.5,33.2,72.21,71.8
75.73,33.7,33.2,72.18,71.8
76.29,33.2,33.2,72.18,71.8
76.84,33.4,33.3,72.18,71.84
77.41,33.1,33.2,72.18,71.8
77.97,33.3,33.4,72.18,71.77
78.52,33.3,33.2,72.21,71.74
79.09,33.4,33.8,72.21,71.8
79.66,33.6,33.6,72.21,71.8
80.21,33.3,33.4,72.25,71.8
80.78,33.3,33.3,72.21,71.8
81.34,33.5,33.2,72.21,71.8
81.89,33.3,33.4,72.18,71.8
82.4,33.6,33.9,72.18,71.77
83.01,33.3,33,72.15,71.8
83.58,33.4,32.8,72.11,71.8
84.09,32.8,33.1,72.15,71.77
84.7,33.5,33.3,72.15,71.77
85.27,33.3,34,72.11,71.74
85.82,33.3,33.1,72.08,71.77
86.38,33.6,33.6,72.08,71.77
86.95,33.3,33.4,72.04,71.77
87.5,33.7,33.3,72.01,71.77
88.06,33.4,33.4,72.01,71.77
88.63,33.2,33.1,72.01,71.74
89.18,33.8,33.4,72.01,71.74
89.75,33.2,33.3,72.01,71.74
90.32,33.3,33.3,72.04,71.74
90.87,33.1,33.1,72.08,71.74
91.43,33.3,33.3,72.08,71.77
92.0,33.7,33.3,72.11,71.74
92.55,33.6,33.4,72.08,71.77
93.12,33.7,33.5,72.04,71.77
93.67,33.3,33.1,72.08,71.74
94.24,33.4,33.1,72.08,71.74
94.8,33.3,33.3,72.08,71.77
95.37,33.3,33.1,72.04,71.8
95.92,33.6,33.2,72.11,71.77
96.48,33.9,33.3,72.08,71.77
97.05,33.3,33.4,72.08,71.74
97.6,33.6,33,72.04,71.77
98.16,33.5,32.9,72.08,71.74
98.73,33.7,33.2,72.01,71.74
99.28,33.4,33.3,72.01,71.77
99.84,33.3,33.5,72.01,71.77
100.41,33.3,33.4,71.98,71.77
100.96,33.6,33.5,71.98,71.77
101.53,33.7,33.2,71.94,71.74
102.09,34,33.3,71.94,71.74
102.64,33.3,33,71.94,71.74
103.21,32.7,32.9,71.91,71.74
103.77,33.3,33,71.91,71.8
104.33,33.2,33.3,71.91,71.74
104.9,33.4,33.3,71.87,71.74
105.46,34.1,33.5,71.87,71.74
106.02,33.3,33,71.87,71.77
106.58,33.4,33.3,71.84,71.74
107.13,33.4,33.3,71.87,71.74
107.7,33.6,32.9,71.87,71.77
108.27,33.7,33.2,71.87,71.74
108.83,33,33.2,71.91,71.7
109.38,33.6,33.1,71.91,71.74
109.94,33.1,33.3,71.91,71.74
110.5,32.8,33.1,71.94,71.74
110.65,34.7,34.2,71.7,71.8
110.65,34.5,34.3,71.67,71.84
110.65,34.3,34.9,71.67,71.84
110.65,34.5,34.5,71.7,71.87
133.87,34.5,34.5,71.7,71.87
134.42,34.5,34.3,71.67,71.91
134.98,34.5,34.4,71.7,71.91
135.55,34.4,34.6,71.7,71.94
136.12,34.3,34.1,71.7,71.91
136.66,34.5,34.5,71.7,71.87
137.24,34.5,34.4,71.7,71.87
137.8,34.1,34.4,71.7,71.87
138.34,34.5,34.3,71.7,71.87
138.91,33.8,34.4,71.7,71.91
139.48,34.4,34,71.7,71.91
140.03,34.6,34.2,71.7,71.94
140.6,34.7,34.3,71.7,71.91
141.17,34.6,34.6,71.67,71.91
141.71,34.5,34.6,71.7,71.91
142.29,34.4,34.4,71.67,71.91
142.84,34.5,34.2,71.67,71.87
143.4,34.5,34.4,71.67,71.87
143.97,34.6,34.5,71.63,71.87
144.53,34.2,34.3,71.67,71.84
145.09,34.2,34.3,71.63,71.87
145.64,34.5,34.3,71.63,71.87
146.21,34.3,34.4,71.67,71.87
146.77,34.2,34.4,71.67,71.94
147.33,34.3,34.6,71.63,71.94
147.9,34.5,34.3,71.67,71.91
148.46,34.4,34.3,71.67,71.94
149.01,34.5,33.9,71.7,71.87
149.58,34.5,34.5,71.67,71.87
150.14,34.4,34.2,71.63,71.84
150.69,34.2,34.6,71.67,71.84
151.26,34.5,34.2,71.63,71.84
151.82,34.5,34.4,71.67,71.8
152.37,34.5,34.3,71.67,71.77
152.94,34.5,34.5,71.63,71.8
153.5,34.5,35.1,71.67,71.8
154.07,34.2,34.2,71.63,71.77
154.62,34.4,34.4,71.67,71.8
155.19,34.7,34.2,71.63,71.8
155.74,34.6,34.5,71.63,71.87
156.31,34.7,34.2,71.63,71.91
156.88,34.4,34.4,71.63,71.91
157.43,34.9,34.6,71.63,71.94
157.98,34.8,34.4,71.67,71.98
158.55,34.4,34.4,71.67,71.94
159.1,34.8,34.4,71.67,71.94
159.67,34.5,34.4,71.67,71.98
160.23,34.2,34.5,71.63,71.98
160.8,34.5,34.5,71.63,71.98
161.35,34.5,34.8,71.67,71.98
161.91,34.5,34.5,71.67,72.01
162.48,34.7,34.4,71.7,72.01
163.05,35,34.4,71.67,72.01
163.59,34.5,34.3,71.67,72.08
164.17,34,34.2,71.7,72.04
164.71,34.4,33.8,71.7,72.04
165.28,34.1,34.2,71.7,72.04
165.85,34.5,34.6,71.67,72.08
166.4,34.3,34.5,71.67,72.08
166.97,34.7,34.4,71.67,72.04
167.51,34.5,34.2,71.7,72.04
168.08,34.9,34.3,71.67,72.01
168.66,34.5,34,71.67,71.91
169.21,34.3,34.6,71.67,71.87
169.78,34.3,34.4,71.63,71.84
170.32,34.6,34.5,71.67,71.8
170.89,34,34.3,71.43,71.77
171.45,34.4,34,71.63,71.74
172.02,34.8,34.5,71.67,71.77
172.57,34.5,36.4,71.63,71.77
173.14,34.1,34.2,71.63,71.77
173.7,18.9,34.1,71.57,71.74
174.27,34.5,34.4,71.63,71.7
174.82,34,34.5,71.63,71.67
175.38,34.5,34.1,71.6,71.67
175.93,34.3,34.3,71.6,71.7
176.51,34.5,34.4,71.6,71.77
177.06,34.1,34.3,71.63,71.8
177.63,34.3,33.9,71.6,71.91
178.19,34.5,34.3,71.6,71.94
178.74,34.3,34,71.63,71.98
179.31,34.5,34.2,71.6,71.98
179.86,34.4,33.4,71.63,71.98
180.44,32.8,34.3,71.63,72.01
181.0,31.3,34.1,71.67,72.04
181.54,33.9,34.1,71.74,72.08
182.12,34.1,34.1,71.8,72.04
182.68,34.4,34.1,71.77,72.01
183.22,34.4,34.2,71.84,72.01
183.79,34.4,34.1,71.84,72.01
184.36,34.2,34.2,71.84,71.91
184.91,34.7,34.3,71.8,71.74
185.48,34.2,34,71.8,71.74
186.04,34.5,33.9,71.84,71.7
186.6,34.4,34.3,71.84,71.7
187.16,34.1,34.1,71.8,71.7
187.71,34.2,35,71.8,71.74
188.28,34.5,34.5,71.8,71.67
188.85,34.4,34.1,71.74,71.77
189.4,33.9,34.1,71.77,71.77
189.97,34.1,34.4,71.74,71.8
190.53,34.5,34.3,71.74,71.87
191.09,34.2,33.9,71.77,71.91
191.64,34.1,34.1,71.77,71.87
192.21,34.2,34.3,71.7,71.7
192.78,34,34,71.67,71.6
193.33,34.2,34,71.67,71.77
193.9,34.1,40.8,71.67,71.74
194.45,33.9,34.4,71.63,71.8
195.02,23,34.4,71.6,71.74
195.57,34.1,34.2,71.6,71.77
196.13,33.9,34.4,71.6,71.94
196.7,34.4,34.1,71.63,71.87
197.26,34.2,34.4,71.6,72.01
197.82,33.9,34.2,71.6,72.04
198.39,34,34.6,71.6,72.01
198.94,34.3,34.5,71.6,71.98
199.5,34.5,34.3,71.6,72.01
200.07,34.3,34.8,71.63,71.98
200.61,34.1,35,71.63,72.04
201.19,34.2,35.1,71.63,72.01
201.74,29.7,35.1,71.6,71.94
202.31,34.4,35.9,71.63,71.98
202.88,33.8,35.1,71.63,72.01
203.42,34.5,35.2,71.63,72.04
203.99,34.3,34.4,71.67,72.01
204.56,34.4,35.1,71.63,71.98
205.11,34,35,71.67,71.94
205.68,34.4,35.4,71.6,71.87
206.22,34.1,35.1,71.87,71.67
206.79,34.3,35.2,71.57,70.41
207.35,34.4,35.1,71.46,71.57
207.92,34.6,38.6,71.43,71.63
208.47,36.1,35.7,71.4,71.63
209.04,34.4,35.2,71.33,71.53
209.61,34.1,35.4,71.29,71.67
210.16,33.9,35.9,71.26,71.74
210.73,34.7,35.3,71.26,71.77
211.27,34.5,35.4,71.26,71.84
211.85,34.5,35.5,71.19,71.94
212.4,34.6,34.7,71.23,72.04
212.97,34.5,35.3,71.36,72.11
213.54,34.7,35.2,71.33,72.04
214.08,35.2,35.4,71.33,71.43
214.65,34.8,34.8,71.29,71.87
215.22,34.9,35.4,71.29,71.94
215.76,34.7,35.3,71.33,71.87
216.33,34.7,35.9,71.36,71.77
216.9,34.7,35.1,71.43,71.74
217.45,34.8,34.5,71.5,71.8
218.02,35,35,71.5,71.87
218.57,35,35.5,71.5,71.77
219.13,35.2,35.4,71.5,71.8
