Time (s),Temperature (Degrees C)
3.34,0
7.1,18
11.37,18
16.16,18
21.47,18
27.38,18
33.86,18
40.99,18
48.69,18
56.97,18
65.86,18
75.34,18
78.67,0
82.4,18
86.65,18
91.45,17
96.77,17
102.67,17
109.17,17
116.27,17
123.96,17
132.25,17
141.11,17
150.6,17
160.66,17
171.29,17
182.53,17
194.37,17
206.76,17
219.79,17
233.37,17
247.58,17
262.37,17
277.74,17
293.67,17
310.23,17
327.38,17
345.11,17
363.45,17
382.4,17
401.89,17
421.99,17
442.64,17
463.94,17
485.77,17
508.21,17
531.25,17
554.87,17
579.11,17
603.89,17
607.69,0
611.97,17
616.76,17
622.07,17
627.97,17
634.45,17
641.56,17
649.26,17
657.53,17
666.39,17
675.86,17
685.9,17
696.53,17
708.44,17
720.96,17
734.0,17
747.56,17
761.74,17
776.52,17
791.86,17
807.78,17
824.33,17
841.51,17
859.21,17
877.51,17
896.54,17
916.06,17
936.14,17
956.79,17
978.05,17
999.88,17
1022.3,17
1045.3,17
1068.94,17
1093.18,17
1117.99,17
1143.47,17
1169.67,17
1196.35,17
1223.53,17
1251.27,17
1279.62,17
1308.53,17
1338.05,17
1368.13,17
1398.84,17
1430.14,17
1462.03,17
1494.5,17
1527.59,17
1561.39,17
1595.69,17
1630.51,17
1665.94,17
1701.94,17
1738.54,17
1775.71,17
1813.49,17
1851.85,17
1890.83,17
1930.36,17
1970.53,17
2011.48,17
2052.93,17
2094.89,17
2137.41,17
2180.52,17
2224.18,17
2268.45,17
2313.32,17
2358.76,17
2404.81,17
2451.42,17
2498.67,17
2546.51,17
2595.06,17
2644.09,17
2693.67,17
2743.88,17
2794.65,17
2846.0,17
2898.0,17
2950.53,17
3003.66,17
3057.4,17
3111.71,17
3166.59,17
3222.06,17
3278.23,17
3334.94,17
3392.2,17
3450.04,17
3508.48,17
3567.53,17
3627.17,17
3687.36,17
3748.15,17
3809.54,17
3871.51,17
3934.11,17
3997.4,17
4061.25,17
4125.62,17
4190.58,17
4256.08,17
4322.19,17
4388.9,17
4456.17,17
4524.03,17
4592.53,17
4661.59,17
4731.25,17
4801.48,17
4872.44,17
4943.9,17
5015.92,17
5088.5,17
5161.69,17
5235.48,17
5309.84,17
5384.81,17
5460.39,17
5536.54,17
5613.28,17
5690.62,17
5769.22,17
5848.34,17
5928.01,17
6008.31,17
6089.2,17
6170.64,17
6252.68,17
6335.31,17
6418.56,17
6502.36,17
6586.76,17
6671.78,17
6757.53,17
6843.79,17
6930.55,17
7017.91,17
7105.88,17
7194.4,17
7283.51,17
7373.22,17
7463.55,17
7554.45,17
7646.0,17
7738.12,17
7831.0,17
7924.43,17
8018.33,17
8112.78,17
8207.8,17
8303.44,17
8399.64,17
8496.43,17
8593.83,17
8691.79,17
8790.35,17
8889.54,17
8989.29,17
9089.8,17
9190.82,17
9292.37,17
9394.48,17
9497.18,17
9600.48,17
9704.36,17
9808.84,17
9913.89,17
10019.56,17
10125.8,17
10232.65,17
10340.2,17
10448.26,17
10556.89,17
10666.08,17
10775.87,17
10886.25,17
10997.22,17
11108.77,17
11220.92,17
11333.65,17
11447.01,17
11560.94,17
11675.59,17
11790.77,17
11906.49,17
12022.77,17
12139.64,17
12257.15,17
12375.21,17
12493.85,17
12613.08,17
12732.89,17
12853.3,17
12974.32,17
13096.06,17
13218.32,17
13341.12,17
13464.49,17
13588.42,17
13712.95,17
13838.1,17
13963.82,17
14090.15,17
14217.04,17
14344.54,17
14472.64,17
14601.48,17
14730.8,17
14860.65,17
14991.15,17
15122.18,17
15253.8,17
15386.02,17
15518.82,17
15652.22,17
15786.21,17
15920.8,17
16055.97,17
16191.9,17
16328.31,17
16465.27,17
16602.8,17
16740.93,17
16879.62,17
17018.92,17
17158.81,17
17299.29,17
17440.37,17
