Time (s),MC Temp A,MC Temp B,MC Temp C
3.22,13.3,13.3,13.3
8.32,22.1,22.6,22.5
14.4,22.1,22.6,22.5
21.5,22.1,22.6,22.5
29.58,22.1,22.6,22.5
38.68,22.1,22.6,22.5
48.75,22.2,22.6,22.5
59.85,22.2,22.6,22.4
71.93,22.1,22.7,22.5
85.07,22.1,22.6,22.5
99.17,22.1,22.6,22.5
114.27,22.2,22.6,22.5
130.37,22.1,22.6,22.5
147.45,22.2,22.6,22.5
165.56,22.1,22.6,22.4
184.66,22.1,22.6,22.5
204.75,22.2,22.6,22.5
225.85,22.2,22.6,22.5
247.96,22.2,22.6,22.5
271.07,22.2,22.6,22.5
295.17,22.2,22.6,22.5
298.34,13.3,13.3,13.3
302.46,22.3,22.7,22.7
307.56,22.3,22.7,22.7
313.63,22.3,22.7,22.7
320.71,22.3,22.7,22.7
328.89,22.3,22.7,22.6
332.06,13.3,13.3,13.3
336.16,25.4,25.7,25.6
341.25,25.4,25.7,25.6
347.35,25.4,25.7,25.6
354.43,25.4,25.7,25.6
362.54,25.3,25.7,25.6
371.62,25.4,25.7,25.6
374.79,13.3,13.3,13.3
379.01,19.6,20.1,20.0
384.14,19.6,20.1,20.0
390.25,19.6,20.1,20.0
397.32,19.6,20.1,20.0
405.44,19.6,20.1,20.0
414.55,19.6,20.1,20.0
417.71,13.3,13.3,13.3
421.91,16.0,16.6,16.8
427.03,16.0,16.5,16.5
433.11,16.1,16.6,16.5
440.18,16.3,16.8,16.7
448.29,16.4,16.8,16.8
457.36,16.3,16.8,16.8
467.46,16.2,16.8,16.7
478.6,16.2,16.8,16.6
490.7,16.3,16.8,16.7
503.82,16.3,16.8,16.7
517.9,16.3,16.8,16.8
532.99,16.3,16.8,16.7
549.11,16.3,16.8,16.7
566.21,16.3,16.8,16.7
584.33,16.3,16.8,16.8
603.47,16.3,16.8,16.8
623.59,16.3,16.8,16.8
644.68,16.3,16.8,16.8
666.83,16.3,16.8,16.8
689.95,16.3,16.8,16.8
714.06,16.3,16.8,16.8
717.28,13.3,13.3,13.3
721.51,16.5,17.0,16.8
726.6,16.5,17.0,16.8
732.67,16.5,17.0,16.8
739.75,16.5,17.0,16.8
747.86,16.5,17.0,16.8
756.95,16.5,17.0,16.8
767.03,16.5,17.0,16.8
778.33,16.5,17.0,16.8
790.56,16.5,17.0,16.8
803.68,16.5,17.0,16.8
817.77,16.5,17.0,16.8
832.88,16.5,17.0,16.8
848.99,16.4,17.0,16.8
866.11,16.5,17.0,16.8
