Time (s),Motor Temps
3.38,23.1
8.5,23.2
14.59,22.8
21.71,23.0
29.81,22.8
38.92,23.0
49.02,22.7
60.13,22.7
72.23,22.7
85.39,22.7
99.51,23.1
114.63,22.3
130.74,23.1
147.84,23.0
165.96,23.1
185.08,23.1
205.19,23.0
226.31,23.0
248.44,22.6
271.56,23.0
295.68,22.8
298.91,22.8
303.05,22.7
308.17,23.0
314.26,22.8
321.36,22.4
329.56,22.8
332.76,23.1
336.86,23.1
341.95,23.2
348.07,23.0
355.15,23.1
363.27,23.2
372.35,23.1
375.55,19.7
379.77,19.2
384.91,19.5
391.03,19.5
398.12,19.5
406.24,19.2
415.36,19.9
418.55,18.3
422.75,18.1
427.88,18.2
433.96,18.1
441.04,17.7
449.15,17.8
458.25,18.3
468.35,17.8
479.5,17.5
491.6,17.7
504.73,17.8
518.82,18.1
533.92,18.1
550.04,17.9
567.14,17.9
585.27,17.8
604.42,17.9
624.54,17.9
645.65,17.9
667.8,17.8
690.92,17.9
715.07,17.8
718.71,18.1
722.95,17.7
728.04,17.8
734.12,17.8
741.21,17.2
749.33,17.8
758.42,17.3
768.51,17.8
779.81,17.4
792.05,17.7
805.18,17.8
819.27,17.8
834.39,17.4
850.5,17.9
867.63,17.9
885.73,17.9
904.96,17.9
925.06,18.1
946.18,17.9
968.3,17.8
991.41,17.8
1015.52,18.1
1040.63,17.9
1067.79,17.5
1095.92,17.8
1125.06,17.5
1155.19,17.8
1186.32,17.7
1218.45,17.8
1251.62,17.7
1285.83,18.2
1320.96,17.7
1357.1,17.7
1394.23,17.9
1432.38,17.7
1471.51,17.9
1511.68,17.9
1552.96,18.1
1595.1,18.1
1638.25,17.9
1682.41,17.8
1727.55,17.8
1773.7,18.1
1820.85,17.8
1869.21,17.9
1918.41,17.8
1968.57,17.7
2019.74,17.9
2071.96,17.7
2125.11,17.9
2179.27,17.4
2234.46,18.2
2290.74,17.7
2347.91,17.3
2406.08,17.7
2465.27,17.5
2525.44,17.9
2586.6,17.7
2648.79,17.7
2712.13,17.7
2776.33,17.9
2841.52,17.9
2907.73,17.8
2974.91,18.1
3043.1,17.9
3112.28,17.8
3182.47,17.9
3253.74,17.7
3325.92,17.7
3399.11,17.7
3473.31,17.8
3548.49,17.5
3624.7,17.9
3701.92,17.7
3780.26,17.7
3859.48,17.7
3939.69,17.9
4020.88,17.7
4103.08,17.7
4186.28,17.9
4270.53,17.5
4355.94,17.8
4442.22,16.9
4529.43,17.7
4617.68,17.8
4706.9,17.7
4797.1,17.7
4888.43,17.8
4980.66,17.9
5074.02,17.8
5168.24,17.9
5263.47,17.7
5359.7,18.2
5456.93,17.8
5555.16,17.5
5654.41,17.7
5754.8,17.9
5856.07,17.8
5958.31,17.8
6061.56,17.3
6165.79,17.7
6271.02,17.5
6377.25,17.7
6484.68,17.8
6592.93,17.8
6702.2,17.3
6812.47,17.7
6923.71,17.7
7035.98,17.8
7149.27,18.1
7263.73,17.9
7379.06,17.8
7495.32,17.8
7612.68,17.8
7730.96,17.8
7850.21,17.8
7970.47,17.7
8091.74,17.5
8214.06,17.5
8337.34,17.7
8461.63,17.8
8586.91,17.7
8713.17,17.7
8840.46,17.5
8968.73,17.9
9098.09,17.5
9228.42,17.5
9359.7,17.9
9491.98,17.8
9625.25,17.8
9759.54,17.8
9894.87,17.8
10031.23,17.8
10168.51,17.7
10306.79,17.7
10446.08,18.1
10586.36,17.8
10727.66,17.7
10731.12,17.4
10735.34,17.7
10740.46,17.7
10746.54,17.7
10753.63,17.3
10761.73,17.5
10770.82,17.4
10780.94,17.5
10793.06,17.5
10806.17,17.7
10820.27,17.8
10835.37,17.4
10851.49,17.7
10868.64,17.8
10886.75,17.8
10905.93,17.5
10926.03,17.8
10947.15,17.8
10969.28,17.7
10992.38,17.7
11016.51,17.8
11041.63,17.7
11067.89,17.8
11095.03,17.5
11123.15,17.8
11152.31,17.5
11182.52,17.3
11213.65,17.5
11245.8,17.7
11279.16,17.7
11313.32,17.8
11348.48,17.8
11384.61,17.2
11421.75,17.8
11459.91,17.7
11499.04,17.7
11539.18,18.2
11580.4,17.8
11622.55,17.4
11665.79,17.8
11709.96,17.7
11755.09,17.9
11801.27,17.7
11848.42,17.7
11896.76,17.7
11945.96,17.8
11996.12,17.7
12047.27,17.5
12099.44,17.5
12152.62,17.8
12206.79,17.5
12262.18,17.2
12318.49,17.7
12375.69,16.9
12433.88,17.5
12493.05,17.9
12553.23,17.8
12614.41,17.3
12676.58,17.5
12739.9,16.8
12804.09,17.8
12869.27,17.9
12935.47,17.8
13002.64,17.8
13070.82,17.7
13140.01,17.8
13210.43,17.7
13281.67,18.2
13353.85,17.8
13427.03,17.4
13501.23,17.7
13576.41,17.5
13652.62,17.7
13729.83,17.5
13808.12,17.7
13887.32,17.7
13967.51,17.5
14048.7,17.4
14130.91,17.3
14214.13,17.8
14298.33,17.4
14383.72,17.5
14469.95,17.7
14557.19,17.4
14645.42,17.7
14734.64,17.7
14824.85,17.7
14916.11,17.8
15008.54,17.8
15101.82,17.8
15196.03,17.7
15291.29,17.7
15387.51,17.8
15484.73,17.8
15582.95,17.3
15682.2,17.5
15782.57,17.5
15883.8,17.7
15986.07,17.2
16089.31,17.7
16193.55,17.4
16298.78,17.5
16405.04,17.5
16512.45,17.5
16620.8,17.7
16730.06,17.8
16840.32,17.7
16951.55,17.2
17063.83,17.7
17177.09,17.8
17291.51,17.8
17406.82,17.7
17523.09,17.7
17640.35,17.7
17758.63,17.7
17877.87,17.7
17998.15,17.7
18119.41,17.4
18241.75,17.5
18365.01,17.4
18489.3,17.7
18614.58,17.4
18740.84,17.8
18868.13,17.4
18996.42,17.8
19125.81,17.5
19256.08,17.5
19387.36,17.7
19519.64,17.2
19652.91,17.8
19787.19,17.5
19922.57,17.7
20058.98,17.7
20196.27,17.7
20334.55,17.7
20473.84,17.7
20614.13,17.7
20755.44,17.8
20897.75,17.7
21041.22,17.5
21185.57,17.8
21330.92,17.8
21477.25,17.5
21624.55,17.7
21772.87,17.7
21922.18,17.7
22072.69,17.4
22224.04,17.2
22376.34,17.5
22529.65,17.5
22683.97,17.4
22839.28,17.5
22995.6,17.7
23152.93,17.7
23311.32,17.8
23470.66,17.7
23630.98,17.7
23792.31,17.7
23954.64,17.7
24117.97,17.7
24282.29,17.7
24447.73,17.7
24614.06,17.8
24781.41,17.7
24949.74,17.5
25119.07,17.4
25289.42,17.5
25292.86,17.3
25297.07,16.8
25302.27,17.2
25308.35,16.9
25315.43,16.9
25323.54,16.8
25332.63,16.5
25342.74,16.9
25354.88,17.2
25358.31,16.9
25362.51,16.6
25367.6,16.9
25373.71,16.9
25380.8,16.5
25388.92,16.9
25398.0,16.6
25408.11,16.8
25420.23,16.6
25433.33,16.4
25447.43,16.9
25462.54,16.9
25478.66,16.9
25495.78,16.9
25513.98,16.6
25533.17,17.3
25553.27,16.9
25574.42,16.9
25596.55,16.9
25619.67,16.9
25643.78,16.8
25668.88,16.8
25695.15,16.9
25722.3,16.6
25750.42,16.6
25779.54,16.6
25809.71,16.5
25840.83,16.5
25872.97,16.8
25907.18,16.6
25942.33,17.2
25978.46,16.6
26015.6,16.6
26053.77,16.1
26092.89,17.2
26133.04,16.8
26174.27,16.8
26216.42,16.8
26259.57,17.2
26303.74,17.2
26348.88,16.6
26395.04,16.4
26442.25,16.8
26490.55,16.9
26539.72,16.9
26589.88,16.6
26641.05,16.9
26693.22,16.8
26746.4,16.8
26800.58,16.5
26855.95,16.8
26912.16,16.5
26969.36,16.5
27027.52,16.5
27086.7,16.4
27146.94,16.8
27208.11,16.1
27270.27,16.8
27333.58,16.3
27397.76,16.9
27462.95,16.6
27529.15,16.8
27596.32,16.8
27664.52,16.8
27733.71,16.9
27804.06,16.8
27875.27,16.8
27947.46,16.8
28020.73,16.6
28094.93,16.8
28170.12,16.5
28246.34,16.8
28323.54,16.5
28401.82,16.8
28481.03,16.5
28561.23,16.4
28642.42,16.6
28724.65,16.6
28807.85,16.6
28892.07,16.1
28977.4,16.8
29063.68,16.8
29150.9,16.9
29239.12,16.6
