Time (s),Volts
3.34,-159.4
7.1,-159.4
11.37,-159.39
16.16,-159.39
21.47,-159.4
27.38,-159.4
33.86,-159.39
40.99,-159.39
48.69,-159.4
56.97,-159.4
65.86,-159.39
75.34,-159.39
78.67,-159.41
82.4,-159.41
86.65,-159.41
91.45,-159.4
96.77,-159.41
102.67,-159.41
109.17,-159.41
116.27,-159.41
123.96,-159.41
132.25,-159.41
141.11,-159.41
150.6,-159.4
160.66,-159.42
171.29,-159.41
182.53,-159.41
194.37,-159.41
206.76,-159.42
219.79,-159.41
233.37,-159.41
247.58,-159.41
262.37,-159.42
277.74,-159.41
293.67,-159.41
310.23,-159.41
327.38,-159.42
345.11,-159.41
363.45,-159.41
382.4,-159.41
401.89,-159.42
421.99,-159.41
442.64,-159.41
463.94,-159.41
485.77,-159.42
508.21,-159.41
531.25,-159.41
554.87,-159.41
579.11,-159.42
603.89,-159.41
607.69,-159.42
611.97,-159.42
616.76,-159.42
622.07,-159.42
627.97,-159.42
634.45,-159.42
641.56,-159.42
649.26,-159.42
657.53,-159.42
666.39,-159.42
675.86,-159.42
685.9,-159.42
696.53,-159.42
708.44,-159.42
720.96,-159.43
734.0,-159.42
747.56,-159.42
761.74,-159.42
776.52,-159.43
791.86,-159.42
807.78,-159.42
824.33,-159.42
841.51,-159.43
859.21,-159.42
877.51,-159.42
896.54,-159.42
916.06,-159.43
936.14,-159.42
956.79,-159.42
978.05,-159.42
999.88,-159.43
1022.3,-159.42
1045.3,-159.42
1068.94,-159.42
1093.18,-159.43
1117.99,-159.42
1143.47,-159.42
1169.67,-159.42
1196.35,-159.43
1223.53,-159.42
1251.27,-159.42
1279.62,-159.42
1308.53,-159.43
1338.05,-159.42
1368.13,-159.42
1398.84,-159.42
1430.14,-159.43
1462.03,-159.43
1494.5,-159.42
1527.59,-159.42
1561.39,-159.43
1595.69,-159.43
1630.51,-159.42
1665.94,-159.42
1701.94,-159.43
1738.54,-159.43
1775.71,-159.42
1813.49,-159.42
1851.85,-159.43
1890.83,-159.43
1930.36,-159.42
1970.53,-159.42
2011.48,-159.43
2052.93,-159.43
2094.89,-159.42
2137.41,-159.42
2180.52,-159.43
2224.18,-159.43
2268.45,-159.42
2313.32,-159.42
2358.76,-159.43
2404.81,-159.43
2451.42,-159.42
2498.67,-159.43
2546.51,-159.43
2595.06,-159.43
2644.09,-159.42
2693.67,-159.42
2743.88,-159.43
2794.65,-159.43
2846.0,-159.43
2898.0,-159.42
2950.53,-159.43
3003.66,-159.43
3057.4,-159.42
3111.71,-159.43
3166.59,-159.43
3222.06,-159.43
3278.23,-159.43
3334.94,-159.43
3392.2,-159.43
3450.04,-159.43
3508.48,-159.43
3567.53,-159.43
3627.17,-159.43
3687.36,-159.43
3748.15,-159.43
3809.54,-159.43
3871.51,-159.44
3934.11,-159.43
3997.4,-159.43
4061.25,-159.43
4125.62,-159.44
4190.58,-159.43
4256.08,-159.43
4322.19,-159.43
4388.9,-159.44
4456.17,-159.43
4524.03,-159.43
4592.53,-159.43
4661.59,-159.44
4731.25,-159.43
4801.48,-159.43
4872.44,-159.43
4943.9,-159.44
5015.92,-159.43
5088.5,-159.43
5161.69,-159.43
5235.48,-159.44
5309.84,-159.43
5384.81,-159.43
5460.39,-159.43
5536.54,-159.44
5613.28,-159.43
5690.62,-159.43
5769.22,-159.44
5848.34,-159.43
5928.01,-159.43
6008.31,-159.43
6089.2,-159.44
6170.64,-159.43
6252.68,-159.43
6335.31,-159.43
6418.56,-159.44
6502.36,-159.43
6586.76,-159.43
6671.78,-159.43
6757.53,-159.44
6843.79,-159.43
6930.55,-159.43
7017.91,-159.43
