Time (s),MC In,MC Out,Motor In,Motor Out
3.35,1,0,2,2
7.19,3,3,2,255
11.57,4,3,3,0
16.39,4,3,3,0
21.75,4,3,3,0
27.57,4,3,3,0
33.9,4,3,3,0
40.7,4,3,3,0
48.03,4,3,3,0
55.81,4,3,3,0
64.25,4,3,3,0
73.01,4,3,3,0
76.22,21,22,21,21
79.47,21,22,21,21
82.78,21,22,21,21
86.15,22,22,21,21
89.62,22,22,21,21
93.58,22,22,21,21
98.04,22,22,21,21
102.98,22,22,21,21
108.43,22,22,21,21
114.35,22,22,21,21
120.77,22,22,21,21
127.69,22,22,21,21
135.09,22,22,21,21
143.0,22,22,21,21
151.39,22,22,21,21
160.31,22,22,21,21
163.52,17,17,17,17
166.76,17,17,17,17
170.03,17,17,17,17
173.34,17,17,17,17
176.81,17,17,17,17
180.77,17,17,17,17
185.22,17,17,17,17
190.17,17,17,17,17
195.6,17,17,17,17
201.53,17,17,17,17
207.96,17,17,17,17
214.87,17,17,17,17
222.28,17,17,17,17
230.18,17,17,17,17
238.58,17,17,17,17
247.46,17,17,17,17
256.83,17,17,17,17
260.03,12,12,13,12
263.25,12,12,13,12
266.51,12,12,13,12
269.81,12,12,13,12
273.27,12,12,13,12
277.24,12,12,13,12
281.69,12,12,13,12
286.63,12,12,13,12
292.07,12,12,13,12
298.0,12,12,13,12
304.42,12,12,13,12
311.33,12,12,13,12
318.74,12,12,13,12
326.65,13,12,13,12
335.03,12,12,13,12
343.91,12,12,13,12
353.29,12,12,13,12
363.15,12,12,13,12
373.54,12,12,13,12
384.42,13,12,13,12
395.76,13,12,13,12
407.59,13,12,13,12
419.91,13,12,13,12
432.73,13,12,13,12
446.03,13,12,13,12
459.83,13,12,13,12
474.14,13,12,13,12
488.92,13,12,13,12
504.19,13,12,13,12
519.96,13,12,13,12
536.22,13,12,13,12
552.97,12,12,13,12
570.23,12,12,13,12
587.99,12,12,13,12
606.21,12,12,13,12
624.93,12,12,13,12
644.16,12,12,13,12
663.85,12,12,13,12
684.05,12,12,13,12
704.76,12,12,13,12
725.95,12,12,13,12
747.62,12,12,13,12
769.78,12,12,13,12
792.44,12,12,13,12
815.59,12,12,13,12
839.23,13,12,13,12
863.38,13,12,13,12
888.01,13,12,13,12
891.66,12,11,14,12
895.33,12,11,13,12
899.04,12,11,13,12
902.79,12,11,14,12
906.57,12,11,14,12
910.52,12,11,14,12
914.97,12,11,14,12
919.92,12,11,14,12
925.36,12,11,14,12
931.29,12,11,14,12
937.71,12,11,14,12
944.64,12,11,14,12
952.04,12,11,14,12
959.94,12,11,14,12
968.33,12,11,13,12
977.21,12,11,13,12
986.6,12,11,14,12
996.46,12,11,13,12
1006.82,12,11,13,12
1017.67,12,11,13,12
1029.02,12,12,13,12
1040.85,12,12,14,12
1053.21,12,12,14,12
1066.03,12,12,14,12
1079.35,12,12,14,12
1093.15,12,12,14,12
1107.45,12,12,14,12
1122.24,12,12,14,12
1137.52,12,12,14,12
1153.29,12,12,14,12
1169.56,12,12,14,12
1186.31,12,12,14,12
1203.56,12,12,14,12
1221.31,12,12,14,12
1239.54,12,12,14,12
1258.26,12,12,14,12
1277.49,12,12,14,12
1297.2,12,12,14,12
1317.42,12,12,14,12
1338.12,12,12,15,12
1359.31,12,12,14,12
1380.99,12,12,14,12
1403.17,12,12,14,12
1425.84,12,12,14,12
1448.99,12,12,14,12
1472.64,12,12,14,12
1496.79,12,12,14,12
1521.42,12,12,14,12
1546.55,12,12,14,12
1572.18,12,12,14,12
1598.29,12,12,14,12
1624.9,12,11,14,12
1652.0,12,12,14,12
1679.59,12,11,14,12
1707.67,12,11,14,12
1736.24,12,11,13,12
1765.31,12,11,14,12
1794.86,12,11,14,12
1824.91,12,11,14,12
1855.45,12,11,14,12
1886.49,12,11,13,12
1918.02,12,11,13,12
1950.03,12,11,13,12
1982.54,12,11,13,12
2015.54,12,12,13,12
2049.04,12,11,13,12
2083.03,12,11,13,12
2117.51,12,12,13,12
2152.49,12,12,13,12
2187.96,12,12,14,12
2223.91,12,12,14,12
2260.36,12,12,14,12
2297.31,12,12,14,12
2334.75,12,12,15,12
2372.67,12,12,15,12
2411.09,12,12,15,12
