Time (s),N*m
4.07,0.0
8.37,0.0
12.7,0.0
17.06,0.0
21.45,0.0
26.0,0.0
30.57,0.0
35.18,0.0
39.82,0.0
44.5,0.0
49.21,0.0
53.98,0.0
58.78,0.0
63.61,0.0
68.46,0.0
73.35,0.0
78.35,0.0
83.38,0.0
88.46,0.0
93.72,0.0
99.01,0.0
104.33,0.0
109.67,0.0
115.05,0.0
120.47,0.0
126.02,0.0
131.6,0.0
137.21,0.0
142.85,0.0
148.52,0.0
154.23,0.0
160.0,0.0
165.88,0.0
171.78,0.0
177.79,0.0
183.83,0.0
189.89,0.0
196.13,0.0
202.4,0.0
208.74,0.0
215.12,0.0
221.52,0.0
228.01,0.0
234.54,0.0
241.09,0.0
247.67,0.0
254.31,0.0
261.03,0.0
267.79,0.0
274.61,0.0
281.48,0.0
288.46,0.0
295.48,0.0
302.55,0.0
309.8,0.0
317.1,0.0
324.43,0.0
331.79,0.0
339.18,0.0
346.67,0.0
354.21,0.0
361.78,0.0
369.41,0.0
377.07,0.0
384.76,0.0
392.49,0.0
400.28,0.0
408.14,0.0
416.04,0.0
424.05,0.0
432.11,0.0
440.34,0.0
448.61,0.0
456.94,0.0
465.3,0.0
473.75,0.0
482.24,0.0
490.78,0.0
499.35,0.0
507.96,0.0
516.61,0.0
525.3,0.0
534.02,0.0
542.79,0.0
551.62,0.0
560.59,0.0
569.6,0.0
578.65,0.0
587.74,0.0
597.0,0.0
606.29,0.0
615.61,0.0
624.95,0.0
634.45,0.0
643.97,0.0
653.51,0.0
663.09,0.0
672.69,0.0
682.33,0.0
692.02,0.0
701.81,0.0
711.63,0.0
721.57,0.0
731.55,0.0
741.56,0.0
751.6,0.0
761.84,0.0
772.11,0.0
782.45,0.0
792.81,0.0
803.27,0.0
813.77,0.0
824.29,0.0
834.86,0.0
845.48,0.0
856.14,0.0
866.83,0.0
877.57,0.0
888.37,0.0
899.28,0.0
910.25,0.0
921.25,0.0
932.28,0.0
943.52,0.0
954.8,0.0
966.1,0.0
977.52,0.0
988.97,0.0
1000.46,0.0
1011.98,0.0
1023.53,0.0
1035.13,0.0
1046.76,0.0
1058.43,0.0
1070.15,0.0
1081.93,0.0
1093.82,0.0
1105.75,0.0
1117.73,0.0
1129.76,0.0
1141.83,0.0
1154.08,0.0
1166.37,0.0
1178.69,0.0
1191.12,0.0
1203.57,0.0
1216.09,0.0
1228.64,0.0
1241.23,0.0
1253.85,0.0
1266.51,0.0
1279.21,0.0
1291.96,0.0
1304.94,0.0
1317.95,0.0
1331.0,0.0
1344.09,0.0
1357.2,0.0
1370.5,0.0
1383.91,0.0
1397.37,0.0
1410.89,0.0
1424.43,0.0
1438.01,0.0
